date,wind_offshore_50hz_actual,wind_offshore_50hz_fitted,wind_offshore_50hz_lower,wind_offshore_50hz_upper
2025-05-28 10:00:00+00:00,243.0,153.97038,49.98239757103045,257.95837989938735
2025-05-28 11:00:00+00:00,180.25,143.27379,39.285789434944945,247.2617717633018
2025-05-28 12:00:00+00:00,185.0,160.3441,56.35610446478711,264.332086793144
2025-05-28 13:00:00+00:00,156.5,93.499985,-10.488015452671561,197.4879668756853
2025-05-28 14:00:00+00:00,166.75,212.03499,108.04698833463954,316.0229706629964
2025-05-28 15:00:00+00:00,202.0,335.90985,231.92185297123615,439.897835299593
2025-05-28 16:00:00+00:00,389.25,180.1002,76.11221942394104,284.0882017522979
2025-05-28 17:00:00+00:00,810.0,150.70436,46.71638393054201,254.69236625889886
2025-05-28 18:00:00+00:00,926.75,683.05286,579.0648323182618,787.0408146466186
2025-05-28 19:00:00+00:00,967.5,905.9,801.9120171147986,1009.8879994431554
2025-05-28 20:00:00+00:00,1207.25,1101.4281,997.4401306183165,1205.4161129466734
2025-05-28 21:00:00+00:00,1250.25,963.31134,859.3233355706941,1067.299317899051
2025-05-28 22:00:00+00:00,1281.75,976.15845,872.1704355384636,1080.1464178668205
2025-05-28 23:00:00+00:00,1161.75,1127.1842,1023.196202889091,1231.1721852174478
2025-05-29 00:00:00+00:00,980.75,1074.8094,970.8214316805955,1178.7974140089523
2025-05-29 01:00:00+00:00,1017.25,780.80396,676.8159766990212,884.7919590273781
2025-05-29 02:00:00+00:00,1137.25,717.7546,613.7665684561825,821.7425507845394
2025-05-29 03:00:00+00:00,980.75,693.37335,589.3853358698319,797.3613181981889
2025-05-29 04:00:00+00:00,787.0,558.9335,454.94548397941315,662.9214663077701
2025-05-29 05:00:00+00:00,776.5,588.5996,484.6116279170634,692.5876102454203
2025-05-29 06:00:00+00:00,807.0,576.36395,472.3759655130381,680.351947841395
2025-05-29 07:00:00+00:00,712.5,624.8672,520.8792198556827,728.8552021840396
2025-05-29 08:00:00+00:00,635.5,590.5738,486.58578894560435,694.5617712739612
2025-05-29 09:00:00+00:00,653.5,557.6045,453.61652168153705,661.5925040098939
2025-05-29 10:00:00+00:00,517.5,586.7534,482.7654365135459,690.7414188419028
