number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,2305.8212903658573,none,0.6959278327152356,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,0.12783441200053663,6,10,863,small,1.547502696852069e-07,1.7843209657482854e-05,none,distance_energy,0.9893337907289856,none,True,COMPLETE
1,2316.6913858877074,none,0.7450140783630151,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,0.08666289044905505,4,8,677,medium,0.34328470570237823,0.2011769023034835,short,distance_population,0.8546284417936596,none,False,COMPLETE
2,2644.962143366727,medium,0.5537845026203094,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,0.2975860510644472,6,4,338,medium,0.00011241902466479441,0.0008064028974807243,none,mean,0.7524319669972548,medium,False,COMPLETE
3,2274.4820290625858,small,0.6589209085086531,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,0.026817293029961428,4,9,576,small,0.04760003715328453,2.265385731157852e-06,short,population,0.8352036012062444,medium,True,COMPLETE
4,2412.0665157291555,none,0.5194372004087195,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,0.13559988975917633,6,7,420,none,0.0004834507763136803,1.6930620401073914e-05,long,idw,0.9600027236137665,small,False,COMPLETE
5,2338.48223427161,small,0.76061704896735,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,0.03317598178873977,4,9,794,none,0.00015165075290885985,7.54051376820105e-06,short,idw,0.8452606212855573,medium,False,COMPLETE
6,2240.9175221401265,medium,0.6792584421026722,True,False,False,False,False,False,True,True,True,True,False,True,False,True,False,True,True,0.06106267612079682,6,2,771,small,5.2253800997013576e-06,0.0051847946239002895,long,max,0.8561508749084454,medium,True,COMPLETE
7,2167.2339544411366,none,0.5723648707245117,False,False,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,0.036291634595267484,4,3,468,none,0.06601884031900306,0.00028290691929113066,short,energy,0.568109972765853,none,False,COMPLETE
8,2317.7469608998144,none,0.6121707101855045,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,True,False,0.24593463120336412,3,7,457,small,4.9391127965421405e-08,0.3090975519354083,short,distance_energy,0.6029883632421337,medium,False,COMPLETE
9,2294.8827089176107,none,0.9653616543691974,False,False,False,True,False,False,False,False,True,True,False,True,True,True,False,True,False,0.06982028694309718,6,10,579,small,4.1516495784121145e-08,0.0017658088044232956,long,energy,0.8827434980659499,small,True,COMPLETE
10,2315.786546562491,small,0.8436612496268145,False,True,True,False,True,True,True,True,True,False,False,False,True,False,False,True,False,0.011872621954981063,10,1,964,none,0.016492199301575534,5.877268331687117e-08,short,energy,0.5098938544867669,none,False,COMPLETE
11,2145.9932123210656,medium,0.5998152264384754,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,0.033839719367773705,8,3,717,none,1.0648839738278656e-05,0.006817211685219381,long,max,0.6567911181154261,none,True,COMPLETE
12,2106.8399598172696,medium,0.5687731017526484,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,0.028654718411268397,9,4,658,none,2.6444333895360324e-06,0.016822651841644602,long,max,0.6310500457716498,none,True,COMPLETE
13,2153.6714735522078,medium,0.5196201892611464,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,0.017761295372848394,9,4,681,none,2.3110833213258584e-06,0.02403305876041049,long,max,0.6617344567331993,none,True,COMPLETE
14,2132.282558281007,medium,0.6145970177195578,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,0.01984202815880089,8,5,575,none,3.865880095674639e-06,0.02180061481528036,long,max,0.6946939605736625,none,True,COMPLETE
