Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,True
precip_lags_option,small
cloud_lags_option,none
shortwave_lags_option,small
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,idw
lags_target,
l1_ratio,0.8418935098641056
alpha,0.4001615309782368
