number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_shortwave_lags_option,params_spatial_agg_method,params_use_solar_geometry,params_vapor_pressure,state
0,13455.526473642276,0.9810829812736495,none,True,False,False,True,True,False,False,False,False,False,False,0.8497208257672396,,large,none,None,True,False,COMPLETE
1,139754.11053003444,0.6839731546238539,none,True,False,True,False,False,False,True,True,True,False,False,0.8756783214861685,12.0,none,medium,max,False,False,COMPLETE
2,881.1337336574825,0.24364860701881014,large,True,False,True,False,False,False,False,True,True,False,True,0.9396896558220412,12.0,large,none,capacity,True,True,COMPLETE
3,11806.36342248669,0.013443784968302333,medium,False,True,False,False,False,False,True,True,True,False,False,0.4262831339784833,,small,none,idw,False,True,COMPLETE
4,711.3231680655471,0.6613713364377254,large,False,True,False,False,True,True,True,True,True,False,True,0.2795850766495065,1.0,small,none,idw,True,False,COMPLETE
5,706627.0705010314,0.5766799833875071,medium,False,False,True,False,False,False,True,True,False,True,False,0.4471197999981078,6.0,none,none,mean,False,False,COMPLETE
6,679.3892914280024,0.6237064740915039,medium,False,False,False,False,True,True,False,False,True,True,True,0.9441163322356746,12.0,large,none,capacity,True,True,COMPLETE
7,2216.705508175113,0.8607285550465014,medium,False,True,True,True,False,True,False,True,False,True,True,0.038072718172385805,,large,small,mean,False,True,COMPLETE
8,972.2460344257796,0.44950496387029065,large,False,True,False,False,False,True,True,True,False,True,True,0.6056496439625237,12.0,small,none,capacity,True,True,COMPLETE
9,2111.2237440629387,0.07515026540897979,medium,False,False,True,True,True,True,False,True,False,False,True,0.23201231400006075,1.0,large,large,idw,False,False,COMPLETE
10,5324.843167527227,0.3914644676097224,small,True,False,False,True,True,True,False,False,True,True,True,0.6823043358347813,6.0,large,small,distance_n_panels,True,True,COMPLETE
11,600.6272983688383,0.7297562893454841,large,False,True,False,False,True,True,True,False,True,True,True,0.26653052561714946,1.0,small,medium,distance_capacity,True,False,COMPLETE
12,612.4534750686411,0.7852349623783604,small,False,True,False,False,True,True,False,False,True,True,True,0.20645142856974308,1.0,small,medium,distance_capacity,True,True,COMPLETE
13,598.0098504125531,0.7901637614069364,small,False,True,False,False,True,True,True,False,True,True,True,0.03013534417523872,1.0,small,medium,distance_capacity,True,False,COMPLETE
14,598.0098504125531,0.9087381163291439,small,False,True,False,False,True,True,True,False,True,True,True,0.03729666530760482,1.0,small,medium,distance_capacity,True,False,COMPLETE
15,598.0098504125531,0.9990159124821862,small,False,True,False,False,True,True,True,False,True,True,True,0.027995006271409717,1.0,small,medium,distance_capacity,True,False,COMPLETE
16,600.0203156858048,0.8665629593263164,small,False,True,False,False,True,True,True,False,True,True,True,0.11234753373843259,1.0,small,medium,n_panels,True,False,COMPLETE
17,582.7981924639794,0.8798711306925847,small,False,True,False,False,True,True,True,False,True,True,True,0.3626979142210478,1.0,small,large,distance_capacity,True,False,COMPLETE
18,858.489497931471,0.7931198249591194,small,True,True,False,True,True,True,True,False,True,True,False,0.5574050737553305,1.0,none,large,distance_capacity,True,False,COMPLETE
19,43998.86628434162,0.5501042834731891,small,False,True,False,False,True,True,True,False,True,True,True,0.3270739917248182,6.0,small,large,None,True,False,COMPLETE
20,586.2532415533418,0.3406153802059532,small,False,True,False,False,True,True,True,False,True,True,True,0.3726690287940736,1.0,small,large,distance_n_panels,True,False,COMPLETE
21,586.2532415533418,0.3091451600948563,small,False,True,False,False,True,True,True,False,True,True,True,0.37406857554673795,1.0,small,large,distance_n_panels,True,False,COMPLETE
22,586.2532415533418,0.3222651139926189,small,False,True,False,False,True,True,True,False,True,True,True,0.4061171672548408,1.0,small,large,distance_n_panels,True,False,COMPLETE
23,586.2532415533418,0.20650023946931473,small,False,True,False,False,True,True,True,False,True,True,True,0.4994862699470748,1.0,small,large,distance_n_panels,True,False,COMPLETE
24,586.9311721340578,0.22447929245448134,none,False,True,False,False,True,True,True,False,True,True,True,0.36223506356527363,1.0,small,large,distance_n_panels,True,False,COMPLETE
25,583.9497425585292,0.45637461032524956,small,False,True,False,False,True,True,True,False,True,True,True,0.711550539271486,1.0,none,large,distance_n_panels,True,False,COMPLETE
26,15459.935429543963,0.4852406302874503,small,True,True,True,True,True,False,True,False,False,True,False,0.6933112821219009,1.0,none,large,max,False,False,COMPLETE
27,2825.8447531187812,0.4033678328575886,small,False,True,False,False,True,True,True,False,True,True,True,0.7451657332745764,6.0,none,large,n_panels,True,False,COMPLETE
28,783.1943058671299,0.5204564108450896,small,False,True,False,False,True,True,True,False,True,True,True,0.5336475438246583,,none,large,distance_n_panels,True,False,COMPLETE
29,5154.526209186751,0.30377926346014483,none,True,True,False,True,True,False,True,False,False,False,False,0.8103277635683022,,none,small,None,True,False,COMPLETE
