,wind_offshore_actual,wind_offshore_fitted,wind_offshore_lower,wind_offshore_upper
2024-11-15 00:00:00+00:00,2825.4999999999986,2914.6187,2397.3332632154466,3543.519859482332
2024-11-15 01:00:00+00:00,2272.5000000000005,2710.7769,2229.670348173853,3295.6957966939526
2024-11-15 02:00:00+00:00,2162.499999999999,2627.085,2160.831467539303,3193.9444280479574
2024-11-15 03:00:00+00:00,2197.75,2425.2622,1994.8278757470043,2948.5730258793537
2024-11-15 04:00:00+00:00,2368.25,2158.4521,1775.3718234904416,2624.193061113565
2024-11-15 05:00:00+00:00,2647.4999999999995,1932.4489,1589.478686915748,2349.4227439030615
2024-11-15 06:00:00+00:00,2932.7499999999995,1711.63,1407.8508629176856,2080.957023576973
2024-11-15 07:00:00+00:00,2742.0000000000014,1677.0563,1379.4134850749608,2038.9234796040314
2024-11-15 08:00:00+00:00,2895.500000000001,1678.7825,1380.832862411239,2041.021474011554
2024-11-15 09:00:00+00:00,3038.0000000000014,1634.2826,1344.2312009484974,1986.9202289851787
2024-11-15 10:00:00+00:00,3023.2500000000005,1616.1576,1329.3230537822462,1964.884362565518
2024-11-15 11:00:00+00:00,2890.7500000000005,1594.1465,1311.218356929769,1938.123647302874
2024-11-15 12:00:00+00:00,3091.750000000001,1630.2449,1340.9097089643162,1982.0107018077786
2024-11-15 13:00:00+00:00,3636.7499999999995,1718.825,1413.7686257912571,2089.7041221084696
2024-11-15 14:00:00+00:00,3872.5000000000005,1869.9503,1538.0728742514348,2273.4393498278255
2024-11-15 15:00:00+00:00,4266.249999999999,2337.5227,1922.6603863054731,2841.9016106161685
2024-11-15 16:00:00+00:00,5061.500000000002,2768.9834,2277.545486608301,3366.460469432925
2024-11-15 17:00:00+00:00,5245.500000000003,3252.6587,2675.378913810227,3954.501636543428
2024-11-15 18:00:00+00:00,5795.249999999999,3806.7178,3131.1038195185924,4628.112718746562
2024-11-15 19:00:00+00:00,5626.250000000002,4225.695,3475.7215618334667,5137.49530337027
2024-11-15 20:00:00+00:00,5022.250000000001,4519.279,3717.1997429229586,5494.426374844847
2024-11-15 21:00:00+00:00,4099.999999999999,4702.042,3867.525857014017,5716.62475621019
2024-11-15 22:00:00+00:00,3406.7499999999986,4575.972,3763.8304970598333,5563.351711960808
2024-11-15 23:00:00+00:00,3839.249999999999,4550.49,3742.8719249446085,5532.372658002751
2024-11-16 00:00:00+00:00,4603.999999999999,4572.4136,3760.9054830324103,5559.0282224174625
2024-11-16 01:00:00+00:00,4370.000000000002,4618.381,3798.71258163719,5614.911234925948
2024-11-16 02:00:00+00:00,4706.749999999999,4503.191,3703.9663968229897,5474.866046945469
2024-11-16 03:00:00+00:00,4714.500000000001,4312.8745,3547.4283196332594,5243.485707049698
2024-11-16 04:00:00+00:00,4472.249999999997,4095.4023,3368.553285306007,4979.088909896351
2024-11-16 05:00:00+00:00,4718.250000000002,3947.7117,3247.073664069594,4799.528789082907
2024-11-16 06:00:00+00:00,4162.749999999998,3675.821,3023.438392312976,4468.971482383572
2024-11-16 07:00:00+00:00,4635.249999999998,3404.1328,2799.9690892516005,4138.659495505498
2024-11-16 08:00:00+00:00,4604.249999999998,3362.783,2765.958675897085,4088.388397615198
2024-11-16 09:00:00+00:00,4949.249999999999,3349.5798,2755.098596064119,4072.336015931727
2024-11-16 10:00:00+00:00,4985.249999999998,3346.4534,2752.526939804086,4068.534827682678
2024-11-16 11:00:00+00:00,4960.5,3361.2195,2764.6726714475253,4086.4875428711734
2024-11-16 12:00:00+00:00,4342.499999999999,3385.1726,2784.374394431898,4115.608836824031
2024-11-16 13:00:00+00:00,4335.75,3215.3296,2644.674801693241,3909.1176122512757
2024-11-16 14:00:00+00:00,4179.749999999999,2791.1729,2295.7966610432095,3393.437694527676
2024-11-16 15:00:00+00:00,4513.75,2789.2168,2294.1880692884415,3391.06002058627
2024-11-16 16:00:00+00:00,4198.25,3089.4084,2541.101690425729,3756.0252648852493
2024-11-16 17:00:00+00:00,4883.250000000001,3585.6099,2949.2376436912164,4359.294688437679
2024-11-16 18:00:00+00:00,5644.750000000001,4100.6733,3372.888934016546,4985.4974712529365
2024-11-16 19:00:00+00:00,5517.749999999999,4451.0654,3661.093197784888,5411.494785818812
2024-11-16 20:00:00+00:00,5705.750000000002,4701.464,3867.0511171995095,5715.923039020252
2024-11-16 21:00:00+00:00,5768.75,4646.2935,3821.6714027526773,5648.846874922779
2024-11-16 22:00:00+00:00,5184.749999999999,4667.7227,3839.29863342182,5674.901843125206
2024-11-16 23:00:00+00:00,5730.5,4643.83,3819.6466572497884,5645.854080383134
2024-11-17 00:00:00+00:00,5037.249999999999,4298.274,3535.4187118737846,5225.734197798474
2024-11-17 01:00:00+00:00,5259.500000000001,4192.677,3448.5630078688537,5097.35200047411
2024-11-17 02:00:00+00:00,4985.000000000003,4086.4998,3361.22987151227,4968.2641060964515
2024-11-17 03:00:00+00:00,5946.250000000003,4172.001,3431.5564515167443,5072.214456562429
2024-11-17 04:00:00+00:00,6028.500000000003,4186.646,3443.6021776462203,5090.019352701217
2024-11-17 05:00:00+00:00,5793.999999999999,4154.072,3416.809185112,5050.416389443409
2024-11-17 06:00:00+00:00,5658.000000000003,4101.887,3373.886319196212,4986.971715258113
2024-11-17 07:00:00+00:00,5383.249999999999,4043.8125,3326.1195481878563,4916.367221386364
2024-11-17 08:00:00+00:00,4800.499999999998,4152.091,3415.180730069317,5048.009355397474
2024-11-17 09:00:00+00:00,4463.750000000001,4092.438,3366.114103649103,4975.483533549751
2024-11-17 10:00:00+00:00,3044.9999999999995,4135.482,3401.518537771102,5027.815146075156
2024-11-17 11:00:00+00:00,2821.75,4052.809,3333.519652596322,4927.305382273702
2024-11-17 12:00:00+00:00,2504.2500000000005,4071.4966,3348.889749926691,4950.024061386014
2024-11-17 13:00:00+00:00,3215.5,4124.9272,3392.8377598964107,5014.984010218214
2024-11-17 14:00:00+00:00,4653.75,4128.5635,3395.82916341836,5019.4056306705725
2024-11-17 15:00:00+00:00,4884.249999999998,4146.018,3410.1851116805788,5040.625286923355
2024-11-17 16:00:00+00:00,5209.250000000003,4097.2734,3370.0909998104516,4981.361819536533
2024-11-17 17:00:00+00:00,4545.250000000002,4103.5605,3375.2636115773976,4989.007503514976
2024-11-17 18:00:00+00:00,4386.000000000002,4143.035,3407.731956612824,5036.999256352491
2024-11-17 19:00:00+00:00,4102.250000000001,4122.7876,3391.0772276395146,5012.381751653971
2024-11-17 20:00:00+00:00,4446.749999999999,4065.2876,3343.7821529528055,4942.474476357979
2024-11-17 21:00:00+00:00,4250.750000000001,4209.709,3462.573273352122,5118.060699902043
2024-11-17 22:00:00+00:00,4247.249999999998,4335.2715,3565.849245778324,5270.713843674081
2024-11-17 23:00:00+00:00,5317.249999999998,4432.91,3646.159705130934,5389.421456005804
2024-11-18 00:00:00+00:00,5581.250000000001,4380.028,3602.662528498645,5325.127887984732
2024-11-18 01:00:00+00:00,5983.5,4422.6646,3637.7335108587777,5376.966622461654
2024-11-18 02:00:00+00:00,6222.249999999997,4363.36,3588.953982419614,5304.865162722062
2024-11-18 03:00:00+00:00,6073.250000000003,4470.566,3677.1324321649736,5435.202522422954
2024-11-18 04:00:00+00:00,6277.999999999998,4434.5312,3647.4926383630286,5391.391676605401
2024-11-18 05:00:00+00:00,5976.999999999999,4438.9155,3651.09985498948,5396.723535946527
2024-11-18 06:00:00+00:00,6202.750000000001,4279.349,3519.8517278349186,5202.724498671405
2024-11-18 07:00:00+00:00,6028.750000000002,4179.1826,3437.4636486690433,5080.945937806278
2024-11-18 08:00:00+00:00,5852.25,4160.2544,3421.8943509281235,5057.932818775396
2024-11-18 09:00:00+00:00,5779.749999999997,4081.527,3357.14048557549,4962.21954796079
2024-11-18 10:00:00+00:00,4805.250000000001,4118.128,3387.2446193864093,5006.716738922169
