number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_shortwave_lags_option,params_spatial_agg_method,params_use_solar_geometry,params_vapor_pressure,state
0,7785076937.761471,0.8766526604380328,medium,False,False,False,True,False,False,False,False,False,True,True,0.0984284212173468,1.0,large,small,None,False,False,COMPLETE
1,407.732830488038,0.6375716462652297,small,True,True,True,True,False,True,False,True,True,False,False,0.10312446574490329,,large,small,distance_capacity,False,False,COMPLETE
2,918.4081788530076,0.09962894677104865,small,False,False,True,False,True,False,True,True,False,True,False,0.2882723877113946,12.0,small,medium,distance_capacity,True,True,COMPLETE
3,921.2715714163228,0.38693707710833064,none,False,True,True,False,True,False,True,True,False,False,False,0.26189865040268767,12.0,small,large,n_panels,True,True,COMPLETE
4,79978822.80815454,0.81601911327969,small,True,True,True,True,True,False,False,True,False,True,True,0.6546531382838803,1.0,small,medium,idw,False,False,COMPLETE
5,434.29207033303214,0.14937410517493538,small,False,False,False,False,False,False,True,False,True,True,False,0.686544043820287,,none,large,max,True,True,COMPLETE
6,1417.5074282957482,0.9708357611941173,medium,True,True,False,True,False,False,True,False,False,True,False,0.3187859066972931,1.0,small,small,distance_n_panels,False,True,COMPLETE
7,16987596692.27926,0.34263539802040843,medium,False,False,True,True,False,False,True,False,True,True,True,0.46566409567387596,1.0,small,large,capacity,False,False,COMPLETE
8,398.48628675365745,0.5142270945380908,small,False,False,True,True,True,False,True,True,False,True,False,0.982826265770128,,none,small,None,True,True,COMPLETE
9,535.4982033661225,0.5143447694637147,medium,True,False,False,False,False,False,False,True,True,True,False,0.14157555962207524,,none,none,idw,False,False,COMPLETE
10,1987.1948788647696,0.5778874735555086,large,False,False,True,True,True,True,True,True,False,False,True,0.9328671257891896,6.0,none,none,mean,True,True,COMPLETE
11,407.9871420125182,0.6840123485783882,small,True,True,True,True,True,True,False,True,True,False,False,0.9627377117288023,,large,small,distance_capacity,True,False,COMPLETE
12,401.6106007164374,0.6815317917392267,small,True,True,True,True,True,True,False,True,True,False,False,0.01144819025128628,,large,small,None,False,True,COMPLETE
13,391.45327238476716,0.3522140080536799,none,True,True,True,True,True,True,False,True,True,False,False,0.7516478206380691,,none,small,None,True,True,COMPLETE
14,995.3119277502174,0.3073397504905841,none,False,False,True,True,True,True,True,True,False,False,False,0.8159606870588344,6.0,none,small,None,True,True,COMPLETE
15,391.45327238476716,0.2338257927320731,none,True,True,True,True,True,True,False,True,True,False,False,0.7726359099241308,,none,small,None,True,True,COMPLETE
16,391.45327238476716,0.21992753099729906,none,True,True,True,True,True,True,False,True,True,False,False,0.6815378389557806,,none,small,None,True,True,COMPLETE
17,470.6642337280471,0.26485607499012825,none,True,True,True,True,True,True,False,True,True,False,False,0.5407623378153759,,none,none,max,True,True,COMPLETE
18,1230.4822651444058,0.02942678797832765,none,True,True,False,False,True,True,False,False,True,False,True,0.8250501505807231,6.0,none,medium,distance_n_panels,True,True,COMPLETE
19,713.450089305009,0.43336242644932055,large,True,True,True,True,True,True,False,True,True,False,False,0.8039399862688548,12.0,none,small,mean,True,True,COMPLETE
20,421.70056246286737,0.22528997778399718,none,True,True,True,True,True,True,False,True,True,False,False,0.5548842865797918,,none,small,n_panels,True,True,COMPLETE
21,391.45327238476716,0.1797731738922243,none,True,True,True,True,True,True,False,True,True,False,False,0.6962009822364261,,none,small,None,True,True,COMPLETE
22,391.45327238476716,0.02393945666557179,none,True,True,True,True,True,True,False,True,True,False,False,0.7379974322663811,,none,small,None,True,True,COMPLETE
23,391.45327238476716,0.25914084317256647,none,True,True,True,True,True,True,False,True,True,False,False,0.6127388400956927,,none,small,None,True,True,COMPLETE
24,454.8159323505958,0.4264326393833737,none,True,True,True,True,True,True,False,True,True,False,False,0.44690392032338633,,none,small,capacity,True,True,COMPLETE
25,391.45327238476716,0.1463290706819957,none,True,True,True,True,True,True,False,True,True,False,False,0.8755040942494704,,none,small,None,True,True,COMPLETE
26,1298.1299953516998,0.3361809784789261,large,True,True,False,False,True,True,False,False,True,False,True,0.7478422880605593,,none,none,None,True,True,COMPLETE
27,719.7168732260808,0.09070948010579533,none,True,True,True,True,True,True,False,True,True,False,False,0.6247848186787097,6.0,none,large,None,True,True,COMPLETE
28,757.9683711784609,0.21310842088754317,none,True,True,True,True,True,True,False,True,True,False,False,0.8846930058560704,12.0,large,medium,None,True,True,COMPLETE
29,3187033507.56872,0.454541292006711,none,True,True,False,True,False,True,False,False,True,False,True,0.758702645395638,1.0,none,small,None,True,False,COMPLETE
