Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,True
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,True
precip_lags_option,none
cloud_lags_option,none
shortwave_lags_option,small
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,None
lags_target,
l1_ratio,0.7516478206380691
alpha,0.3522140080536799
