date,load_rte_actual,load_rte_fitted,load_rte_lower,load_rte_upper
2025-05-09 00:00:00+00:00,,36336.3233183948,35051.125411281784,37621.52122550782
2025-05-09 01:00:00+00:00,,34945.29915664284,33660.10124952982,36230.49706375585
2025-05-09 02:00:00+00:00,,33943.42619005722,32658.228282944197,35228.624097170235
2025-05-09 03:00:00+00:00,,34825.466436041854,33540.268528928835,36110.664343154865
2025-05-09 04:00:00+00:00,,37648.94939872819,36363.75149161517,38934.1473058412
2025-05-09 05:00:00+00:00,,40842.79864341815,39557.60073630513,42127.99655053116
2025-05-09 06:00:00+00:00,,43809.410388517834,42524.212481404815,45094.608295630846
2025-05-09 07:00:00+00:00,,45900.900015344414,44615.702108231395,47186.097922457426
2025-05-09 08:00:00+00:00,,46792.35516021989,45507.157253106874,48077.55306733291
2025-05-09 09:00:00+00:00,,47483.37602841221,46198.17812129919,48768.57393552522
2025-05-09 10:00:00+00:00,,48206.341100232894,46921.143193119875,49491.53900734591
2025-05-09 11:00:00+00:00,,47461.0775565991,46175.87964948608,48746.27546371211
2025-05-09 12:00:00+00:00,,45744.819304699915,44459.621397586896,47030.01721181293
2025-05-09 13:00:00+00:00,,44392.77733508298,43107.57942796996,45677.975242196
2025-05-09 14:00:00+00:00,,42852.34699570475,41567.14908859173,44137.54490281777
2025-05-09 15:00:00+00:00,,42716.75178652519,41431.55387941217,44001.949693638206
2025-05-09 16:00:00+00:00,,43779.89601517598,42494.69810806297,45065.093922289
2025-05-09 17:00:00+00:00,,44380.975533397745,43095.77762628473,45666.17344051076
2025-05-09 18:00:00+00:00,,43219.73979563701,41934.54188852399,44504.93770275003
2025-05-09 19:00:00+00:00,,42515.533343852716,41230.3354367397,43800.73125096573
2025-05-09 20:00:00+00:00,,43437.90278567695,42152.704878563934,44723.10069278997
2025-05-09 21:00:00+00:00,,43359.096076030575,42073.89816891756,44644.293983143594
2025-05-09 22:00:00+00:00,,40979.91969938562,39694.7217922726,42265.117606498636
2025-05-09 23:00:00+00:00,,38297.49906444243,37012.30115732941,39582.696971555444
2025-05-10 00:00:00+00:00,,36333.793318269454,35048.595411156435,37618.99122538247
2025-05-10 01:00:00+00:00,,34545.681803697866,33260.48389658485,35830.879710810885
2025-05-10 02:00:00+00:00,,32873.38063611517,31588.182729002157,34158.57854322819
2025-05-10 03:00:00+00:00,,32480.313500111828,31195.115592998813,33765.51140722485
2025-05-10 04:00:00+00:00,,32710.488001931873,31425.290094818858,33995.68590904489
2025-05-10 05:00:00+00:00,,33527.41249937514,32242.21459226212,34812.61040648815
2025-05-10 06:00:00+00:00,,35750.08665625556,34464.88874914254,37035.28456336858
2025-05-10 07:00:00+00:00,,37990.264276715905,36705.066369602886,39275.462183828924
2025-05-10 08:00:00+00:00,,39785.264774049014,38500.066866936,41070.46268116203
2025-05-10 09:00:00+00:00,,41132.238903063335,39847.04099595032,42417.436810176354
2025-05-10 10:00:00+00:00,,42641.75894384411,41356.561036731095,43926.956850957125
2025-05-10 11:00:00+00:00,,41551.488188955016,40266.290281842,42836.686096068035
2025-05-10 12:00:00+00:00,,39714.86346506239,38429.665557949374,41000.06137217541
2025-05-10 13:00:00+00:00,,38006.46161884979,36721.26371173677,39291.65952596281
2025-05-10 14:00:00+00:00,,37226.4922500894,35941.29434297639,38511.69015720242
2025-05-10 15:00:00+00:00,,37015.99085871533,35730.792951602314,38301.188765828345
2025-05-10 16:00:00+00:00,,38133.01780255965,36847.81989544663,39418.21570967266
2025-05-10 17:00:00+00:00,,39045.402913444734,37760.205006331715,40330.600820557745
2025-05-10 18:00:00+00:00,,39046.0518861274,37760.85397901439,40331.24979324042
2025-05-10 19:00:00+00:00,,39240.973179239736,37955.77527212672,40526.171086352755
2025-05-10 20:00:00+00:00,,40109.76941658105,38824.571509468034,41394.967323694065
2025-05-10 21:00:00+00:00,,40540.843047739756,39255.645140626744,41826.040954852775
2025-05-10 22:00:00+00:00,,38494.17141249649,37208.97350538348,39779.36931960951
2025-05-10 23:00:00+00:00,,36456.8329347216,35171.63502760858,37742.03084183462
2025-05-11 00:00:00+00:00,,34591.59385534959,33306.395948236575,35876.791762462606
2025-05-11 01:00:00+00:00,,32670.82976522322,31385.631858110206,33956.02767233624
2025-05-11 02:00:00+00:00,,31371.460067356864,30086.262160243845,32656.65797446988
2025-05-11 03:00:00+00:00,,31422.562998824305,30137.36509171129,32707.760905937324
2025-05-11 04:00:00+00:00,,31948.239367884977,30663.041460771958,33233.437274997996
2025-05-11 05:00:00+00:00,,32785.837892165306,31500.63998505229,34071.035799278325
2025-05-11 06:00:00+00:00,,34645.11825979769,33359.920352684676,35930.31616691071
2025-05-11 07:00:00+00:00,,36980.37335818837,35695.17545107535,38265.57126530139
2025-05-11 08:00:00+00:00,,39131.03544908179,37845.83754196877,40416.2333561948
2025-05-11 09:00:00+00:00,,40722.81785717189,39437.61995005887,42008.0157642849
2025-05-11 10:00:00+00:00,,42287.27388957419,41002.075982461174,43572.47179668721
2025-05-11 11:00:00+00:00,,41683.01839800023,40397.820490887214,42968.21630511325
2025-05-11 12:00:00+00:00,,39710.46063203633,38425.26272492331,40995.65853914934
2025-05-11 13:00:00+00:00,,37807.149663549266,36521.95175643625,39092.347570662285
2025-05-11 14:00:00+00:00,,36920.495858563554,35635.297951450535,38205.693765676566
2025-05-11 15:00:00+00:00,,36861.98556878909,35576.78766167607,38147.18347590211
2025-05-11 16:00:00+00:00,,38157.74793956621,36872.55003245319,39442.94584667923
2025-05-11 17:00:00+00:00,,39431.52160345854,38146.32369634552,40716.71951057155
2025-05-11 18:00:00+00:00,,39121.62194085469,37836.42403374167,40406.8198479677
2025-05-11 19:00:00+00:00,,39673.82966948551,38388.6317623725,40959.02757659853
2025-05-11 20:00:00+00:00,,40456.92191982166,39171.72401270864,41742.11982693467
2025-05-11 21:00:00+00:00,,40827.72432663745,39542.52641952443,42112.92223375046
2025-05-11 22:00:00+00:00,,38687.95903987935,37402.76113276633,39973.15694699237
2025-05-11 23:00:00+00:00,,36331.60673181031,35046.4088246973,37616.80463892333
2025-05-12 00:00:00+00:00,,35086.66361452953,33801.46570741651,36371.86152164254
2025-05-12 01:00:00+00:00,,33765.567461880455,32480.36955476744,35050.765368993474
2025-05-12 02:00:00+00:00,,32982.26964234531,31697.071735232294,34267.46754945833
2025-05-12 03:00:00+00:00,,33939.670485640265,32654.472578527242,35224.86839275328
2025-05-12 04:00:00+00:00,,36433.20894149118,35148.01103437816,37718.4068486042
2025-05-12 05:00:00+00:00,,39674.57262088504,38389.37471377202,40959.77052799805
2025-05-12 06:00:00+00:00,,42916.62164055856,41631.42373344554,44201.81954767158
2025-05-12 07:00:00+00:00,,45331.424617575685,44046.226710462666,46616.622524688704
2025-05-12 08:00:00+00:00,,46667.74920845401,45382.551301341,47952.94711556703
2025-05-12 09:00:00+00:00,,47550.98923753503,46265.79133042202,48836.18714464805
2025-05-12 10:00:00+00:00,,48311.404066860654,47026.206159747635,49596.60197397367
2025-05-12 11:00:00+00:00,,47584.880454887214,46299.682547774195,48870.07836200023
2025-05-12 12:00:00+00:00,,46091.42909735847,44806.23119024545,47376.62700447149
2025-05-12 13:00:00+00:00,,44711.03857768284,43425.84067056982,45996.23648479586
2025-05-12 14:00:00+00:00,,43862.26577336779,42577.06786625477,45147.46368048081
2025-05-12 15:00:00+00:00,,43577.72372158272,42292.5258144697,44862.92162869574
2025-05-12 16:00:00+00:00,,44564.36336812838,43279.165461015364,45849.5612752414
2025-05-12 17:00:00+00:00,,45272.873921486906,43987.67601437389,46558.071828599925
2025-05-12 18:00:00+00:00,,43975.17186060953,42689.97395349651,45260.36976772255
2025-05-12 19:00:00+00:00,,43010.518257787124,41725.320350674105,44295.71616490014
2025-05-12 20:00:00+00:00,,43797.601013562824,42512.40310644981,45082.79892067584
2025-05-12 21:00:00+00:00,,43427.717343878314,42142.5194367653,44712.91525099133
2025-05-12 22:00:00+00:00,,41063.68658105633,39778.48867394332,42348.88448816935
2025-05-12 23:00:00+00:00,,38571.59351216702,37286.395605054,39856.79141928004
2025-05-13 00:00:00+00:00,,37111.16710390579,35825.96919679277,38396.36501101881
2025-05-13 01:00:00+00:00,,35601.867012947274,34316.669105834255,36887.06492006029
2025-05-13 02:00:00+00:00,,34827.59150389698,33542.393596783964,36112.78941101
2025-05-13 03:00:00+00:00,,35794.72437366558,34509.52646655257,37079.9222807786
2025-05-13 04:00:00+00:00,,38907.69496097347,37622.497053860454,40192.89286808649
2025-05-13 05:00:00+00:00,,42280.541187189156,40995.34328007614,43565.739094302175
2025-05-13 06:00:00+00:00,,45157.719781285574,43872.52187417256,46442.91768839859
2025-05-13 07:00:00+00:00,,46694.44483607187,45409.24692895885,47979.64274318488
2025-05-13 08:00:00+00:00,,47375.8634277644,46090.66552065138,48661.06133487741
2025-05-13 09:00:00+00:00,,47766.71469834479,46481.51679123178,49051.91260545781
2025-05-13 10:00:00+00:00,,48341.70848619621,47056.51057908319,49626.90639330922
2025-05-13 11:00:00+00:00,,47576.1493439254,46290.95143681238,48861.34725103841
2025-05-13 12:00:00+00:00,,46044.718650053124,44759.520742940105,47329.91655716614
2025-05-13 13:00:00+00:00,,44859.661814105246,43574.463906992234,46144.859721218265
2025-05-13 14:00:00+00:00,,43864.916232331394,42579.71832521838,45150.11413944441
2025-05-13 15:00:00+00:00,,43562.742286444365,42277.544379331346,44847.94019355738
2025-05-13 16:00:00+00:00,,44475.036658555844,43189.838751442825,45760.23456566886
2025-05-13 17:00:00+00:00,,45257.98781027503,43972.78990316201,46543.18571738804
2025-05-13 18:00:00+00:00,,43774.535498616846,42489.33759150383,45059.733405729865
2025-05-13 19:00:00+00:00,,42845.83001098007,41560.63210386705,44131.02791809309
2025-05-13 20:00:00+00:00,,43716.105790124784,42430.90788301177,45001.3036972378
2025-05-13 21:00:00+00:00,,43507.02144920591,42221.82354209289,44792.21935631892
2025-05-13 22:00:00+00:00,,40934.13475420054,39648.93684708753,42219.33266131356
2025-05-13 23:00:00+00:00,,38493.90480065207,37208.70689353905,39779.10270776509
2025-05-14 00:00:00+00:00,,37078.812410393286,35793.61450328027,38364.0103175063
2025-05-14 01:00:00+00:00,,35507.8808921326,34222.68298501958,36793.07879924562
2025-05-14 02:00:00+00:00,,34659.604876559046,33374.406969446034,35944.802783672065
2025-05-14 03:00:00+00:00,,35332.5285930675,34047.33068595448,36617.72650018052
2025-05-14 04:00:00+00:00,,38526.731610873976,37241.53370376096,39811.929517986995
2025-05-14 05:00:00+00:00,,42151.645842865815,40866.447935752796,43436.843749978834
2025-05-14 06:00:00+00:00,,44900.590124400725,43615.392217287714,46185.788031513744
2025-05-14 07:00:00+00:00,,46475.413984031875,45190.21607691886,47760.611891144894
2025-05-14 08:00:00+00:00,,47208.88122033495,45923.68331322193,48494.07912744796
2025-05-14 09:00:00+00:00,,47733.050801330144,46447.852894217125,49018.24870844316
2025-05-14 10:00:00+00:00,,48284.461353643645,46999.263446530626,49569.65926075666
2025-05-14 11:00:00+00:00,,47578.98540109623,46293.78749398322,48864.18330820925
2025-05-14 12:00:00+00:00,,46090.208896529664,44805.010989416645,47375.40680364268
2025-05-14 13:00:00+00:00,,44779.0224099144,43493.824502801384,46064.22031702742
2025-05-14 14:00:00+00:00,,43953.052916147375,42667.855009034356,45238.250823260394
2025-05-14 15:00:00+00:00,,43624.14985138437,42338.95194427135,44909.34775849739
2025-05-14 16:00:00+00:00,,44360.722911852434,43075.525004739415,45645.92081896545
2025-05-14 17:00:00+00:00,,44817.39159832659,43532.19369121357,46102.58950543961
