date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2025-05-19 00:00:00+00:00,,13509.452,13105.828524953711,13913.076050933381
2025-05-19 01:00:00+00:00,,12526.543,12122.918990044476,12930.166516024146
2025-05-19 02:00:00+00:00,,14460.844,14057.220151808899,14864.467677788569
2025-05-19 03:00:00+00:00,,14459.599,14055.974953614728,14863.222479594398
2025-05-19 04:00:00+00:00,,16508.602,16104.97868537678,16912.22621135645
2025-05-19 05:00:00+00:00,,18528.441,18124.817621674458,18932.065147654128
2025-05-19 06:00:00+00:00,,20628.361,20224.73724543866,21031.98477141833
2025-05-19 07:00:00+00:00,,19932.49,19528.866228934432,20336.113754914102
2025-05-19 08:00:00+00:00,,20156.463,19752.84012381235,20560.087649792018
2025-05-19 09:00:00+00:00,,20730.607,20326.984643745764,21134.232169725434
2025-05-19 10:00:00+00:00,,20854.8,20451.17711519054,21258.42464117021
2025-05-19 11:00:00+00:00,,20555.854,20152.23026765771,20959.47779363738
2025-05-19 12:00:00+00:00,,20418.955,20015.331631162426,20822.579157142096
2025-05-19 13:00:00+00:00,,20102.928,19699.304276796105,20506.551802775775
2025-05-19 14:00:00+00:00,,20140.287,19736.662913971788,20543.910439951454
2025-05-19 15:00:00+00:00,,20560.016,20156.392092425802,20963.639618405472
2025-05-19 16:00:00+00:00,,19961.004,19557.380290720364,20364.627816700035
2025-05-19 17:00:00+00:00,,20528.86,20125.236619581006,20932.484145560677
2025-05-19 18:00:00+00:00,,18996.988,18593.364958805556,19400.612484785222
2025-05-19 19:00:00+00:00,,18395.229,17991.605512453723,18798.853038433394
2025-05-19 20:00:00+00:00,,18464.799,18061.175479172223,18868.423005151893
2025-05-19 21:00:00+00:00,,16690.85,16287.225781434368,17094.47330741404
2025-05-19 22:00:00+00:00,,15461.025,15057.401379121298,15864.648905100968
2025-05-19 23:00:00+00:00,,14629.952,14226.32867249207,15033.576198471741
2025-05-20 00:00:00+00:00,,14685.383,14281.75932998486,15089.006855964528
2025-05-20 01:00:00+00:00,,15130.244,14726.620040964397,15533.867566944067
2025-05-20 02:00:00+00:00,,14992.788,14589.164593941365,15396.412119921035
2025-05-20 03:00:00+00:00,,15226.281,14822.656998326129,15629.904524305799
2025-05-20 04:00:00+00:00,,17729.69,17326.065368885447,18133.312894865117
2025-05-20 05:00:00+00:00,,19208.371,18804.7470211921,19611.99454717177
2025-05-20 06:00:00+00:00,,20917.02,20513.395358805155,21320.642884784826
2025-05-20 07:00:00+00:00,,21754.0,21350.375480242205,22157.623006221875
2025-05-20 08:00:00+00:00,,21628.012,21224.38737957314,22031.63490555281
2025-05-20 09:00:00+00:00,,21779.924,21376.300163746837,22183.547689726507
2025-05-20 10:00:00+00:00,,21486.693,21083.068947374246,21890.316473353916
2025-05-20 11:00:00+00:00,,21249.955,20846.33137228748,21653.57889826715
2025-05-20 12:00:00+00:00,,20802.307,20398.68341892038,21205.93094490005
2025-05-20 13:00:00+00:00,,20546.922,20143.29797417551,20950.54550015518
2025-05-20 14:00:00+00:00,,20325.938,19922.313272657088,20729.560798636758
2025-05-20 15:00:00+00:00,,19974.262,19570.63768423819,20377.88521021786
2025-05-20 16:00:00+00:00,,20204.469,19800.84544477935,20608.09297075902
2025-05-20 17:00:00+00:00,,20495.389,20091.764491978713,20899.012017958383
2025-05-20 18:00:00+00:00,,20109.209,19705.58479253579,20512.83231851546
2025-05-20 19:00:00+00:00,,19030.553,18626.928131308636,19434.175657288306
2025-05-20 20:00:00+00:00,,17826.477,17422.852315937616,18230.099841917287
2025-05-20 21:00:00+00:00,,16657.549,16253.925401869901,17061.17292784957
2025-05-20 22:00:00+00:00,,17297.744,16894.120648620737,17701.368174600408
2025-05-20 23:00:00+00:00,,15595.545,15191.921061077512,15999.16858705718
2025-05-21 00:00:00+00:00,,15619.039,15215.41575406201,16022.663280041681
2025-05-21 01:00:00+00:00,,15478.691,15075.06780294048,15882.315328920151
2025-05-21 02:00:00+00:00,,15683.202,15279.57795022087,16086.82547620054
2025-05-21 03:00:00+00:00,,16501.045,16097.421971071619,16904.669497051287
2025-05-21 04:00:00+00:00,,18325.457,17921.83319604469,18729.08072202436
2025-05-21 05:00:00+00:00,,20504.445,20100.821185664747,20908.068711644417
2025-05-21 06:00:00+00:00,,21031.709,20628.08596724472,21435.33349322439
2025-05-21 07:00:00+00:00,,22024.074,21620.450117004828,22427.697642984494
2025-05-21 08:00:00+00:00,,21945.955,21542.331174900166,22349.578700879836
2025-05-21 09:00:00+00:00,,22078.355,21674.732066205135,22481.979592184805
2025-05-21 10:00:00+00:00,,22633.553,22229.928381693462,23037.175907673132
2025-05-21 11:00:00+00:00,,22398.57,21994.946763330077,22802.194289309748
2025-05-21 12:00:00+00:00,,21874.363,21470.739854388798,22277.987380368468
2025-05-21 13:00:00+00:00,,21031.11,20627.485497030048,21434.733023009718
2025-05-21 14:00:00+00:00,,20643.973,20240.349869738733,21047.597395718403
2025-05-21 15:00:00+00:00,,21374.96,20971.336432243213,21778.583958222884
2025-05-21 16:00:00+00:00,,21825.229,21421.603966825714,22228.851492805385
2025-05-21 17:00:00+00:00,,21259.703,20856.080042107355,21663.327568087025
2025-05-21 18:00:00+00:00,,20977.348,20573.724673042605,21380.972199022275
2025-05-21 19:00:00+00:00,,19990.176,19586.551241403155,20393.798767382825
2025-05-21 20:00:00+00:00,,19571.342,19167.718581725825,19974.966107705495
2025-05-21 21:00:00+00:00,,18803.236,18399.611828229645,19206.85935420931
2025-05-21 22:00:00+00:00,,16471.252,16067.62792289349,16874.87544887316
2025-05-21 23:00:00+00:00,,15341.805,14938.180928643958,15745.428454623629
2025-05-22 00:00:00+00:00,,14929.818,14526.194167684003,15333.441693663674
2025-05-22 01:00:00+00:00,,14506.565,14102.941612623414,14910.189138603084
2025-05-22 02:00:00+00:00,,15529.383,15125.759490488723,15933.007016468393
2025-05-22 03:00:00+00:00,,15908.563,15504.939884232139,16312.187410211807
2025-05-22 04:00:00+00:00,,19390.27,18986.646459548625,19793.89398552829
2025-05-22 05:00:00+00:00,,20702.838,20299.21449119159,21106.46201717126
2025-05-22 06:00:00+00:00,,21024.158,20620.534635640688,21427.78216162036
2025-05-22 07:00:00+00:00,,21184.02,20780.396672583254,21587.644198562924
2025-05-22 08:00:00+00:00,,21360.621,20956.998112595258,21764.24563857493
2025-05-22 09:00:00+00:00,,21805.168,21401.544035238487,22208.791561218157
2025-05-22 10:00:00+00:00,,21965.508,21561.884933222103,22369.132459201774
2025-05-22 11:00:00+00:00,,21775.672,21372.047431137482,22179.294957117152
2025-05-22 12:00:00+00:00,,21062.496,20658.871628586123,21466.119154565793
2025-05-22 13:00:00+00:00,,20559.465,20155.84106331778,20963.08858929745
2025-05-22 14:00:00+00:00,,20596.67,20193.045894792725,21000.293420772396
2025-05-22 15:00:00+00:00,,20706.31,20302.68713085606,21109.93465683573
2025-05-22 16:00:00+00:00,,20978.408,20574.784467086825,21382.031993066495
2025-05-22 17:00:00+00:00,,21570.994,21167.37081884074,21974.61834482041
2025-05-22 18:00:00+00:00,,20811.367,20407.743501714533,21214.991027694203
2025-05-22 19:00:00+00:00,,20206.225,19802.601202143433,20609.848728123103
2025-05-22 20:00:00+00:00,,18600.248,18196.623402953897,19003.870928933567
2025-05-22 21:00:00+00:00,,18371.252,17967.627223644773,18774.874749624443
2025-05-22 22:00:00+00:00,,17650.494,17246.871381750036,18054.118907729702
2025-05-22 23:00:00+00:00,,16911.307,16507.682081125437,17314.929607105107
2025-05-23 00:00:00+00:00,,15179.38,14775.756526605383,15583.004052585053
2025-05-23 01:00:00+00:00,,15297.051,14893.427157876595,15700.674683856265
2025-05-23 02:00:00+00:00,,16208.716,15805.09245681754,16612.33998279721
2025-05-23 03:00:00+00:00,,17268.7,16865.076191414442,17672.323717394112
2025-05-23 04:00:00+00:00,,19033.95,18630.325450537184,19437.572976516854
2025-05-23 05:00:00+00:00,,20955.336,20551.712216461186,21358.959742440857
2025-05-23 06:00:00+00:00,,22589.701,22186.076911122513,22993.324437102183
2025-05-23 07:00:00+00:00,,22995.324,22591.700521912513,23398.948047892183
2025-05-23 08:00:00+00:00,,23372.69,22969.065749220143,23776.313275199813
2025-05-23 09:00:00+00:00,,21888.29,21484.665699642945,22291.913225622615
2025-05-23 10:00:00+00:00,,22176.459,21772.834784644037,22580.082310623708
