date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2025-07-16 00:00:00+00:00,14985.5,15023.216,14619.592006618834,15426.839532598504
2025-07-16 01:00:00+00:00,14697.5,15199.99,14796.366291144825,15603.613817124495
2025-07-16 02:00:00+00:00,14642.5,15523.224,15119.600284883712,15926.847810863383
2025-07-16 03:00:00+00:00,16037.5,15135.119,14731.49517331154,15538.742699291208
2025-07-16 04:00:00+00:00,18635.75,17335.531,16931.907011176754,17739.154537156424
2025-07-16 05:00:00+00:00,20411.75,18425.527,18021.90279334745,18829.15031932712
2025-07-16 06:00:00+00:00,21351.0,20513.604,20109.980449711155,20917.227975690825
2025-07-16 07:00:00+00:00,22058.5,20908.871,20505.24694609457,21312.49447207424
2025-07-16 08:00:00+00:00,22200.0,20856.24,20452.61728678111,21259.86481276078
2025-07-16 09:00:00+00:00,21532.75,20458.06,20054.43695485399,20861.68448083366
2025-07-16 10:00:00+00:00,21431.75,20165.521,19761.898512052445,20569.146038032115
2025-07-16 11:00:00+00:00,21181.75,19969.463,19565.83940490159,20373.08693088126
2025-07-16 12:00:00+00:00,20831.0,18938.1,18534.47671327553,19341.724239255196
2025-07-16 13:00:00+00:00,20534.5,18940.457,18536.833925190833,19344.0814511705
2025-07-16 14:00:00+00:00,20572.25,18738.555,18334.93069981023,19142.1782257899
2025-07-16 15:00:00+00:00,20782.25,18786.992,18383.36910393878,19190.61662991845
2025-07-16 16:00:00+00:00,21074.5,19085.51,18681.88631971796,19489.13384569763
2025-07-16 17:00:00+00:00,20327.75,18945.914,18542.290202360404,19349.53772834007
2025-07-16 18:00:00+00:00,19435.0,18465.596,18061.972542577612,18869.220068557283
2025-07-16 19:00:00+00:00,18820.25,17761.408,17357.78383239632,18165.03135837599
2025-07-16 20:00:00+00:00,18071.25,17310.945,16907.322221534276,17714.569747513946
2025-07-16 21:00:00+00:00,16954.0,16260.711,15857.086957397947,16664.334483377617
2025-07-16 22:00:00+00:00,16077.0,16701.436,16297.811760318527,17105.059286298198
2025-07-16 23:00:00+00:00,15452.75,15414.67,15011.046354448143,15818.293880427813
2025-07-17 00:00:00+00:00,15292.75,15369.127,14965.502722130139,15772.750248109809
2025-07-17 01:00:00+00:00,15478.0,15265.411,14861.787640648925,15669.035166628595
2025-07-17 02:00:00+00:00,15758.5,15958.646,15555.022927834365,16362.270453814035
2025-07-17 03:00:00+00:00,16631.25,15470.468,15066.843833054807,15874.091359034477
2025-07-17 04:00:00+00:00,18535.25,17667.488,17263.864369850373,18071.111895830043
2025-07-17 05:00:00+00:00,20092.75,19085.64,18682.017024659694,19489.264550639364
2025-07-17 06:00:00+00:00,21230.5,20779.148,20375.525643154604,21182.773169134274
2025-07-17 07:00:00+00:00,21110.25,20949.002,20545.37737531198,21352.62490129165
2025-07-17 08:00:00+00:00,20650.0,20901.225,20497.60131754115,21304.84884352082
2025-07-17 09:00:00+00:00,20771.5,20556.309,20152.684408145433,20959.931934125103
2025-07-17 10:00:00+00:00,20554.75,20922.361,20518.73798871319,21325.98551469286
2025-07-17 11:00:00+00:00,20171.25,20188.248,19784.625173329765,20591.872699309435
2025-07-17 12:00:00+00:00,19446.5,19706.082,19302.45745923351,20109.70498521318
2025-07-17 13:00:00+00:00,19395.0,19659.172,19255.548664261947,20062.796190241617
2025-07-17 14:00:00+00:00,18680.0,19122.785,18719.161001708,19526.40852768767
2025-07-17 15:00:00+00:00,18870.25,18559.568,18155.944785498505,18963.192311478175
2025-07-17 16:00:00+00:00,19616.0,19463.145,19059.521354919605,19866.768880899275
2025-07-17 17:00:00+00:00,20049.25,19743.412,19339.78748834949,20147.03501432916
2025-07-17 18:00:00+00:00,19525.75,18881.027,18477.403173162904,19284.650699142574
2025-07-17 19:00:00+00:00,18802.25,18266.06,17862.435836699682,18669.683362679352
2025-07-17 20:00:00+00:00,18048.25,17385.592,16981.96812525587,17789.21565123554
2025-07-17 21:00:00+00:00,16802.0,16251.127,15847.503556438618,16654.751082418286
2025-07-17 22:00:00+00:00,15934.75,16948.82,16545.196716954168,17352.444242933838
2025-07-17 23:00:00+00:00,15280.5,15805.8545,15402.230371065269,16209.477897044939
2025-07-18 00:00:00+00:00,14878.75,16003.038,15599.413864673874,16406.661390653542
2025-07-18 01:00:00+00:00,14749.75,16214.149,15810.525994566839,16617.773520546507
2025-07-18 02:00:00+00:00,15037.25,16264.0205,15860.396321794879,16667.643847774547
2025-07-18 03:00:00+00:00,15961.25,15681.613,15277.989455310344,16085.236981290012
2025-07-18 04:00:00+00:00,17828.0,18067.264,17663.6392771467,18470.88680312637
2025-07-18 05:00:00+00:00,19471.75,20101.406,19697.783464368276,20505.030990347946
2025-07-18 06:00:00+00:00,20334.75,20782.895,20379.27040826496,21186.51793424463
2025-07-18 07:00:00+00:00,20291.75,20235.695,19832.071690176006,20639.319216155673
2025-07-18 08:00:00+00:00,19717.75,20547.904,20144.280018092333,20951.527544072003
2025-07-18 09:00:00+00:00,19569.75,20460.441,20056.818202025024,20864.065728004694
2025-07-18 10:00:00+00:00,19606.75,19845.04,19441.41577634728,20248.66330232695
2025-07-18 11:00:00+00:00,19305.0,18189.297,17785.672637521606,18592.920163501276
2025-07-18 12:00:00+00:00,18728.25,18043.77,17640.14622887643,18447.3937548561
2025-07-18 13:00:00+00:00,18594.25,19659.42,19255.79661739259,20063.04414337226
2025-07-18 14:00:00+00:00,18466.25,19564.125,19160.50027983415,19967.747805813815
2025-07-18 15:00:00+00:00,18559.5,19501.496,19097.871455739085,19905.118981718755
2025-07-18 16:00:00+00:00,18959.25,20002.59,19598.966541233473,20406.214067213143
2025-07-18 17:00:00+00:00,19163.75,19964.047,19560.422513653928,20367.6700396336
2025-07-18 18:00:00+00:00,18701.0,19302.213,18898.58975532707,19705.83728130674
2025-07-18 19:00:00+00:00,18043.5,18367.605,17963.98144042737,18771.22896640704
2025-07-18 20:00:00+00:00,17194.5,17933.902,17530.278271448013,18337.525797427683
2025-07-18 21:00:00+00:00,16279.25,16074.365,15670.74143282999,16477.98895880966
2025-07-18 22:00:00+00:00,15605.25,16973.576,16569.952556876917,17377.200082856587
2025-07-18 23:00:00+00:00,14852.0,16393.443,15989.818785142612,16797.066311122282
2025-07-19 00:00:00+00:00,14247.0,14831.156,14427.532844483645,15234.780370463315
2025-07-19 01:00:00+00:00,14142.25,14515.179,14111.554333146078,14918.801859125746
2025-07-19 02:00:00+00:00,14119.75,13977.48,13573.856381586176,14381.103907565845
2025-07-19 03:00:00+00:00,14130.25,13679.251,13275.627227537014,14082.874753516684
2025-07-19 04:00:00+00:00,14403.0,14000.803,13597.179027493898,14404.426553473566
