Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,False
compute_air_density,True
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,False
dew_point_temperature,True
vapor_pressure,True
precip_lags_option,none
cloud_lags_option,medium
shortwave_lags_option,medium
drop_raw_solar_features,True
drop_raw_features,True
spatial_agg_method,distance_capacity
n_estimators,620
learning_rate,0.01064102978684339
max_depth,10
min_child_weight,8
subsample,0.7743558668387763
colsample_bytree,0.7105975071242
reg_alpha,0.0033131524544190573
reg_lambda,2.9165191927799446e-08
use_base_models_pred_intervals,False
cv_folds_base,35
