number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,326.91837519524427,small,0.724478732993046,False,True,True,True,True,False,True,False,False,True,False,0.13362433653548852,5,6,797,large,7.508818702652679e-05,6.877950869775936e-07,none,n_panels,0.6298905969619237,False,False,False,COMPLETE
1,304.6399153441517,large,0.8535060973786783,True,False,True,False,False,True,False,True,True,True,True,0.029980742537032316,8,8,997,large,1.971426720981633e-08,0.00044637558527239234,none,idw,0.5261815385894637,True,False,False,COMPLETE
2,277.28989057916925,large,0.5197305930058471,True,False,True,True,False,True,True,True,False,False,True,0.020135945707172382,7,2,475,large,0.4421167929808421,0.04618308365929501,large,distance_n_panels,0.7481751049288952,True,False,False,COMPLETE
3,277.7142333251811,none,0.6321650890598305,False,True,True,True,True,True,True,False,True,True,False,0.062056304274725034,9,9,784,none,8.763487459644172e-07,9.5083257269051e-07,large,distance_n_panels,0.9891428046143045,False,False,False,COMPLETE
4,275.7788225944562,medium,0.7579293910841132,True,True,True,False,False,False,False,False,False,True,False,0.05767503345436961,3,8,750,small,4.9732051128822704e-05,0.0022148958102906997,small,mean,0.7370150875857959,False,False,True,COMPLETE
5,284.56375953382513,medium,0.6267066521215416,True,True,True,True,True,False,True,False,True,True,True,0.16577628255576532,3,1,644,none,2.9195695121974623e-05,1.2070949787833111e-08,large,mean,0.6527383096828105,True,False,False,COMPLETE
6,343.8798169716701,small,0.8442209732405572,False,False,True,False,True,True,False,False,False,True,True,0.23032753699162228,7,2,859,large,2.711444506253491e-06,2.046004073258931e-06,medium,distance_n_panels,0.5564481081650222,False,True,True,COMPLETE
7,334.92855507918154,large,0.6263827860857354,False,True,False,True,True,True,True,False,False,False,False,0.2506803171842942,8,7,577,none,0.0002641296282588941,0.007320510604947203,small,n_panels,0.6490814060321203,False,True,False,COMPLETE
8,285.9074083281168,small,0.9161239042142948,False,True,True,False,False,True,False,False,False,False,False,0.016857412659666535,7,1,949,large,0.0004539778987044003,0.00018933820539090082,medium,mean,0.6840531316579705,True,False,True,COMPLETE
9,259.08693226013634,none,0.6336120132255965,True,True,True,True,True,False,False,True,True,False,True,0.013308015843881305,4,7,672,none,0.0007771305627610805,0.0021135242261275462,none,mean,0.5585319933592396,True,True,True,COMPLETE
10,282.7512895424447,none,0.5290227895149864,True,False,False,True,True,False,False,True,True,False,True,0.010414708777389503,5,4,321,small,0.039816867188574044,0.22348689425608734,none,capacity,0.8502164469973341,True,True,True,COMPLETE
11,272.6658014444638,medium,0.7714973916846637,True,True,False,False,False,False,False,True,True,False,False,0.0626592889522099,3,10,710,small,0.0038475846039231093,0.0026700226054552126,small,mean,0.8448153824499443,False,True,True,COMPLETE
12,298.7074151450722,none,0.7315277319726723,True,True,False,False,False,False,False,True,True,False,True,0.1025388758074852,4,10,558,small,0.007644755468297604,0.6824665447834005,small,max,0.8316898823089154,False,True,True,COMPLETE
