Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,False
compute_diffuse_ratio,True
compute_dni_ratio,False
compute_global_tilted_ratio,False
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,none
cloud_lags_option,large
shortwave_lags_option,large
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,capacity
n_estimators,844
learning_rate,0.09739398153666048
num_leaves,81
max_depth,11
min_child_samples,23
subsample,0.9046352474974777
colsample_bytree,0.5554824413571098
reg_alpha,0.8836444161847423
reg_lambda,8.747456851930039e-05
min_split_gain,0.25537017685432545
use_base_models_pred_intervals,False
cv_folds_base,40
