number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,907.6977973091249,small,0.5899348560496624,False,True,False,False,False,True,True,False,False,False,False,0.04474297981169311,5,99,0.2586779653395916,752,129,none,1.4349704207199543e-08,0.0002581986391290885,small,None,0.9533504927082214,True,False,True,COMPLETE
1,920.0665501495672,medium,0.8015052844785752,True,True,True,False,False,False,True,True,True,True,False,0.03960753696812578,6,66,0.2120189359426325,450,20,none,0.03512454773162562,2.4380616562852594e-07,medium,distance_capacity,0.6214339421916293,False,True,True,COMPLETE
2,931.4921787566323,medium,0.5918447375446665,False,False,False,False,True,False,False,True,True,False,True,0.08683215623184606,4,83,0.3155752245900373,603,43,none,1.22771277005263e-07,2.0261132908331586e-05,large,idw,0.6956374053470968,True,False,True,COMPLETE
3,899.9844410734968,small,0.8396402672348405,False,True,True,False,False,True,True,False,True,False,True,0.25781315244271646,5,55,0.06947521818998681,985,131,large,2.6930420631709448e-08,9.257095970167484e-08,large,None,0.7009943952315671,True,False,True,COMPLETE
4,896.8808375038799,large,0.5554824413571098,False,True,True,True,True,False,False,False,False,False,False,0.09739398153666048,11,23,0.25537017685432545,844,81,none,0.8836444161847423,8.747456851930039e-05,large,capacity,0.9046352474974777,False,False,False,COMPLETE
5,905.7647106628866,medium,0.5793648441290763,False,False,True,False,True,False,False,False,True,False,True,0.01781703965278965,7,59,0.12488580008187039,536,78,small,2.893783010501356e-05,0.032249573372028835,none,None,0.6588651225971918,True,False,False,COMPLETE
6,918.6611042881135,medium,0.9775054050711016,True,False,True,True,False,False,True,False,False,False,True,0.06894851630274054,9,31,0.3241001275539019,389,25,large,0.042288994431910525,5.019400762957812e-06,small,None,0.9444054934749342,True,False,False,COMPLETE
7,913.0366277332711,small,0.687413379886717,False,False,False,False,False,True,False,False,False,True,False,0.022559240539922597,12,96,0.17572615870935965,522,128,small,0.008605696815787664,0.0017153646257889487,small,capacity,0.5453607060022789,True,False,False,COMPLETE
8,934.5978181487752,medium,0.9603162257523885,False,False,True,True,True,False,False,True,False,False,True,0.23294376840205802,11,12,0.48767813533193954,520,119,small,3.0164706498856608e-05,0.0004303494379820755,medium,n_panels,0.6091734216276546,True,True,False,COMPLETE
9,919.4490288358726,medium,0.5260669239978589,True,True,True,True,False,True,True,True,True,False,False,0.012897823793117732,16,73,0.36531175407248373,392,43,large,3.011510010282621e-07,0.09221980561739553,large,capacity,0.7253698267746141,True,True,True,COMPLETE
10,912.392943336039,large,0.694703143487069,True,True,False,True,True,False,False,False,False,True,False,0.1438125499396186,15,33,0.44186194449183264,802,89,none,0.8267721182098887,1.2941902942349983e-08,none,max,0.8524453267487714,False,True,False,COMPLETE
11,1013.5981569178657,large,0.8574979600532244,False,True,True,True,True,True,True,False,True,False,True,0.2850864753619383,9,45,0.042043738963539294,1000,95,large,2.057566945382903e-06,9.559316143453465e-07,large,mean,0.8258082731486017,False,False,True,COMPLETE
12,909.0248426343068,none,0.8534855693617649,False,True,True,False,False,True,True,False,True,False,False,0.12171391519322762,3,14,0.011796498678970119,984,67,large,0.001317300098454252,1.0988901271988855e-08,large,distance_n_panels,0.8137260479588588,False,False,True,COMPLETE
13,940.4347274986349,large,0.739371401731756,False,True,True,True,True,True,False,False,False,False,True,0.16047869747857146,13,45,0.08792518365147256,864,106,none,0.9506495662750717,0.003605907555835869,large,capacity,0.7760168184508902,False,False,False,COMPLETE
14,927.7447408419421,small,0.8955388291663063,False,True,True,True,False,False,False,False,False,True,True,0.09689225217677229,8,26,0.14430162493898807,895,141,large,0.000749406701210601,0.8641368297008091,large,n_panels,0.8908109942133117,False,False,True,COMPLETE
15,926.438798052203,none,0.5025214722543379,False,True,True,False,True,True,True,False,True,False,False,0.2011168528450053,11,44,0.2402990728240394,725,59,none,3.89810884054467e-06,2.0641593309115584e-07,large,idw,0.7423772133813853,False,False,False,COMPLETE
16,918.722879677253,small,0.7695234174455184,False,True,True,True,True,False,True,False,True,False,True,0.031914305004686346,14,55,0.0850244074722945,911,149,large,1.0952228103377194e-08,1.1803334244313358e-05,large,mean,0.9889983801900871,True,False,True,COMPLETE
17,918.2559601431743,large,0.6370307321122063,False,True,True,False,False,True,False,False,False,False,False,0.06320850347491022,10,7,0.2834883045268323,678,110,large,0.00029046019258595953,4.82162360755133e-05,none,distance_capacity,0.8871400940600188,False,False,False,COMPLETE
18,953.3347358874342,small,0.9183995507240129,True,True,False,True,False,True,True,True,True,True,True,0.293320459462564,7,78,0.40566650903626766,837,75,none,3.3376694037096433e-06,2.2710953353998756e-06,medium,distance_n_panels,0.5813634715098553,False,True,True,COMPLETE
19,909.3626249695626,large,0.8056157289930694,False,True,True,False,True,False,False,False,False,False,False,0.181298282718422,5,25,0.2059354969626046,941,98,small,0.00621570994440358,1.1508864480546491e-07,large,capacity,0.678939859914305,True,False,False,COMPLETE
