number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_choice,params_lags_target,params_precip_lags_choice,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,331.21071112336955,0.8172193589230392,False,True,True,False,True,False,True,False,False,True,0.05418677655515848,none,6.0,none,capacity,6,False,COMPLETE
1,350.7350574584357,0.22776468923341456,False,False,False,False,False,True,False,True,False,False,0.3154650873933224,small,12.0,none,max,0,True,COMPLETE
2,367.3803941803064,0.08170206569517253,True,False,False,False,True,True,True,True,False,True,0.2472221423759048,small,6.0,large,max,0,False,COMPLETE
3,329.42857654707444,0.3778713090116416,False,True,False,False,True,False,False,True,False,False,0.9627133848259407,small,1.0,small,mean,6,False,COMPLETE
4,329.5983425583776,0.3303295001804332,False,False,False,False,True,False,False,True,False,True,0.7214660595532216,none,6.0,small,None,0,False,COMPLETE
5,315.2630574663107,0.3282045750141332,True,True,True,True,False,True,True,True,False,True,0.9295731356439297,small,6.0,small,mean,2,True,COMPLETE
6,315.4290996846155,0.44871469010694076,False,False,False,False,False,True,False,True,True,False,0.7615408591638686,none,12.0,none,distance_n_turbines,2,True,COMPLETE
7,311.09146835596204,0.0604366367910588,False,False,False,True,True,True,False,True,True,True,0.9410345243915754,none,,large,idw,6,True,COMPLETE
8,321.0484621827768,0.4759455194010826,False,False,False,False,True,False,True,True,False,False,0.7811155939058289,small,12.0,none,distance_n_turbines,2,True,COMPLETE
9,293.18529396940016,0.9094427497755767,False,True,False,False,True,True,True,False,True,False,0.5206893886652486,none,1.0,small,mean,6,False,COMPLETE
10,307.49815685644023,0.9938118355224047,True,True,True,True,False,True,True,False,True,False,0.5470100565096168,large,1.0,small,distance_capacity,6,False,COMPLETE
11,307.49815685644023,0.9839996180831875,True,True,True,True,False,True,True,False,True,False,0.5016094827338046,large,1.0,small,distance_capacity,6,False,COMPLETE
12,307.49815685644023,0.7175046464377546,True,True,True,True,False,True,True,False,True,False,0.5050230390248044,large,1.0,small,distance_capacity,6,False,COMPLETE
13,307.49815685644023,0.9929204750286047,True,True,True,True,False,True,True,False,True,False,0.5468639351976287,large,1.0,small,distance_capacity,6,False,COMPLETE
14,300.91987579813417,0.6777916897799923,True,True,True,True,True,True,True,False,True,False,0.34576277838280073,large,1.0,small,mean,6,False,COMPLETE
15,285.73219722356606,0.6517871190945909,True,True,True,True,True,True,True,False,True,False,0.3043539544588636,none,,small,mean,6,False,COMPLETE
16,295.8098528242476,0.6165238450414445,False,True,False,True,True,True,True,False,True,False,0.12736011694103183,none,,large,mean,6,False,COMPLETE
17,285.3899193794932,0.8373695206206535,True,True,True,False,True,True,True,False,True,False,0.399923535931412,none,,small,mean,6,False,COMPLETE
18,277.59866268405057,0.5661941263635506,True,True,True,False,True,False,True,False,True,False,0.19760677884727423,none,,small,None,2,False,COMPLETE
19,277.66294203978947,0.5569565216540441,True,True,True,False,True,False,True,False,True,False,0.17249765473534567,none,,large,None,2,False,COMPLETE
20,277.66294203978947,0.5695035416671573,True,True,True,False,True,False,True,False,True,False,0.17074985116981048,none,,large,None,2,False,COMPLETE
21,277.66294203978947,0.5579892662620998,True,True,True,False,True,False,True,False,True,False,0.1953454209783015,none,,large,None,2,False,COMPLETE
22,277.66294203978947,0.5485515151247786,True,True,True,False,True,False,True,False,True,False,0.03974560340776906,none,,large,None,2,False,COMPLETE
23,277.66294203978947,0.42351892922337675,True,True,True,False,True,False,True,False,True,False,0.16035272280475804,none,,large,None,2,False,COMPLETE
24,277.66294203978947,0.7391986297144402,True,True,True,False,True,False,True,False,True,False,0.01702070068629427,none,,large,None,2,False,COMPLETE
25,277.66294203978947,0.5333544218714726,True,True,True,False,True,False,True,False,True,False,0.10443639437905142,none,,large,None,2,False,COMPLETE
26,273.43559958718646,0.6099642476384698,True,True,True,False,True,False,False,False,True,True,0.23481360603312834,none,,large,None,2,True,COMPLETE
27,304.523951240028,0.22213672498887688,True,True,True,False,True,False,False,False,True,True,0.24581161664406045,none,,large,idw,2,True,COMPLETE
28,281.89989439991933,0.817991007371833,True,True,True,False,True,False,False,False,True,True,0.44684537752488207,none,,large,capacity,2,True,COMPLETE
29,281.76355541353104,0.7650962438113699,True,True,True,False,True,False,False,False,True,True,0.0782607309481367,none,,none,capacity,2,True,COMPLETE
