number,value,params_alpha,params_l1_ratio,state
0,0.49630740563322107,0.615118901602056,0.688118586108268,COMPLETE
1,0.382677865864256,0.17663093955872186,0.4660318176808683,COMPLETE
2,0.3700104048078303,0.12309315821053489,0.23188976758052063,COMPLETE
3,0.38087216101487736,0.3003174528656046,0.19019435465079249,COMPLETE
4,0.5549524054844003,0.7685676483141706,0.9418110555340218,COMPLETE
5,0.5555097450441752,0.914126387007925,0.9326501727823313,COMPLETE
6,0.3883320399671073,0.2815340942699858,0.3682822031017315,COMPLETE
7,0.4988558599210664,0.702922342082406,0.6045207473837083,COMPLETE
8,0.41681823848480537,0.390937853158418,0.5145322239336921,COMPLETE
9,0.39136716125930787,0.9019882256537123,0.06592773133099201,COMPLETE
10,0.3601632433936366,0.03749810108307322,0.25332352742450265,COMPLETE
11,0.35833867686673804,0.03365876109134769,0.24093185719444968,COMPLETE
12,0.3490104078584298,0.01714897004284119,0.025186290205650386,COMPLETE
13,0.34655654098802396,0.01209870122226215,0.03713380078225045,COMPLETE
14,0.3783121087028742,0.48698389264333464,0.01734946227235625,COMPLETE
15,0.37036291595746823,0.18695907359683567,0.11753687357052617,COMPLETE
16,0.42659221190849994,0.3174838758906736,0.7464058884862532,COMPLETE
17,0.3522051893869116,0.018995527357579957,0.3173821444052389,COMPLETE
18,0.37752223175966443,0.4499493303851879,0.015702774902505157,COMPLETE
19,0.36775637983839843,0.1330040475227104,0.1306055495847388,COMPLETE
