number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_use_base_models_pred_intervals,state
0,469.84325389314654,0.5882811480817727,0.19108446784669691,7,37,0.4453183319087859,683,52,7.635904458971235e-08,0.5894926660905502,0.7565115316162665,False,COMPLETE
1,439.02648644019797,0.9640311744696717,0.13656388732760652,11,99,0.4440312344970065,756,72,3.5047781393183566e-08,1.4753684667761394e-05,0.9421590926351909,False,COMPLETE
2,465.66999892886383,0.6778334527277601,0.27256917054863317,3,80,0.23566768153473405,924,126,0.00011626212528480836,1.309156004567806e-06,0.9800108387090594,False,COMPLETE
3,444.6158398501036,0.7681554093924803,0.03818930033088672,9,50,0.2654688792986723,843,37,0.0036195055277764253,0.04419442259897934,0.7354155978598595,True,COMPLETE
4,438.3793477031256,0.8604274902341871,0.029811498638404856,14,89,0.47533995694942566,664,74,3.210069626560653e-08,7.433005946947863e-06,0.5400547801268283,False,COMPLETE
5,461.51222023932775,0.9878152972680101,0.13370348403364768,16,61,0.11926027153835556,515,71,2.441126529006776e-07,0.0017061342011350882,0.9917477408893333,False,COMPLETE
6,451.3020602772917,0.8914330697870771,0.04703582928055905,5,24,0.22255832665527803,727,51,1.2250020127953253e-07,0.0010598992885809456,0.8992476485234037,False,COMPLETE
7,434.0247533183974,0.5968416195995208,0.018994485328865805,9,100,0.3761747614290998,885,34,3.911224717867446e-07,0.014183329821354295,0.635552693433463,True,COMPLETE
8,450.2691968055943,0.8422958897304278,0.0333733920835937,16,82,0.1928722886373066,668,14,0.010116971782499195,0.805597300877689,0.9379713240533325,False,COMPLETE
9,439.18093456619266,0.8180883256853522,0.12104395238853992,4,14,0.37596150435247166,772,36,0.10212042204135685,4.198451458850987e-05,0.9704859154565797,True,COMPLETE
10,439.65729017402856,0.5566771018306323,0.011144617851883323,11,64,0.3500100714954357,317,137,5.551570395449903e-06,3.9883630715657855e-08,0.5158056427970483,True,COMPLETE
11,431.6277360203025,0.6603047663052906,0.01889845367159805,13,95,0.4833783868436741,978,98,5.064634133131134e-06,5.631806740671414e-07,0.5262707333412572,True,COMPLETE
12,444.8204935732277,0.6441209183798725,0.013530030498934724,13,100,0.013790896391534635,997,104,5.728663576188119e-06,4.9188488983154735e-08,0.6169250183603342,True,COMPLETE
13,434.40306877288214,0.5049653867922719,0.019217309377730647,8,71,0.3496892029283514,995,101,3.4198394591718972e-06,0.0009085392245550642,0.6362390842726814,True,COMPLETE
14,437.29386985724614,0.7011827079300157,0.019984048510053986,11,89,0.3969219277262921,863,96,0.00017076556339974124,6.305291195674349e-07,0.6085979265230932,True,COMPLETE
15,446.31833980971743,0.6167507574786204,0.073043192551032,13,44,0.3081080706705511,531,114,1.2423921100268625e-06,0.020838832178820196,0.716325601671135,True,COMPLETE
16,435.9857019540098,0.728942145448616,0.02062861880319714,6,76,0.49909245770221033,887,149,6.68078496438605e-05,0.00018152536437757383,0.5683595702490251,True,COMPLETE
17,437.2925008847372,0.5263089981591291,0.06688933531902272,10,91,0.4189618988137801,938,18,4.591254945602316e-05,0.02484251346568969,0.6728729224519018,True,COMPLETE
18,440.40760814516466,0.6549889890385004,0.014531631368209348,14,61,0.315417257204112,570,84,5.74748444966786e-07,3.508712204501897e-07,0.8262636342625744,True,COMPLETE
19,445.31034858866036,0.7685074037695205,0.02774083247247976,9,5,0.14748843659091732,826,85,0.0012365454312074228,1.2714329313468844e-08,0.5021031330911323,True,COMPLETE
