date,wind_onshore_tenn_actual,wind_onshore_tenn_fitted,wind_onshore_tenn_lower,wind_onshore_tenn_upper
2025-01-22 00:00:00+00:00,1856.75,2488.834,1390.6038930660425,3587.0641916046097
2025-01-22 01:00:00+00:00,1925.75,2286.9114,1188.6811567354398,3385.141455274008
2025-01-22 02:00:00+00:00,2076.25,2045.0518,946.8215326154095,3143.2818311539777
2025-01-22 03:00:00+00:00,2292.5,1948.3652,850.1351449857993,3046.595443524367
2025-01-22 04:00:00+00:00,2680.75,3044.5613,1946.3312143660387,4142.791512904607
2025-01-22 05:00:00+00:00,2958.25,2798.8538,1700.6235190136986,3897.0838175522663
2025-01-22 06:00:00+00:00,3186.25,2834.0781,1735.848050294037,3932.3083488326047
2025-01-22 07:00:00+00:00,3446.25,3083.1624,1984.932293394353,4181.392591932921
2025-01-22 08:00:00+00:00,3752.5,3475.7434,2377.513274114872,4573.97357265344
2025-01-22 09:00:00+00:00,3847.0,4075.3418,2977.1116427975094,5173.571941336077
2025-01-22 10:00:00+00:00,3975.25,4795.932,3697.7018385600213,5894.1621370985895
2025-01-22 11:00:00+00:00,3843.75,4743.647,3645.4166351494896,5841.876933688058
2025-01-22 12:00:00+00:00,3524.0,3804.631,2706.4009044381696,4902.861202976737
2025-01-22 13:00:00+00:00,3651.0,4476.22,3377.9902070085877,5574.450505547155
2025-01-22 14:00:00+00:00,4226.75,4577.745,3479.515205354386,5675.975503892954
2025-01-22 15:00:00+00:00,5076.25,5008.3125,3910.082282822944,6106.542581361511
2025-01-22 16:00:00+00:00,5603.0,5378.2036,4279.973501798104,6476.433800336672
2025-01-22 17:00:00+00:00,5814.75,5054.2266,3955.9965223182317,6152.456820856799
2025-01-22 18:00:00+00:00,6021.0,5279.5835,4181.353249695025,6377.813548233592
2025-01-22 19:00:00+00:00,5998.25,5933.9365,4835.706465287408,7032.166763825976
2025-01-22 20:00:00+00:00,6152.5,6014.3486,4916.118620205342,7112.5789187439095
2025-01-22 21:00:00+00:00,5952.5,6185.358,5087.127686844453,7283.587985383021
2025-01-22 22:00:00+00:00,5899.0,5984.06,4885.829876130645,7082.290174669212
2025-01-22 23:00:00+00:00,5726.5,5106.093,4007.862797261271,6204.323095799839
2025-01-23 00:00:00+00:00,5553.5,5406.9775,4308.747522471058,6505.207821009626
2025-01-23 01:00:00+00:00,5504.0,5615.228,4516.997949578046,6713.458248116614
2025-01-23 02:00:00+00:00,5522.25,5489.4355,4391.205363512855,6587.665662051422
2025-01-23 03:00:00+00:00,5318.5,5394.248,4296.017647665264,6492.477946203831
2025-01-23 04:00:00+00:00,5808.25,5577.074,4478.84412239869,6675.304420937257
2025-01-23 05:00:00+00:00,6529.0,6737.7144,5639.48408623161,7835.944384770177
2025-01-23 06:00:00+00:00,7922.0,8019.939,6921.708861019198,9118.169159557765
2025-01-23 07:00:00+00:00,9658.5,9502.842,8404.61149257206,10601.071791110628
2025-01-23 08:00:00+00:00,11579.75,10863.557,9765.327003328932,11961.7873018675
2025-01-23 09:00:00+00:00,12421.25,12233.979,11135.749042194231,13332.2093407328
