number,value,params_bagging_temperature,params_border_count,params_colsample_bylevel,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_random_strength,state
0,0.24811901968238892,0.4211764380706219,126,0.5511772619094343,5,Lossguide,659,2.6616579346475316e-06,8,0.015284648278304431,5.229080189430409e-07,COMPLETE
1,0.2577761483335147,0.5570395438565475,59,0.7127654524195592,9,Lossguide,844,8.012430268012963e-06,1,0.09296769636443027,0.001005061625082193,COMPLETE
2,0.2642744849989912,0.7249356074113031,172,0.6050276706584401,5,Lossguide,612,8.157164658729343,4,0.2091996267163764,3.8184012227678443e-07,COMPLETE
3,0.24538278652489062,0.5399442724054898,197,0.9106367160097809,5,Lossguide,615,0.0019491636019877592,8,0.03362799735251381,6.353173494624366e-08,COMPLETE
4,0.24657824179083118,0.9084687267002363,64,0.8625912321060707,12,Lossguide,890,0.6658934116846819,9,0.027926316450514035,1.279940804850129e-08,COMPLETE
5,0.24857221279526964,0.3944598367677743,98,0.7229271780084632,11,Lossguide,536,0.4494222851903799,10,0.021448812666425107,0.00026106530700436447,COMPLETE
6,0.3087415521518791,0.9712383594973633,92,0.9558917452843105,12,SymmetricTree,631,0.013922859704697458,6,0.05676278505619118,1.3362756828896834e-07,COMPLETE
7,0.24391575827347245,0.1250299897989685,196,0.5581431960568255,4,Depthwise,564,0.001823386904214756,2,0.018975987684339893,0.0016802991828994858,COMPLETE
8,0.25132616070426333,0.23040234638125623,207,0.5778046517223583,7,Depthwise,898,9.142986952091929e-05,2,0.10646247912981334,0.0008552548032931455,COMPLETE
9,0.258253628064942,0.11830835157899855,163,0.9908272302717949,6,Lossguide,602,0.0008985055766885757,9,0.18921382946611334,0.0699096228463598,COMPLETE
10,0.2562459447517241,0.014172364620859579,251,0.5023982121960209,9,Depthwise,395,2.427949663086288e-08,4,0.01268910834746343,0.16835749189326538,COMPLETE
11,0.24456170354062945,0.6220177478279776,209,0.8358691819396764,4,Depthwise,435,0.0035055522224694945,7,0.03353349395195092,1.5533668660145125e-05,COMPLETE
12,0.2464669951655182,0.7215440270706506,241,0.788173783734591,4,Depthwise,307,0.03148108108509374,6,0.04603456070337123,1.1954118977626204e-05,COMPLETE
13,0.24787915676610783,0.28714069736823844,218,0.7939833747535874,4,Depthwise,465,4.509559911313992e-05,4,0.019773737461615683,1.028017386326064e-05,COMPLETE
14,0.26290454000803554,0.6824830620509741,171,0.6632635517690809,7,Depthwise,423,0.013902986929467698,2,0.010669973251757005,0.00970210658097988,COMPLETE
15,0.24162040222867287,0.22280281323324402,146,0.8091941671339024,4,SymmetricTree,316,1.9822371690569892e-07,7,0.047082444104478156,1.949165804741908e-05,COMPLETE
16,0.25140836507912695,0.18095527793501331,133,0.6665282594143251,6,SymmetricTree,736,6.313947946813441e-08,5,0.07152154155551227,0.006701240542568236,COMPLETE
17,0.2617651442782378,0.01242031091253723,150,0.646090601244692,8,SymmetricTree,309,8.80044093505325e-07,3,0.1307082820046046,7.200050254785071e-05,COMPLETE
18,0.24559394046770816,0.3291918337371957,186,0.7511504190799876,6,SymmetricTree,768,2.817993494809205e-07,1,0.044198700269661856,0.7526681903924294,COMPLETE
19,0.27061069046422215,0.12838053949296685,109,0.884381382764579,10,SymmetricTree,506,2.0396949369542574e-05,7,0.023139872818139527,2.4468411772731425e-06,COMPLETE
