date,wind_offshore_tenn_actual,wind_offshore_tenn_fitted,wind_offshore_tenn_lower,wind_offshore_tenn_upper
2024-12-30 12:00:00+00:00,1627.2500000000007,4011.5437,2386.78371992849,6742.327343869362
2024-12-30 13:00:00+00:00,1511.9999999999998,3610.5,2148.171239103839,6068.2807427402095
2024-12-30 14:00:00+00:00,1207.2499999999998,3695.6177,2198.8150010390723,6211.342226711468
2024-12-30 15:00:00+00:00,939.0000000000002,3858.679,2295.8330265900327,6485.404464130402
2024-12-30 16:00:00+00:00,936.0000000000003,3647.3176,2170.077625646091,6130.163194742699
2024-12-30 17:00:00+00:00,1474.2499999999998,3929.5103,2337.976342160618,6604.453386141909
2024-12-30 18:00:00+00:00,1793.499999999999,3697.099,2199.6962485724434,6213.831626689916
2024-12-30 19:00:00+00:00,1893.9999999999998,3996.8005,2378.012015169813,6717.548515208511
2024-12-30 20:00:00+00:00,1330.4999999999998,3554.7195,2114.9837207776095,5974.530684694648
2024-12-30 21:00:00+00:00,1151.0000000000002,3005.7375,1788.3505534115882,5051.838059739672
2024-12-30 22:00:00+00:00,719.4999999999999,2408.4941,1433.0030192385593,4048.031398825853
2024-12-30 23:00:00+00:00,1184.4999999999998,2651.5137,1577.5949753658776,4456.483279638643
2024-12-31 00:00:00+00:00,1410.5000000000002,3583.4985,2132.106641929447,6022.900521695248
2024-12-31 01:00:00+00:00,1577.0000000000002,3824.449,2275.466629053597,6427.87226384802
2024-12-31 02:00:00+00:00,1668.0000000000007,4353.079,2589.9901578400845,7316.356867926522
2024-12-31 03:00:00+00:00,1933.7499999999989,3965.7644,2359.5462649752644,6665.385375573404
2024-12-31 04:00:00+00:00,2031.2500000000002,4997.468,2973.3885925091868,8399.403366055247
2024-12-31 05:00:00+00:00,2423.0000000000014,4991.5947,2969.8934745254933,8389.530150751034
2024-12-31 06:00:00+00:00,2916.250000000001,4952.53,2946.650592677954,8323.872288028868
2024-12-31 07:00:00+00:00,2659.25,5074.1216,3018.9961145181433,8528.238182615623
2024-12-31 08:00:00+00:00,2579.2500000000014,4903.5137,2917.4878776103574,8241.491731475095
2024-12-31 09:00:00+00:00,2651.9999999999995,4087.4668,2431.9573801848796,6869.936562176592
2024-12-31 10:00:00+00:00,2612.2500000000005,4187.6113,2491.541071464667,7038.252085535084
2024-12-31 11:00:00+00:00,2507.2499999999995,4877.5815,2902.058827589563,8197.906841492702
2024-12-31 12:00:00+00:00,2556.5000000000005,5096.934,3032.5680942235986,8566.577110904032
2024-12-31 13:00:00+00:00,2196.5000000000005,4135.534,2460.55555946087,6950.722384748998
2024-12-31 14:00:00+00:00,2324.9999999999995,3953.19,2352.064575605832,6644.250658425579
2024-12-31 15:00:00+00:00,1947.7499999999998,2979.7314,1772.8775110602135,5008.128897628675
2024-12-31 16:00:00+00:00,1431.0000000000007,3968.1687,2360.976618881014,6669.425923600274
2024-12-31 17:00:00+00:00,1227.5000000000002,3088.4434,1837.5589133513802,5190.844735542733
2024-12-31 18:00:00+00:00,1105.7500000000002,2918.599,1736.5048440257624,4905.381243759762
2024-12-31 19:00:00+00:00,1131.2499999999998,2534.8574,1508.1867218677223,4260.414753805232
2024-12-31 20:00:00+00:00,822.5000000000001,2276.4749,1354.4548577746857,3826.1439222081663
2024-12-31 21:00:00+00:00,850.0,1815.1671,1079.9861186062615,3050.808448919849
2024-12-31 22:00:00+00:00,962.2499999999997,1472.4094,876.0525378245894,2474.724848820996
2024-12-31 23:00:00+00:00,1097.5,1392.7112,828.6340540962431,2340.774320846401
2025-01-01 00:00:00+00:00,991.4999999999998,729.0282,433.7563499088347,1225.3005055232088
2025-01-01 01:00:00+00:00,1217.4999999999998,817.3797,486.3236831146809,1373.7958070068842
2025-01-01 02:00:00+00:00,461.00000000000006,553.83704,329.52128941348263,930.8511623766736
2025-01-01 03:00:00+00:00,522.7499999999999,253.44707,150.79566264907356,425.97647669853126
2025-01-01 04:00:00+00:00,389.24999999999994,278.30756,165.58719294665917,467.7604633874469
2025-01-01 05:00:00+00:00,427.25,444.417,264.4187399526026,746.9456431125898
2025-01-01 06:00:00+00:00,657.2499999999999,217.87384,129.63039493376223,366.18758084451184
2025-01-01 07:00:00+00:00,1090.7499999999998,217.87384,129.63039493376223,366.18758084451184
2025-01-01 08:00:00+00:00,818.7499999999995,331.78598,197.40566756898392,557.6431660783139
2025-01-01 09:00:00+00:00,724.9999999999999,293.3976,174.56546429590423,493.1228135296473
2025-01-01 10:00:00+00:00,472.00000000000017,470.90012,280.1756388836196,791.4566600220218
2025-01-01 11:00:00+00:00,757.0000000000002,409.4456,243.6114761658199,688.1680578588445
2025-01-01 12:00:00+00:00,1308.5000000000002,97.22959,57.84956440017574,163.4168595470486
2025-01-01 13:00:00+00:00,2088.500000000001,112.110954,66.7036526881829,188.42841005774628
2025-01-01 14:00:00+00:00,3225.9999999999995,532.59436,316.8823610152612,895.1479724207535
2025-01-01 15:00:00+00:00,3363.000000000001,1215.0149,722.9082830364756,2042.1139306258035
2025-01-01 16:00:00+00:00,3456.499999999998,1578.2668,939.0356177171734,2652.643165513907
2025-01-01 17:00:00+00:00,2421.500000000001,2991.0383,1779.605070980627,5027.133305455854
2025-01-01 18:00:00+00:00,2108.249999999999,2859.1462,1701.13146150423,4805.4564276869505
2025-01-01 19:00:00+00:00,2588.250000000001,3572.793,2125.7362862652235,6004.905165506779
2025-01-01 20:00:00+00:00,2621.5,3067.2483,1824.9479412828284,5155.220518274784
2025-01-01 21:00:00+00:00,2468.75,3320.0137,1975.3381324731283,5580.05159527732
2025-01-01 22:00:00+00:00,2790.499999999999,3468.7275,2063.820426450339,5830.00159499791
2025-01-01 23:00:00+00:00,2620.5,3512.7454,2090.0100817516472,5903.983677073339
2025-01-02 00:00:00+00:00,3377.999999999998,3606.2095,2145.6188422927794,6061.070581774272
2025-01-02 01:00:00+00:00,3912.499999999999,3579.397,2129.665439606528,6016.004469473905
2025-01-02 02:00:00+00:00,4349.0,3184.0735,1894.4569883373856,5351.573771687714
2025-01-02 03:00:00+00:00,3819.2500000000005,3707.764,2206.0412824676473,6231.7554524526295
2025-01-02 04:00:00+00:00,3700.2500000000014,4053.6812,2411.855329273049,6813.15110382162
2025-01-02 05:00:00+00:00,4313.249999999999,4341.9404,2583.3635465502716,7297.637625741597
2025-01-02 06:00:00+00:00,4484.249999999999,4124.001,2453.6935359239483,6931.338136171792
2025-01-02 07:00:00+00:00,4364.249999999999,3964.3496,2358.705091003584,6663.009177754205
2025-01-02 08:00:00+00:00,4589.750000000001,3918.7002,2331.5448473537135,6586.285320499275
2025-01-02 09:00:00+00:00,3742.7499999999995,3778.6802,2248.2347758760543,6350.946119778215
2025-01-02 10:00:00+00:00,3821.0,3821.5527,2273.7438622249974,6423.005690560059
2025-01-02 11:00:00+00:00,4100.999999999998,2967.138,1765.3843848365962,4986.961872980989
2025-01-02 12:00:00+00:00,4249.749999999999,3540.6753,2106.6271750774954,5950.924621814469
2025-01-02 13:00:00+00:00,4086.9999999999977,3468.0745,2063.4312582790662,5828.902249807719
2025-01-02 14:00:00+00:00,4344.999999999999,3635.2776,2162.9141212406635,6109.927305236978
2025-01-02 15:00:00+00:00,4440.0,3707.373,2205.809498965007,6231.100696751619
2025-01-02 16:00:00+00:00,5122.249999999999,3888.3796,2313.5046680989476,6535.324358740651
2025-01-02 17:00:00+00:00,4509.000000000002,4334.1694,2578.739372006565,7284.5749849130825
2025-01-02 18:00:00+00:00,4623.5,4513.888,2685.6680232685894,7586.633342034207
2025-01-02 19:00:00+00:00,4598.000000000003,4331.9575,2577.4233067603577,7280.857286228561
2025-01-02 20:00:00+00:00,4565.749999999998,4101.4253,2440.2624427244327,6893.397192390083
2025-01-02 21:00:00+00:00,5276.749999999999,4353.6387,2590.3229392380063,7317.296928435558
2025-01-02 22:00:00+00:00,4916.750000000002,3833.7065,2280.975550529161,6443.434189962104
2025-01-02 23:00:00+00:00,4569.749999999998,4180.8784,2487.534980088721,7026.935442472498
2025-01-03 00:00:00+00:00,4564.75,4580.37,2725.2245182499037,7698.374860761943
2025-01-03 01:00:00+00:00,4937.499999999999,5171.4043,3076.8766190221663,8691.74244357357
2025-01-03 02:00:00+00:00,4504.000000000001,5005.34,2978.0718175799984,8412.632816293532
2025-01-03 03:00:00+00:00,3843.2500000000014,3372.5037,2006.5683083693907,5668.27243704884
2025-01-03 04:00:00+00:00,3184.7500000000005,3625.285,2156.9677687397784,6093.129698177683
2025-01-03 05:00:00+00:00,2139.7499999999995,3835.4265,2281.9977106369083,6446.321648086908
2025-01-03 06:00:00+00:00,915.9999999999999,2677.639,1593.1384686522545,4500.391455703646
2025-01-03 07:00:00+00:00,874.5000000000002,3388.0935,2015.8445355630245,5694.47647042363
2025-01-03 08:00:00+00:00,1246.25,2241.2292,1333.4844124800345,3766.9053722120666
2025-01-03 09:00:00+00:00,735.0000000000002,2108.2769,1254.3806172235663,3543.448308504562
2025-01-03 10:00:00+00:00,380.74999999999983,2122.575,1262.8877268978629,3567.4796933741886
2025-01-03 11:00:00+00:00,172.24999999999994,1128.2018,671.256425297756,1896.2047182054544
2025-01-03 12:00:00+00:00,664.9999999999999,1310.7327,779.8582025788697,2202.989420329709
2025-01-03 13:00:00+00:00,2221.7500000000005,2211.1143,1315.5661189259504,3716.288720365425
2025-01-03 14:00:00+00:00,2607.2500000000005,2693.269,1602.4384592009435,4526.662617204556
2025-01-03 15:00:00+00:00,3335.499999999999,3087.3857,1836.9292968456475,5189.066157723843
2025-01-03 16:00:00+00:00,3786.2499999999995,3127.8105,1860.9811381069173,5257.009216682987
2025-01-03 17:00:00+00:00,3667.999999999999,3470.6458,2064.961184065566,5833.2240743527145
2025-01-03 18:00:00+00:00,4600.500000000001,3675.8896,2187.0775698623615,6178.185639246687
2025-01-03 19:00:00+00:00,4976.250000000002,3616.7947,2151.9168351420635,6078.861523217587
2025-01-03 20:00:00+00:00,4518.250000000001,3912.7542,2328.0062595021213,6576.289308949834
