date,wind_offshore_tenn_actual,wind_offshore_tenn_fitted,wind_offshore_tenn_lower,wind_offshore_tenn_upper
2025-02-11 00:00:00+00:00,,2177.907,1901.1975496170185,2454.616590191031
2025-02-11 01:00:00+00:00,,1895.722,1619.0124909178626,2172.431531491875
2025-02-11 02:00:00+00:00,,1480.2762,1203.566709875225,1756.9857504492375
2025-02-11 03:00:00+00:00,,1527.5833,1250.8737760798426,1804.292816653855
2025-02-11 04:00:00+00:00,,1489.8448,1213.1353726456584,1766.5544132196706
2025-02-11 05:00:00+00:00,,1223.625,946.9154558310729,1500.3344964050852
2025-02-11 06:00:00+00:00,,623.50385,346.79431493691436,900.2133555109265
2025-02-11 07:00:00+00:00,,612.14703,335.437532701907,888.8565732759191
2025-02-11 08:00:00+00:00,,1681.352,1404.6425413937209,1958.0615819677332
2025-02-11 09:00:00+00:00,,1171.1383,894.4287563643697,1447.847796938382
2025-02-11 10:00:00+00:00,,2540.2463,2263.5368981859783,2816.9559387599907
2025-02-11 11:00:00+00:00,,1546.8732,1270.1636855699244,1823.5827261439367
2025-02-11 12:00:00+00:00,,2865.5056,2588.796056603139,3142.215097177151
2025-02-11 13:00:00+00:00,,2782.6736,2505.964069473314,3059.383110047326
2025-02-11 14:00:00+00:00,,2314.229,2037.5195617278694,2590.9386023018815
2025-02-11 15:00:00+00:00,,2826.6497,2549.9401899329646,3103.359230506977
2025-02-11 16:00:00+00:00,,1811.3413,1534.6318336562952,2088.0508742303077
2025-02-11 17:00:00+00:00,,2520.0076,2243.2980809520045,2796.717121526017
2025-02-11 18:00:00+00:00,,2989.2007,2712.491223817476,3265.9102643914885
2025-02-11 19:00:00+00:00,,2660.5212,2383.8118275876973,2937.2308681617096
2025-02-11 20:00:00+00:00,,3944.5964,3667.8868312873346,4221.3058718613465
2025-02-11 21:00:00+00:00,,4019.451,3742.741416559489,4296.160457133501
2025-02-11 22:00:00+00:00,,3742.0115,3465.301899444114,4018.7209400181264
2025-02-11 23:00:00+00:00,,3666.3813,3389.6719638607265,3943.0910044347393
2025-02-12 00:00:00+00:00,,2917.6702,2640.960650907332,3194.3796914813443
2025-02-12 01:00:00+00:00,,2439.874,2163.1645540879485,2716.583594661961
2025-02-12 02:00:00+00:00,,2477.5579,2200.8483199882244,2754.2673605622367
2025-02-12 03:00:00+00:00,,3320.3296,3043.619986149258,3597.03902672327
2025-02-12 04:00:00+00:00,,3615.5786,3338.8691850175887,3892.288225591601
2025-02-12 05:00:00+00:00,,3402.4414,3125.7318424106847,3679.150882984697
2025-02-12 06:00:00+00:00,,2639.7578,2363.0482523122173,2916.4672928862296
2025-02-12 07:00:00+00:00,,3302.7527,3026.043067966996,3579.462108541008
2025-02-12 08:00:00+00:00,,3365.4673,3088.757893971658,3642.1769345456705
2025-02-12 09:00:00+00:00,,3841.6963,3564.9868110030125,4118.405851577025
2025-02-12 10:00:00+00:00,,4109.884,3833.1743228524265,4386.593363426438
2025-02-12 11:00:00+00:00,,3894.191,3617.481434335952,4170.900474909964
2025-02-12 12:00:00+00:00,,4239.247,3962.5377782548167,4515.956818828829
2025-02-12 13:00:00+00:00,,4000.9312,3724.221558295095,4277.640598869107
2025-02-12 14:00:00+00:00,,4266.9844,3990.2746777254033,4543.693718299415
2025-02-12 15:00:00+00:00,,4145.798,3869.088256085677,4422.507296659689
2025-02-12 16:00:00+00:00,,4194.667,3917.9573144221476,4471.3763549961595
2025-02-12 17:00:00+00:00,,4184.068,3907.3585490409805,4460.777589614992
2025-02-12 18:00:00+00:00,,4352.1787,4075.469314146106,4628.8883547201185
2025-02-12 19:00:00+00:00,,3447.2808,3170.571317620956,3723.9903581949684
2025-02-12 20:00:00+00:00,,3755.6987,3478.9891897875777,4032.4082303615896
2025-02-12 21:00:00+00:00,,3358.5596,3081.8499664350834,3635.2690070090957
2025-02-12 22:00:00+00:00,,3897.9111,3621.201590485619,4174.620631059631
2025-02-12 23:00:00+00:00,,3590.4827,3313.773211115269,3867.192251689282
2025-02-13 00:00:00+00:00,,3415.9294,3139.2199465666304,3692.6389871406427
2025-02-13 01:00:00+00:00,,3347.5068,3070.7974606635544,3624.2165012375663
2025-02-13 02:00:00+00:00,,2952.9368,2676.227154744904,3229.6461953189164
2025-02-13 03:00:00+00:00,,2645.2568,2368.5474402423683,2921.9664808163807
2025-02-13 04:00:00+00:00,,3027.3777,2750.668064675354,3304.0871052493662
2025-02-13 05:00:00+00:00,,3287.32,3010.610546084963,3564.0295866589754
2025-02-13 06:00:00+00:00,,3051.9873,2775.2778598599057,3328.696900433918
2025-02-13 07:00:00+00:00,,3484.1755,3207.465928349291,3760.884968923303
2025-02-13 08:00:00+00:00,,3557.39,3280.680471407164,3834.099511981177
2025-02-13 09:00:00+00:00,,3144.6746,2867.965106097102,3421.3841466711146
2025-02-13 10:00:00+00:00,,3709.407,3432.6973689445003,3986.1164095185122
2025-02-13 11:00:00+00:00,,3807.3765,3530.666961559871,4084.0860021338835
2025-02-13 12:00:00+00:00,,3666.671,3389.9613830750113,3943.380423649024
2025-02-13 13:00:00+00:00,,3132.1794,2855.4699614289066,3408.8890020029185
2025-02-13 14:00:00+00:00,,2425.3904,2148.6808656635617,2702.099906237574
2025-02-13 15:00:00+00:00,,2602.6611,2325.9516820431822,2879.3707226171946
2025-02-13 16:00:00+00:00,,2035.5559,1758.8464193546351,2312.2654599286475
2025-02-13 17:00:00+00:00,,2359.8909,2083.181364014167,2636.600404588179
2025-02-13 18:00:00+00:00,,2273.1726,1996.4630246047018,2549.882065178714
