date,solar_rte_actual,solar_rte_fitted,solar_rte_lower,solar_rte_upper
2025-01-24 00:00:00+00:00,0.0,490.08305033992883,-1763.7621372729773,2742.1413778117553
2025-01-24 01:00:00+00:00,0.0,202.8724447872146,-2045.59521025483,2452.2697593500666
2025-01-24 02:00:00+00:00,0.0,-23.754660283190333,-2277.279799133912,2227.643842710263
2025-01-24 03:00:00+00:00,0.0,-254.49013732574758,-2501.6405882926074,1997.8666788122887
2025-01-24 04:00:00+00:00,0.0,-114.72713491216246,-2367.3027713008178,2138.2409659166533
2025-01-24 05:00:00+00:00,0.0,232.1831393801922,-2018.6443916149638,2478.691579533514
2025-01-24 06:00:00+00:00,0.0,699.31257034247,-1553.1684762503146,2947.89324978641
2025-01-24 07:00:00+00:00,532.75,1074.3980548676413,-1177.3492971951819,3320.4604048766205
2025-01-24 08:00:00+00:00,1720.25,1099.2253210190222,-1143.1359128988206,3349.6581215979104
2025-01-24 09:00:00+00:00,3524.0,2371.716100162305,119.96490233027453,4619.929473229623
2025-01-24 10:00:00+00:00,4960.5,3449.0126899490197,1189.407839928889,5695.305106416879
2025-01-24 11:00:00+00:00,5891.25,4041.519496891623,1785.7765395446756,6285.681303162437
2025-01-24 12:00:00+00:00,5871.0,4460.849818205311,2200.9054189974477,6701.660450477722
2025-01-24 13:00:00+00:00,4645.5,4297.368340512455,2045.0566123716076,6538.823379440632
2025-01-24 14:00:00+00:00,2809.25,4192.48381217725,1943.9257425026092,6442.448290882349
2025-01-24 15:00:00+00:00,1243.0,3439.8445315103236,1186.9082817122662,5690.196129461947
2025-01-24 16:00:00+00:00,398.0,2637.4699837093635,384.84178543443795,4890.400644174264
2025-01-24 17:00:00+00:00,299.0,797.1779977685414,-1451.5501899409583,3047.202991562568
2025-01-24 18:00:00+00:00,298.0,118.25562483417434,-2132.991034492442,2373.719302435836
2025-01-24 19:00:00+00:00,0.0,-183.53087089376868,-2436.7709037252525,2065.917909273807
2025-01-24 20:00:00+00:00,0.0,-298.2590070777819,-2550.6786785633376,1950.9083290285007
2025-01-24 21:00:00+00:00,0.0,-344.2244385576646,-2596.2999240539357,1907.011226964034
2025-01-24 22:00:00+00:00,0.0,-359.74110263575767,-2611.5110557112794,1891.5392776785293
2025-01-24 23:00:00+00:00,0.0,97.76861633066619,-2156.4357906796995,2347.5040795328596
2025-01-25 00:00:00+00:00,0.0,-134.93044773812062,-2392.8917593034075,2111.790863848246
2025-01-25 01:00:00+00:00,0.0,-384.47012704666713,-2639.7054136292354,1862.5820797584888
2025-01-25 02:00:00+00:00,0.0,-757.3759743824912,-3011.576048921638,1489.1758099285805
2025-01-25 03:00:00+00:00,0.0,-866.1395173738938,-3120.4230511145897,1384.3076512069224
2025-01-25 04:00:00+00:00,0.0,-735.1456093767683,-2989.486496166978,1516.36165448238
2025-01-25 05:00:00+00:00,0.0,-434.13505996536605,-2687.021221604744,1815.8844560250536
2025-01-25 06:00:00+00:00,0.0,137.94990346481745,-2118.9188692041116,2388.738663670055
2025-01-25 07:00:00+00:00,453.5,708.118637716354,-1548.6308583180662,2959.456698816325
2025-01-25 08:00:00+00:00,1285.25,1076.119932998113,-1177.483696626096,3319.7525819692355
2025-01-25 09:00:00+00:00,2499.0,1951.6932380140543,-303.7001703176734,4201.436681271558
2025-01-25 10:00:00+00:00,3316.5,3370.9059092546886,1119.5464559660497,5624.185476806699
2025-01-25 11:00:00+00:00,3747.75,3867.9554392035366,1610.9445084152462,6117.681680104992
2025-01-25 12:00:00+00:00,3749.25,3724.497203942034,1471.209862248163,5974.909720459553
2025-01-25 13:00:00+00:00,3021.5,2893.198123126137,637.3488702407021,5142.454364245531
2025-01-25 14:00:00+00:00,2151.25,2621.0942076058805,372.3474237444525,4871.313736627816
2025-01-25 15:00:00+00:00,1102.5,1827.514803235249,-425.27744513054904,4078.9159179229796
2025-01-25 16:00:00+00:00,398.0,1447.0171438283546,-805.5310615311605,3697.3613569031177
2025-01-25 17:00:00+00:00,287.25,1011.9842448596912,-1239.8192387167228,3256.6840151373453
2025-01-25 18:00:00+00:00,287.75,394.94005386462595,-1853.7196934441,2648.962646249248
2025-01-25 19:00:00+00:00,0.0,-257.59451310124405,-2506.151995744338,1995.8695901205283
2025-01-25 20:00:00+00:00,0.0,-611.929601795438,-2862.1336969268414,1640.2196101066118
2025-01-25 21:00:00+00:00,0.0,-553.6334590932634,-2802.6633434960986,1695.886894101453
2025-01-25 22:00:00+00:00,0.0,-604.088284041025,-2855.1074352080614,1648.854054668121
2025-01-25 23:00:00+00:00,0.0,-45.97443110799895,-2300.0908816557585,2206.3418719444026
2025-01-26 00:00:00+00:00,0.0,-6.809734737921644,-2258.5931497600395,2245.4962876947047
2025-01-26 01:00:00+00:00,0.0,-214.534287404324,-2466.2557399553616,2034.3575881951483
2025-01-26 02:00:00+00:00,0.0,-698.225066110685,-2950.48070419119,1554.6626870629952
2025-01-26 03:00:00+00:00,0.0,-823.0022616691845,-3075.948926977807,1432.5634949717933
2025-01-26 04:00:00+00:00,0.0,-636.8365642606964,-2886.6627906219983,1619.1420733135462
2025-01-26 05:00:00+00:00,0.0,-168.56025550160803,-2414.788838544361,2080.91138192944
2025-01-26 06:00:00+00:00,0.0,415.5217369207926,-1832.317089149199,2664.0315880774424
2025-01-26 07:00:00+00:00,619.5,986.3225232996158,-1264.0140821410741,3235.062496046695
2025-01-26 08:00:00+00:00,2069.75,1500.6761755450248,-743.7886276158088,3756.45775516928
2025-01-26 09:00:00+00:00,3920.0,2455.068094972367,203.6193396036415,4705.82880875001
2025-01-26 10:00:00+00:00,4984.0,3084.212775404246,833.2819211834662,5332.7696684322655
2025-01-26 11:00:00+00:00,5165.25,4200.333433601872,1952.4481910900922,6446.841738046489
2025-01-26 12:00:00+00:00,4484.25,4554.920596596605,2307.1281535808043,6803.24546965019
2025-01-26 13:00:00+00:00,3497.75,4161.923319467597,1913.555224286337,6409.221246602642
2025-01-26 14:00:00+00:00,2176.75,3033.1559975671594,782.737599103991,5286.096326809198
2025-01-26 15:00:00+00:00,956.0,2066.095113685657,-179.29337729037024,4316.617164472108
2025-01-26 16:00:00+00:00,368.25,1243.9018631089527,-1000.5565174473877,3503.0236296072853
2025-01-26 17:00:00+00:00,291.75,620.0867641169114,-1623.8546712235902,2871.719119445454
2025-01-26 18:00:00+00:00,292.25,183.1359053934675,-2063.7779740112683,2435.854715220908
2025-01-26 19:00:00+00:00,0.0,-213.46813215875636,-2459.968276881442,2036.3441844941403
2025-01-26 20:00:00+00:00,0.0,-381.103853046674,-2628.9109879839207,1870.0428967638281
2025-01-26 21:00:00+00:00,0.0,-642.9867682096005,-2891.0099956532113,1610.4994377203602
2025-01-26 22:00:00+00:00,0.0,-428.2339245425146,-2673.429490810676,1823.6458862712523
2025-01-26 23:00:00+00:00,0.0,45.6292389298892,-2198.7039759196923,2299.7571539032306
2025-01-27 00:00:00+00:00,0.0,104.28660987080048,-2142.615841431104,2354.9649235073784
2025-01-27 01:00:00+00:00,0.0,-57.1841041103462,-2306.3454145701553,2195.652939704121
2025-01-27 02:00:00+00:00,0.0,-393.6731518902275,-2643.596703177065,1857.6331462530338
2025-01-27 03:00:00+00:00,0.0,-684.5952011159397,-2935.6594817353443,1567.2620331551357
2025-01-27 04:00:00+00:00,0.0,-464.0491526863457,-2717.720460800767,1787.949958524
2025-01-27 05:00:00+00:00,0.0,-229.30428055716266,-2483.9134313538816,2022.9376651209222
2025-01-27 06:00:00+00:00,0.0,242.66820585399637,-2008.7357698759915,2493.641430820357
2025-01-27 07:00:00+00:00,490.0,826.5998016531055,-1424.5209231585272,3077.2232815298794
2025-01-27 08:00:00+00:00,1298.0,1333.6007074450583,-911.8543160395379,3585.9849112117568
2025-01-27 09:00:00+00:00,2643.25,2392.4002036193606,143.73022808943188,4642.706390332245
2025-01-27 10:00:00+00:00,3677.25,3926.404742545319,1677.4957044806251,6179.237705317893
2025-01-27 11:00:00+00:00,4294.0,5091.828840934742,2840.4257951537115,7340.417447595624
2025-01-27 12:00:00+00:00,4488.25,5992.466868296462,3747.6094426056493,8248.492172310787
2025-01-27 13:00:00+00:00,4180.5,4137.059098711043,1883.6201509654068,6389.076782839145
2025-01-27 14:00:00+00:00,2902.25,4136.206370728991,1891.7331408516827,6384.623645435455
2025-01-27 15:00:00+00:00,1412.0,2712.0954889116524,465.15414882998175,4962.009783251542
2025-01-27 16:00:00+00:00,425.75,1885.442650513763,-361.0911376955205,4140.940608578778
2025-01-27 17:00:00+00:00,294.5,-444.6451057669469,-2692.9115523985465,1800.359406957782
2025-01-27 18:00:00+00:00,303.25,242.64211819583034,-2007.086812537039,2495.024530400816
2025-01-27 19:00:00+00:00,0.0,-291.2029405655471,-2541.822608521431,1960.2806217694092
2025-01-27 20:00:00+00:00,0.0,-430.53373198977715,-2680.554680979134,1825.40149895345
2025-01-27 21:00:00+00:00,0.0,-378.1531799585323,-2623.7723746371976,1873.7301538977897
2025-01-27 22:00:00+00:00,0.0,-467.5527006425514,-2717.6956966798307,1785.2835656982584
2025-01-27 23:00:00+00:00,0.0,-114.18536659872234,-2361.342416050932,2140.099038403243
2025-01-28 00:00:00+00:00,0.0,-42.233562855939,-2292.7013093254436,2207.852839786413
2025-01-28 01:00:00+00:00,0.0,-256.00910791809565,-2503.80782103976,1994.33197559802
2025-01-28 02:00:00+00:00,0.0,-584.9917081964331,-2837.133452612363,1665.636824045143
2025-01-28 03:00:00+00:00,0.0,-466.9076709011388,-2718.9952758720383,1786.338668977025
2025-01-28 04:00:00+00:00,0.0,-507.337053463164,-2760.2296455093465,1743.891822136205
2025-01-28 05:00:00+00:00,0.0,104.50406672346207,-2145.490495459603,2352.374412617322
2025-01-28 06:00:00+00:00,0.0,478.97398615881275,-1773.5150429290761,2725.5320989116476
2025-01-28 07:00:00+00:00,589.5,1053.027197979444,-1193.1265654513259,3303.1981297711664
2025-01-28 08:00:00+00:00,2005.5,903.0960370156367,-1350.577417321123,3151.6707932821555
2025-01-28 09:00:00+00:00,4055.5,2312.2522527662713,59.23662187840364,4561.325558418721
2025-01-28 10:00:00+00:00,5134.75,3536.2800402848775,1283.6464952232227,5785.58998521109
2025-01-28 11:00:00+00:00,5349.75,4284.011813132195,2028.1748066796156,6532.843626629618
2025-01-28 12:00:00+00:00,4904.25,3873.4292074358113,1623.0496823837525,6122.605143282495
2025-01-28 13:00:00+00:00,3524.5,3256.829656256872,1005.6800037110199,5504.371940216675
2025-01-28 14:00:00+00:00,2275.75,3050.20386132419,797.0916838953767,5298.026521751865
2025-01-28 15:00:00+00:00,1065.25,2796.782073630888,543.2058444500822,5047.289492793201
2025-01-28 16:00:00+00:00,404.0,2031.651592998343,-222.6619915802653,4283.405237905126
2025-01-28 17:00:00+00:00,297.0,641.2069800176471,-1606.1040038336823,2893.3084974012186
2025-01-28 18:00:00+00:00,298.5,-19.903105360544032,-2272.2593221011393,2232.15298232059
2025-01-28 19:00:00+00:00,0.0,-138.0930797204137,-2391.1989596649746,2111.1648433946675
2025-01-28 20:00:00+00:00,0.0,-335.4771335198393,-2587.120583581601,1916.3175507449455
2025-01-28 21:00:00+00:00,0.0,-395.87644474663466,-2646.4939924468326,1856.5249926816923
2025-01-28 22:00:00+00:00,0.0,-501.44061368267467,-2751.9438669164265,1749.5183606038308
2025-01-28 23:00:00+00:00,0.0,-23.70910868958663,-2273.9212973647054,2226.7530856142853
2025-01-29 00:00:00+00:00,0.0,44.42681394421743,-2212.2409045910726,2298.3861251181534
2025-01-29 01:00:00+00:00,0.0,-168.0962550082877,-2422.1059146922435,2083.7259347140775
2025-01-29 02:00:00+00:00,0.0,-507.0555554076459,-2761.960075037695,1745.0028957830489
2025-01-29 03:00:00+00:00,0.0,-643.1380117188087,-2895.206930926827,1609.8748107932252
2025-01-29 04:00:00+00:00,0.0,-403.84281726183826,-2654.284335743928,1849.5916335600314
2025-01-29 05:00:00+00:00,0.0,-55.748091450631364,-2308.9529575222596,2195.6429760521632
2025-01-29 06:00:00+00:00,0.0,458.14865854694517,-1794.9653537705972,2706.177720673872
2025-01-29 07:00:00+00:00,674.0,1136.7815955759563,-1117.880387802053,3384.6941105012784
2025-01-29 08:00:00+00:00,2517.25,1537.3869772155767,-711.774531813136,3782.459171710941
2025-01-29 09:00:00+00:00,4922.75,2401.163556449626,147.19359279051878,4650.582030326215
2025-01-29 10:00:00+00:00,6241.0,4380.722917469439,2127.2179920492586,6627.481690115706
2025-01-29 11:00:00+00:00,6607.0,5189.309381577262,2940.4623532136084,7436.30634831103
2025-01-29 12:00:00+00:00,6137.25,5140.464492709636,2888.1646256061244,7384.992595307886
2025-01-29 13:00:00+00:00,4871.5,4516.272088420836,2263.509249377974,6758.603638694665
2025-01-29 14:00:00+00:00,3401.0,3897.576471509594,1645.8615487463105,6143.522291439118
2025-01-29 15:00:00+00:00,1427.25,2501.293029188258,249.05995540162075,4752.832366992196
2025-01-29 16:00:00+00:00,412.75,1360.318752521873,-891.8777637059497,3607.7315527486403
2025-01-29 17:00:00+00:00,283.0,685.0261876840559,-1565.0292793283752,2935.985954959963
2025-01-29 18:00:00+00:00,281.5,520.3268810131262,-1732.2176916793169,2770.980806493157
2025-01-29 19:00:00+00:00,0.0,297.20822041290785,-1953.9572952677108,2549.267782503653
2025-01-29 20:00:00+00:00,0.0,-63.11866103539978,-2316.596438415164,2185.759138968404
2025-01-29 21:00:00+00:00,0.0,-317.2959456202375,-2570.148850205531,1932.6836315842347
2025-01-29 22:00:00+00:00,0.0,-180.6839890354713,-2433.6688584700787,2070.6279996223157
2025-01-29 23:00:00+00:00,0.0,133.07133894203798,-2121.2632736305804,2383.1019839070836
2025-01-30 00:00:00+00:00,0.0,-62.337340077362114,-2313.1142537196138,2183.150909069333
2025-01-30 01:00:00+00:00,0.0,9.801038944337051,-2244.7464652344925,2258.6210170357463
2025-01-30 02:00:00+00:00,0.0,-139.48756912688987,-2389.2404690765416,2109.466955907425
2025-01-30 03:00:00+00:00,0.0,-211.75786056645438,-2462.6339556908915,2037.441463804793
2025-01-30 04:00:00+00:00,0.0,-46.25941712959866,-2298.8842590920694,2207.337307744223
2025-01-30 05:00:00+00:00,0.0,452.82698966486123,-1797.7752655812328,2705.715610533275
2025-01-30 06:00:00+00:00,0.0,853.6102789665335,-1400.7720549123092,3099.716696388884
2025-01-30 07:00:00+00:00,531.25,1269.5378338466742,-983.0943143687714,3515.619122198632
2025-01-30 08:00:00+00:00,1764.25,1786.997558337377,-459.3613048778675,4038.042334772808
2025-01-30 09:00:00+00:00,3734.25,2415.6605432724323,162.35753732579178,4661.698894797439
2025-01-30 10:00:00+00:00,5355.75,3684.8250685924404,1432.813217176532,5931.261411061264
2025-01-30 11:00:00+00:00,6157.75,4743.684259740137,2499.8798025645146,6996.686406352206
2025-01-30 12:00:00+00:00,6455.25,5241.680386279893,2992.0081520361796,7493.252809824537
2025-01-30 13:00:00+00:00,5545.75,5210.70568657463,2965.4796382754257,7463.137448262984
2025-01-30 14:00:00+00:00,3788.75,3882.799023453802,1627.351523504173,6129.250570391485
2025-01-30 15:00:00+00:00,1762.25,3212.529150217727,960.3729151090131,5461.916591865554
2025-01-30 16:00:00+00:00,481.5,2191.2502900705163,-55.7874107735297,4442.251649053644
2025-01-30 17:00:00+00:00,272.25,686.2135020871449,-1563.4107632669356,2942.3109000206364
2025-01-30 18:00:00+00:00,277.25,211.6793908358759,-2041.4990766667024,2466.82955543575
2025-01-30 19:00:00+00:00,0.0,-54.87279996556708,-2304.8893457878794,2192.931597192296
2025-01-30 20:00:00+00:00,0.0,76.3956178389817,-2178.7659423537534,2324.946335090842
2025-01-30 21:00:00+00:00,0.0,-149.99803565049478,-2401.488209426425,2100.205457879682
2025-01-30 22:00:00+00:00,0.0,118.96734364548001,-2135.1989236662075,2371.508989353921
2025-01-30 23:00:00+00:00,0.0,661.3460894593331,-1591.0899406274657,2913.724674882618
2025-01-31 00:00:00+00:00,0.0,77.90950194836114,-2175.4906763516,2324.074624866721
2025-01-31 01:00:00+00:00,0.0,103.3857303629652,-2151.825583397552,2351.4771756720747
2025-01-31 02:00:00+00:00,0.0,159.1939984542987,-2096.93172339971,2409.7078138921447
2025-01-31 03:00:00+00:00,0.0,-275.26760330750767,-2527.266959015532,1976.8166893275875
2025-01-31 04:00:00+00:00,0.0,-29.967382005507716,-2282.8333984480705,2220.51710846415
2025-01-31 05:00:00+00:00,0.0,542.8354278940305,-1712.4735507696432,2792.0937220007345
2025-01-31 06:00:00+00:00,0.0,802.5294871283106,-1454.3789698733995,3054.479506747539
2025-01-31 07:00:00+00:00,608.25,1285.7412570408114,-969.3846864579032,3534.0432746022943
2025-01-31 08:00:00+00:00,1815.5,1587.0269997779626,-667.1125689645496,3833.2031892742525
2025-01-31 09:00:00+00:00,2047.0,3473.894189335644,1223.835669642697,5726.421879092667
2025-01-31 10:00:00+00:00,2047.0,5687.696002527438,3439.6449244016844,7935.672568881152
2025-01-31 11:00:00+00:00,4572.5,7049.398626735606,4796.907003254335,9302.05533226413
2025-01-31 12:00:00+00:00,7475.75,7515.711727113819,5265.270878942046,9764.712184172276
2025-01-31 13:00:00+00:00,6673.0,7444.204694025187,5194.059155737048,9689.244791191799
2025-01-31 14:00:00+00:00,4924.0,6682.176097599776,4433.583930912472,8928.139035292597
2025-01-31 15:00:00+00:00,2442.5,5379.256183991296,3128.112154380934,7631.197657887959
2025-01-31 16:00:00+00:00,654.0,3366.9200350103047,1118.1425492869325,5620.955151219878
2025-01-31 17:00:00+00:00,463.75,750.1678307274401,-1500.4689065301045,2999.8922269170253
2025-01-31 18:00:00+00:00,273.5,192.59540469659623,-2060.7215194370974,2440.238892466012
2025-01-31 19:00:00+00:00,0.0,108.21398078249013,-2142.642079042462,2358.979998264124
2025-01-31 20:00:00+00:00,0.0,507.5767151381965,-1741.643469351785,2756.094206910745
2025-01-31 21:00:00+00:00,0.0,298.8078701978761,-1950.1332003970329,2552.162031705127
2025-01-31 22:00:00+00:00,0.0,73.43480417306819,-2179.273015044182,2327.2858216772747
2025-01-31 23:00:00+00:00,0.0,432.97393227119665,-1821.6818019785642,2680.079238739778
2025-02-01 00:00:00+00:00,0.0,311.1299996885027,-1942.902381526218,2556.4932866914346
2025-02-01 01:00:00+00:00,0.0,13.894283600311155,-2241.2053794887925,2259.110813907801
2025-02-01 02:00:00+00:00,0.0,-217.1635229786225,-2471.7085794937966,2031.4899186786784
2025-02-01 03:00:00+00:00,0.0,-22.07958175578051,-2279.150042208147,2228.373197630568
