date,gas_50hz_actual,hard_coal_50hz_actual,lignite_50hz_actual,renewables_50hz_actual,gas_50hz_fitted,hard_coal_50hz_fitted,lignite_50hz_fitted,renewables_50hz_fitted,gas_50hz_lower,hard_coal_50hz_lower,lignite_50hz_lower,renewables_50hz_lower,gas_50hz_upper,hard_coal_50hz_upper,lignite_50hz_upper,renewables_50hz_upper
2024-12-26 00:00:00+00:00,2033.0,518.5,7543.75,124.0,1922.1720509582087,526.9397596755979,6724.962540097529,128.62180836797882,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 01:00:00+00:00,2051.5,517.0,7583.25,133.75,1911.7199035127924,523.962627958692,6870.161431514869,129.73026116806165,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 02:00:00+00:00,2037.25,518.5,7578.5,135.0,1899.8498838425307,411.02607619234504,6620.6201806795325,143.13216784617595,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 03:00:00+00:00,2079.5,520.0,7570.75,135.5,1951.8281206815584,434.9448153957751,6561.192759199415,124.93288458171276,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 04:00:00+00:00,2132.0,529.75,7571.75,135.5,1914.162878837237,524.1941192848332,6720.269906389285,140.76146384962374,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 05:00:00+00:00,2179.0,556.0,7561.5,135.75,2058.1421771507366,511.9417132241629,6259.73467617387,152.07218712357627,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 06:00:00+00:00,2336.0,683.5,7570.5,135.5,2224.6107463939866,535.7183240076423,6215.009212562282,254.960087607062,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 07:00:00+00:00,2518.0,842.5,7541.5,318.75,2254.5430222533896,649.2342228113919,6261.0578352663815,361.61142786209996,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 08:00:00+00:00,2605.25,859.0,7255.75,309.75,2454.298648533676,703.9948214011181,6024.311610402988,494.5267182607696,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 09:00:00+00:00,2587.5,859.0,7210.0,216.25,2396.473105902409,860.6619618778348,5948.785090996094,237.7033175378716,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 10:00:00+00:00,2545.25,858.75,7165.25,133.75,2424.2136673740424,743.5253124936296,6206.569525746829,181.5289066063931,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 11:00:00+00:00,2562.25,855.75,7140.0,135.0,2360.1966783762923,927.9291892140133,6427.560631126451,220.52850835619194,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 12:00:00+00:00,2531.75,858.0,7143.5,135.0,2251.9705262940984,784.2151217421429,6302.474218223746,191.34762662526532,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 13:00:00+00:00,2573.25,856.75,7162.25,137.0,2340.557920931168,888.5900336484117,6612.691124473681,192.63793075624602,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 14:00:00+00:00,2671.75,860.75,7166.0,171.0,2457.4243656742296,951.1864876204614,6435.076630809126,322.44955977004446,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 15:00:00+00:00,2852.25,856.25,7193.25,1182.25,2595.732898752844,940.2308981202789,6145.06200881209,1180.8385007557526,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 16:00:00+00:00,2916.5,856.25,7378.0,1854.75,2683.6244608828106,868.2703603110986,6145.209601299212,1510.2640839262735,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 17:00:00+00:00,2917.5,851.75,7481.25,1789.0,2754.6706386633896,690.7967806703764,6034.715786173674,1506.7019087568142,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 18:00:00+00:00,2879.0,852.0,7520.75,1292.5,2701.739011997244,691.1359680600829,6036.359272059034,1422.268014068754,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2024-12-26 19:00:00+00:00,2731.75,852.0,7525.75,233.5,2652.3142953178867,676.4965324772975,6134.045129180951,866.4924854190642,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
