number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.538184091825279,0.9038639517119371,0.01901208188687583,9,47,0.30922869796574165,544,57,0.5412624408746657,0.11521879172983909,0.7332698409643805,COMPLETE
1,0.5312897219591447,0.9618308783833294,0.05862306353284966,10,52,0.27213173785366584,354,15,0.00011692838034599498,0.11174644143184592,0.7157710703011197,COMPLETE
2,0.5388298782688361,0.5317811952378921,0.06010715915882139,11,97,0.30927902040293115,881,150,6.311153001802636e-05,4.3997611746861405e-06,0.7048135453926797,COMPLETE
3,0.5279726330446962,0.5212144658501439,0.014144414088118918,6,23,0.2185751268757814,501,106,1.0222851179180235e-08,0.00014484034617277122,0.8187378591135568,COMPLETE
4,0.5487495336771238,0.7626189348524166,0.028803930460627084,14,63,0.11136699896337227,815,66,2.3407822522901863e-08,0.05151571686780881,0.6746123540334978,COMPLETE
5,0.5415559737258568,0.9900814465387289,0.20357597747559722,3,96,0.4942661407529143,474,95,0.4338624195351497,6.257588671148624e-05,0.6991599108951856,COMPLETE
6,0.5674981453156083,0.7763018012659935,0.27247147114057024,9,89,0.043682806641715644,643,97,5.103502405749494e-08,2.244251233548675e-06,0.8258184206799678,COMPLETE
7,0.5511216934187996,0.9861199735561281,0.09692357800753686,6,20,0.22446719094800582,883,139,2.091553386942599e-07,0.020101683191351097,0.8370792795841764,COMPLETE
8,0.5195625364665418,0.5828183208462945,0.02442200401131113,3,5,0.34179338375238155,982,15,6.708010981749805e-05,0.003023426510213814,0.6873452870481691,COMPLETE
9,0.5335182708058032,0.515551608387105,0.19451756471946804,13,30,0.2520418365927931,909,79,1.7359874556396558e-08,1.6993642899803065e-08,0.8804272180218413,COMPLETE
10,0.5217508862733797,0.6397781590306482,0.02898068608234314,3,5,0.44388384075887016,744,15,0.0005906274087733024,0.000780236377325751,0.5241419190335344,COMPLETE
11,0.5201213035289637,0.6386545861988382,0.02716109009071453,3,5,0.4466574439674715,700,10,0.0004328933368283281,0.0014954995064806623,0.5793427323087466,COMPLETE
12,0.5254475651067901,0.6316651202054809,0.011000574784462392,6,8,0.39476212567215685,987,39,0.0023887034082272596,0.0032194531771616098,0.5692246703583086,COMPLETE
13,0.5228708699599487,0.6595189017109795,0.027016264840321092,4,36,0.40611919225164883,688,38,1.4320793545648751e-06,0.6358673594830413,0.607800456969731,COMPLETE
14,0.5309743586239355,0.6987847294907116,0.04253396423205993,5,73,0.36283020384604514,995,36,0.011064735512100876,0.0014448139382523366,0.6212254305819613,COMPLETE
15,0.5205023791405874,0.5916538741856628,0.021227422095331662,16,15,0.47286412297777036,302,19,8.354271591310093e-06,2.698691424532265e-05,0.9774101597183475,COMPLETE
16,0.5384603576318824,0.8116288469895085,0.041179652318633415,8,37,0.3514621492502863,604,53,0.025706246506844846,0.005206407867882955,0.5158681067780898,COMPLETE
17,0.532387421053869,0.5827801056152968,0.11133657759178424,7,13,0.15981302159494717,760,23,1.937375946985136e-05,0.00039465154854916696,0.6358040704079095,COMPLETE
18,0.5358137234082938,0.6774023926591335,0.010203311588932382,3,67,0.42843815177272465,440,29,0.0007571924319009322,2.6408801556255146e-07,0.7761460103327098,COMPLETE
19,0.5204551909925281,0.7089773877140971,0.015552854035729246,5,27,0.35810641130838006,803,10,9.440144249037792e-07,0.007757012005909007,0.5732328489757313,COMPLETE
