Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,True
gust_factor,True
turbulence_window,0
lags_choice,none
precip_lags_choice,small
drop_raw_main_features,True
drop_raw_wind_features,True
spatial_agg_method,distance_capacity
lags_target,12
l1_ratio,0.6345149548143081
alpha,0.08586716397787972
