number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_choice,params_lags_target,params_precip_lags_choice,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,1434.6692200564796,0.7994815252935489,True,False,False,True,True,True,False,False,True,False,0.9630931520125822,small,6.0,none,None,0,True,COMPLETE
1,4380.519165836226,0.24152919875640017,False,True,False,False,False,False,True,True,False,False,0.13950216278078242,large,,small,distance_n_turbines,2,True,COMPLETE
2,1954.8297202201702,0.0492111082780471,False,False,True,False,True,False,False,False,False,False,0.48768553926684327,none,12.0,small,capacity,2,False,COMPLETE
3,1116.0320696804438,0.3470469545767605,True,False,True,True,True,False,False,True,True,False,0.30150601618538897,none,1.0,small,distance_n_turbines,6,True,COMPLETE
4,2881.157934206484,0.21810603384372879,False,True,True,False,False,True,False,True,True,True,0.6059586604969965,none,1.0,small,distance_n_turbines,0,False,COMPLETE
5,1533.2729338405964,0.40007217377889537,False,False,True,False,True,False,True,True,False,True,0.817607091873538,small,6.0,large,distance_capacity,0,False,COMPLETE
6,3442.422952575252,0.8086719353775709,False,False,False,True,True,False,False,False,False,False,0.5919272816269824,none,,small,None,6,False,COMPLETE
7,3179.1641293418384,0.20251437325617505,False,True,False,True,False,True,False,True,True,True,0.05893697574860132,small,1.0,none,max,6,True,COMPLETE
8,1089.7911982895387,0.59123158059612,True,True,False,False,False,False,False,True,False,False,0.4552083885388571,small,6.0,large,max,2,True,COMPLETE
9,4637.780387924571,0.16309011636355145,False,False,True,True,False,False,False,True,False,True,0.4882417785487113,large,,small,capacity,0,True,COMPLETE
10,1089.9305688886313,0.6106010794403786,True,True,False,False,False,True,True,False,False,False,0.2987014743528946,small,6.0,large,max,2,True,COMPLETE
11,1089.9305688886313,0.594201816750934,True,True,False,False,False,True,True,False,False,False,0.29614030691576576,small,6.0,large,max,2,True,COMPLETE
12,1089.9305688886313,0.6040609966998188,True,True,False,False,False,True,True,False,False,False,0.28374150391816694,small,6.0,large,mean,2,True,COMPLETE
13,1089.9305688886313,0.9989493683601851,True,True,False,False,False,True,True,False,False,False,0.37090476583247367,small,6.0,large,max,2,True,COMPLETE
14,1089.648718698954,0.734269198542047,True,True,False,False,False,False,True,True,False,False,0.723275750348948,small,12.0,large,idw,2,True,COMPLETE
15,1089.648718698954,0.7706847919297348,True,True,False,False,False,False,True,True,False,False,0.754846830541497,small,12.0,large,idw,2,True,COMPLETE
16,1089.648718698954,0.7983315124874297,True,True,False,False,False,False,True,True,False,False,0.7589434272012924,large,12.0,large,idw,2,True,COMPLETE
17,1089.648718698954,0.894930694992067,True,True,False,False,False,False,True,True,False,False,0.7371246923250158,small,12.0,large,idw,2,True,COMPLETE
18,1176.2170636150552,0.7227137634813667,True,True,False,False,False,False,True,True,True,True,0.9753975754206666,small,12.0,none,idw,2,False,COMPLETE
19,1070.1014976047989,0.47555915407150456,True,True,False,False,False,False,True,True,False,False,0.8425150722943893,large,12.0,large,idw,6,True,COMPLETE
