Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,True
compute_wind_components,True
compute_wind_power_density,True
compute_pressure_trend,False
compute_wind_speed_gradient,True
compute_air_density,False
compute_rain_indicator,True
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,none
precip_lags_option,medium
cloud_lags_option,medium
rolling_temp_option,none
drop_basic_meteo_features,False
drop_wind_meteo_features,False
drop_rad_meteo_features,False
spatial_agg_method,idw
n_estimators,561
learning_rate,0.06072399602889967
num_leaves,119
max_depth,13
min_child_samples,60
subsample,0.5556716768458467
colsample_bytree,0.8706224490805552
reg_alpha,0.004418126124767322
reg_lambda,0.00021219545739864715
min_split_gain,0.32383092079228376
use_base_models_pred_intervals,False
cv_folds_base,40
