number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,789.4555086039622,none,0.538984829418057,True,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,False,0.03574561192834602,12,45,0.15797354865337798,518,10,medium,5.2191972978966096e-06,2.157463334535001e-05,long,idw,0.6188656667406431,none,True,COMPLETE
1,853.5649908207237,none,0.7776476669287573,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,0.03415289980967333,11,11,0.019397936406664207,540,133,medium,0.025451793968155292,2.7308333260391648e-08,short,energy,0.8472384461326412,small,False,COMPLETE
2,925.4265696993898,small,0.7313686268061721,False,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,0.011955516673747151,3,28,0.03396193453206198,307,26,medium,0.00046250045064059024,0.03650609003917322,long,population,0.9583654428816245,medium,False,COMPLETE
3,642.958504061476,medium,0.8725686797084902,False,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,False,0.010773268039576655,9,95,0.44448458809245023,652,86,medium,0.0002806024284438006,0.48262720218767075,short,idw,0.6453187518452259,none,True,COMPLETE
4,656.553491830351,none,0.8107353795907314,False,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,False,0.022780355914170724,8,13,0.10647697865040062,929,61,none,1.4992801575401437e-05,2.1697700769583888e-08,none,distance_population,0.691403782169003,small,True,COMPLETE
5,663.3923653745051,none,0.6035509852690395,True,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,0.02178928472482535,15,89,0.07233691759566907,978,34,none,0.0005249345756228572,0.09778720448764137,short,distance_energy,0.8167551459147084,none,False,COMPLETE
6,724.2917440454647,medium,0.7292604133975948,True,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,0.1396382123978125,4,59,0.25894052206403834,446,56,medium,0.22996353515917325,4.1096236794131436e-07,short,None,0.7741751604545184,small,False,COMPLETE
7,979.6985950940476,none,0.901784318831551,True,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,True,0.019080703006182913,8,29,0.35988795393745615,759,150,none,1.0847523093974758e-05,3.6586883542405734e-05,long,mean,0.5990520266736055,medium,True,COMPLETE
8,853.2054881770044,medium,0.8307288571022575,False,False,True,False,False,False,True,False,False,True,True,True,True,False,True,False,False,0.013284661430934697,12,13,0.2539014306757823,955,86,none,1.3480409782717217e-07,9.341503596910735e-08,long,None,0.9133769952301876,medium,False,COMPLETE
9,1041.0904454994823,small,0.5574057599369211,False,False,True,True,False,True,False,False,False,True,True,True,True,True,True,True,False,0.11237933092874416,14,13,0.3256987295409268,903,22,medium,0.6254655647580396,0.11897494496477841,long,energy,0.9983515769834777,medium,False,COMPLETE
10,815.5395110142912,medium,0.992166189599798,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,True,True,0.07310044607871252,6,100,0.4973776697709857,714,105,small,1.249164243176598e-08,0.0011681413310364686,none,idw,0.5110508067775977,none,True,COMPLETE
11,669.3872023179679,medium,0.8818290451207558,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,0.01041701009749749,8,72,0.4949125878462686,842,69,small,1.6495396844825617e-05,0.0010492352471099839,none,distance_population,0.6813478667818466,small,True,COMPLETE
12,739.1512332063875,none,0.9755082417220378,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,0.24481675436662828,9,74,0.1500232161536267,764,98,none,0.005885467197482233,1.801509325431293e-06,none,max,0.6882723770247727,small,True,COMPLETE
13,659.3904051093897,medium,0.6532588532302194,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,0.02379242972604832,6,46,0.40287522589646263,615,55,none,5.144752209410639e-07,0.9758204188568294,none,distance_population,0.700025545422672,none,True,COMPLETE
14,657.2569912126033,small,0.8138649722152924,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,0.03821854496108866,6,30,0.15183953500780506,847,113,small,0.00014599604672255897,0.001187278188354947,short,distance_population,0.5867467696157694,small,True,COMPLETE
15,635.5608991767785,none,0.9089332939675451,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,0.014242495399956432,10,62,0.414705090322998,662,78,medium,0.0026726407140630214,3.5103439449674538e-06,none,idw,0.5144489417694211,none,True,COMPLETE
16,649.443503557297,medium,0.9305870211930074,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,0.014131931850126948,10,80,0.4327758792221656,645,82,medium,0.004745738923839846,6.964424664837212e-06,short,idw,0.5069629736694299,none,True,COMPLETE
17,616.7849066701082,medium,0.8706224490805552,False,True,True,True,False,True,True,False,True,False,False,True,True,True,False,False,False,0.06072399602889967,13,60,0.32383092079228376,561,119,medium,0.004418126124767322,0.00021219545739864715,none,idw,0.5556716768458467,none,True,COMPLETE
18,879.601010906949,none,0.9506742703992859,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,0.06945105524195412,16,57,0.3424851956515167,380,125,medium,0.04863779197747287,0.0002513540742823992,none,idw,0.5579925024181158,none,True,COMPLETE
19,657.4320296053669,small,0.8595862855715162,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,0.05506432067207561,13,64,0.31495430133281654,559,123,medium,0.01192144118904666,1.6416875257114074e-06,none,distance_energy,0.5644145930440363,none,True,COMPLETE
