Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,False
gust_factor,True
turbulence_window,6
lags_choice,small
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,idw
lags_target,
n_estimators,426
learning_rate,0.03453192272941249
max_depth,10
min_child_weight,2
subsample,0.9605266512225201
colsample_bytree,0.8976243061115913
reg_alpha,0.0017578124501699333
reg_lambda,0.005763553902910518
