number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,1636.6374414567747,0.6809945935109568,True,True,True,False,False,False,True,False,False,False,small,1.0,0.020014410026754623,10,8,466,small,0.005053042526922297,0.0003342494408651637,max,0.5143844207369004,6,False,COMPLETE
1,2024.9727568960727,0.9380163221631217,False,True,True,False,False,True,False,False,True,True,small,1.0,0.0126447080153341,4,3,360,none,1.150824534254883e-06,1.1871192297430102e-07,distance_capacity,0.7004232129166765,6,True,COMPLETE
2,1254.3040611712522,0.96115644706086,True,True,True,False,False,False,True,True,True,True,none,,0.06838719036045343,3,1,1000,large,0.012045221435399652,1.766906580378116e-05,max,0.7889998919819454,0,False,COMPLETE
3,939.5570553932766,0.508980140800928,True,False,False,True,False,True,False,False,False,True,large,,0.011510309622057943,9,6,346,small,0.029164407268741446,0.0001573236524565607,mean,0.5072359055992192,6,True,COMPLETE
4,1519.3373824883154,0.5241937086811144,False,False,False,True,True,False,True,False,True,True,large,12.0,0.010172796551118662,5,8,467,none,9.773228211886578e-08,2.021871701952197e-05,max,0.5044559661477759,0,True,COMPLETE
5,949.5805377986507,0.922552917529079,False,False,False,False,False,False,False,False,False,True,large,,0.018415872321508375,6,6,504,large,0.004081020866277148,1.8517757081295594e-06,idw,0.8099457217377648,0,False,COMPLETE
6,1715.5137461985432,0.927198134686259,True,False,False,True,True,False,False,True,True,False,small,6.0,0.053954025301196064,4,9,658,small,2.4606028241833698e-08,9.545643691169584e-08,mean,0.8913648797565223,0,True,COMPLETE
7,1769.290131580743,0.6912303584868476,True,True,True,False,True,False,False,True,False,False,none,12.0,0.03846889321705667,5,6,341,none,0.2544178491536982,3.5265352564534495e-05,idw,0.8253920338429748,6,False,COMPLETE
8,1154.9946099518736,0.8406272651661526,True,True,True,False,True,True,False,False,True,True,small,,0.017373430502952043,9,9,686,none,0.9534826225727339,0.4096763075105766,max,0.5960587667218619,2,False,COMPLETE
9,1977.1550803128969,0.7784306492025915,True,False,False,True,False,True,True,False,False,True,small,12.0,0.10785020905348597,6,5,656,small,4.2805858778842385e-05,1.3281690469992272e-06,max,0.6640702034105905,0,False,COMPLETE
10,1673.629106728774,0.5082028282903204,False,False,False,True,False,True,False,True,False,False,large,6.0,0.1800018025310868,8,4,843,small,1.8627014101795188e-05,0.004630427179048373,mean,0.9956093664620338,2,True,COMPLETE
11,913.809976976152,0.6125931500256198,False,False,False,True,False,True,False,False,False,True,large,,0.027334738268936946,7,6,471,large,0.002723243122245265,0.010550343449602928,distance_n_turbines,0.8749025586988254,6,True,COMPLETE
12,924.569141119678,0.6005892655112806,False,False,False,True,False,True,False,False,False,True,large,,0.03107590772493347,8,7,307,large,0.0006648582256536601,0.0113079287019624,distance_n_turbines,0.9316707317187531,6,True,COMPLETE
13,887.8062288380821,0.6189496306662331,False,False,False,True,False,True,False,False,False,True,large,,0.029333420130025142,7,7,546,large,0.0003767537067406306,0.036077031785832214,distance_n_turbines,0.9548879683618166,6,True,COMPLETE
14,910.5458365708319,0.6111924803165386,False,False,False,True,False,True,False,False,False,True,large,,0.030062667180044047,7,10,571,large,0.0003090503930895535,0.5107033090182246,distance_n_turbines,0.8911192938872371,6,True,COMPLETE
15,910.470400771639,0.6070308870050424,False,False,False,True,False,True,False,False,False,True,large,,0.04921070616958732,7,10,547,large,0.00017393402272502492,0.7929170923214833,distance_n_turbines,0.9994428925747895,6,True,COMPLETE
16,949.1035513661091,0.6990186667950549,False,False,False,True,False,True,False,False,False,True,large,,0.08755492904872482,8,10,785,large,3.884273444897764e-06,0.12214814831160682,None,0.9812865028528889,6,True,COMPLETE
17,2034.6472125776181,0.5708033578796345,False,False,False,True,False,True,False,False,False,True,none,6.0,0.2581422006785142,7,8,557,large,0.00017098569646986495,0.046593624534159224,capacity,0.9449161842352343,2,True,COMPLETE
18,2311.4188340065575,0.7486736563010197,False,False,False,True,True,True,True,True,False,False,large,1.0,0.04769357382009401,6,3,735,large,2.7702760447380557e-06,0.0011794558505451836,distance_n_turbines,0.7384219419168274,6,True,COMPLETE
19,949.39730892626,0.6422427995311145,False,False,False,True,False,True,False,False,False,True,large,,0.1328848660774709,10,10,577,large,1.54848495689724e-05,0.8537210794790094,distance_n_turbines,0.9445887403171402,6,True,COMPLETE
20,930.818738177223,0.5565890986058513,False,False,False,True,False,True,False,False,False,True,none,,0.07171946837322106,5,7,418,large,3.77558941194072e-07,0.05953404787497277,capacity,0.8404368137996236,2,True,COMPLETE
21,923.5544129487707,0.6432805894265956,False,False,False,True,False,True,False,False,False,True,large,,0.027684185052240934,7,10,576,large,0.0003845633280721844,0.7913022639961383,distance_n_turbines,0.8962754873545633,6,True,COMPLETE
22,917.0740170416453,0.7546618734670071,False,False,False,True,False,True,False,False,False,True,large,,0.041982713744888905,7,9,546,large,0.0009666078461563947,0.15816218996313505,distance_n_turbines,0.995617070764808,6,True,COMPLETE
23,891.5371054281031,0.575281165049113,False,False,False,True,False,True,False,False,False,True,large,,0.034880179756439755,8,10,620,large,0.0001505261465103591,0.0250140128497372,distance_n_turbines,0.9289831825830686,6,True,COMPLETE
24,935.2624671285718,0.564155187777519,False,False,False,True,False,True,False,False,False,True,large,,0.03616674980519792,9,9,622,large,7.72855475967088e-05,0.002917205619259777,distance_capacity,0.9500726475935863,6,True,COMPLETE
25,942.5386107424602,0.6547000812619553,False,False,False,True,False,True,False,False,False,True,large,,0.06432205146509527,8,7,742,large,1.468726431317096e-05,0.02695667670080801,None,0.9147071411596166,6,True,COMPLETE
26,1296.3363684513095,0.558176489864388,False,True,True,True,True,True,True,True,True,False,large,1.0,0.021089572239712424,8,8,614,large,0.04463522854871876,0.0011374663843022482,distance_n_turbines,0.8507672729667218,6,True,COMPLETE
27,1777.4005976975216,0.7226613144480399,False,False,False,True,False,True,False,False,False,True,large,12.0,0.04914759890443206,9,9,864,large,0.0015400512824645597,0.17056005307107697,distance_n_turbines,0.960811181595678,6,True,COMPLETE
28,1676.1959785447705,0.8238843852422829,False,False,False,True,False,True,False,False,False,True,large,6.0,0.02471057647567755,6,5,402,none,0.00011038446623617034,0.017618815874409315,distance_n_turbines,0.7729994766358612,2,True,COMPLETE
