Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,False
gust_factor,True
compute_turbulence_intensity,True
turbulence_window,3
lags_option,small
precip_lags_option,small
drop_raw_features,False
spatial_agg_method,mean
lags_target,
n_estimators,745
learning_rate,0.04482273063166705
max_depth,5
min_child_weight,6
subsample,0.809084770719413
colsample_bytree,0.6651629369589696
reg_alpha,5.85623992606124e-05
reg_lambda,0.27607120257548334
