method,model_label,horizon,mse,rmse,mae,mape,smape,bias,variance,std,r2,prediction_interval_coverage,prediction_interval_width
trained,XGBoost,2024-12-05T00:00:00+00:00,66527.20204426139,257.9286762736191,89.74431209958259,3826019023.6331596,,-38.74754847939137,65025.82953109861,255.00162652637846,0.8268419769396083,0.7380952380952381,155.13500925458592
trained,XGBoost,2024-12-12T00:00:00+00:00,41450.505112806255,203.59397120938098,78.74327835552837,309588403.0866672,284.4221453478499,38.83194698985649,39942.58500578323,199.8564109699342,0.8013041993195142,0.7797619047619048,201.04095575512105
trained,XGBoost,2024-12-19T00:00:00+00:00,58695.162075871216,242.27084446105192,92.18026257424499,117636.45156336813,280.0216284642996,7.945346357658064,58632.03354712806,242.1405243802203,0.8686799020815344,0.8214285714285714,263.16590647260506
trained,XGBoost,2024-12-26T00:00:00+00:00,35462.76338259353,188.31559516565147,83.92575618617911,58495.41327393539,275.67167375629987,-14.793233733637745,35243.9236182955,187.73365073501208,0.9508443466729699,0.8214285714285714,320.8612353902322
trained,XGBoost,2025-01-02T00:00:00+00:00,58256.048278582704,241.3628974771862,97.11906759174074,31690.660188386715,278.8287577885492,-72.04819109935923,53065.10643789291,230.3586474128829,0.88024806058301,0.7976190476190477,209.52425296135303
trained,ElasticNet,2024-12-05T00:00:00+00:00,297868.5579703419,545.7733576956115,199.34794974005905,1961636544.3652933,364.21628855074164,-199.31896406630776,258140.50853387578,508.0752980945598,0.2247031432995128,0.9702380952380952,11521352.967176417
trained,ElasticNet,2024-12-12T00:00:00+00:00,122532.80423652576,350.04686005808674,157.4619764066324,1346734555.3606818,355.26279786626753,-157.20292272841874,97820.04532216855,312.7619627163261,0.412630712674242,0.9761904761904762,14493337.5616803
trained,ElasticNet,2024-12-19T00:00:00+00:00,429413.2631032499,655.2963170224978,248.03711680899073,415192764.7784523,346.72596007342946,-93.28975429669993,420710.2848465114,648.6218350059697,0.039263377698585455,0.9583333333333334,53242485.88854121
trained,ElasticNet,2024-12-26T00:00:00+00:00,445861.1656152743,667.7283621468196,311.8153015099205,264785053.65806505,354.094749664144,-233.67829511490294,391255.62000746664,625.5042925571868,0.3819828237151013,0.9583333333333334,46436930.67937773
trained,ElasticNet,2025-01-02T00:00:00+00:00,227875.54712056622,477.36311872678874,218.63200431169332,321127280.7546441,351.9236591395746,-210.78301930467643,183446.06589337066,428.3060423264779,0.531575870321642,0.9523809523809523,30128740.665074594
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-05T00:00:00+00:00,106895.22390219667,326.9483505115092,104.46444595799792,273471308593.85645,285.22994926488855,-12.191559052214355,106746.58979007306,326.7209662541923,0.7217714697637889,0.6309523809523809,70.00248800733796
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-12T00:00:00+00:00,45015.46850236128,212.16849083301997,92.47195692820561,3389008981.4698114,282.68140993527066,47.47850009444276,42761.26053114327,206.7879603147709,0.7842153061164877,0.6071428571428571,78.17870780468236
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-19T00:00:00+00:00,49929.54274090719,223.44919498827286,95.35820785733301,8996118107.705532,282.3782994165091,11.47958879224673,49797.76178206812,223.15412114067738,0.8882914330607916,0.6547619047619048,97.43959109284812
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-26T00:00:00+00:00,58201.570064770545,241.25001567828042,108.80612973043382,292.277608225079,277.4327844432664,-79.3048648073731,51912.30848265482,227.84272751759013,0.9193256269871803,0.6607142857142857,97.79772289114014
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2025-01-02T00:00:00+00:00,39298.97318681367,198.2396862053955,80.2148418753603,1501.5636231441285,278.36308272710477,-13.973548524731449,39103.71312844064,197.7465881587863,0.9192164866090412,0.6845238095238095,101.72051098504731
forecast,XGBoost,2024-12-08T00:00:00+00:00,5018.1919260508685,70.83919766662288,24.313831698936376,550.4883949533051,258.643949429742,9.57678414225826,4926.477131543459,70.18886757558822,0.9644287821944749,0.9226190476190477,136.64870418802025
forecast,XGBoost,2024-12-15T00:00:00+00:00,18590.63895930427,136.34749341041905,53.337146346387804,1195.6256788396001,267.31123782630345,9.354858917185023,18503.125573943835,136.02619444042327,0.9433753667355601,0.8809523809523809,225.75646457545298
forecast,XGBoost,2024-12-22T00:00:00+00:00,9419.752312945386,97.05540846828364,39.99945076247654,307.7122325946922,263.06503564248885,-5.830428373721325,9385.758417924291,96.88012395700312,0.9807521271053381,0.9523809523809523,277.78595897113587
forecast,XGBoost,2024-12-29T00:00:00+00:00,32230.657784277162,179.52898870176136,72.56935871810933,300.90049025280064,269.8810508501397,-49.02832053253397,29826.88157003627,172.70460784251318,0.9481406731713534,0.8928571428571429,272.4904119273691
forecast,XGBoost,2025-01-05T00:00:00+00:00,67179.64260063626,259.19035977566034,98.08831770318938,71402.12219296585,281.1296146904952,-65.05493465957235,62947.49807707502,250.89339982764596,0.8486314751836612,0.7678571428571429,195.40410853966048
forecast,ElasticNet,2024-12-08T00:00:00+00:00,70407.32917160232,265.3437942963851,114.4144599064415,1343079066.2108297,357.0049328005028,-114.35847667421504,57329.467984355346,239.43572829541407,0.500920953607429,0.9761904761904762,12496973.9608325
forecast,ElasticNet,2024-12-15T00:00:00+00:00,301228.2564104816,548.8426517777947,224.38502409679353,1273386641.92645,358.6008119792581,-133.36928419442037,283440.8904439495,532.3916701489135,0.08249847756881357,0.9642857142857143,33956392.98279441
forecast,ElasticNet,2024-12-22T00:00:00+00:00,274823.3389349185,524.2359573082703,245.34510918441387,277543393.7187019,350.1391906427622,-217.2093622076815,227643.43190425067,477.11993450730046,0.4384390883573148,0.9583333333333334,33911655.56825655
forecast,ElasticNet,2024-12-29T00:00:00+00:00,405479.18453859404,636.7724747023807,291.5529452368478,283452033.6338019,355.0175045512958,-224.33455392532372,355153.19245372,595.9473067761277,0.34758149542148276,0.9583333333333334,40524580.77172543
forecast,ElasticNet,2025-01-05T00:00:00+00:00,257811.39688916708,507.75131402012846,224.26644541808625,327759919.8381857,356.1499106875923,-154.47408051547043,233949.15533806704,483.68290784156,0.4191018392291467,0.9583333333333334,36891743.042941615
forecast,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-08T00:00:00+00:00,3671.163547526939,60.590127475744254,21.904970036734305,89042.73526910038,,-5.126974938005674,3644.877675512001,60.37282232521518,0.9739771295970434,0.7916666666666666,50.329290552618055
forecast,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-15T00:00:00+00:00,10246.82551765381,101.22660479169402,39.12020050651164,145463.9803802512,261.67358570285074,19.987423740666458,9847.328409864853,99.23370601698221,0.9687895215257536,0.8273809523809523,93.78388211787261
forecast,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-22T00:00:00+00:00,9348.630939062527,96.6883185243312,41.89090716115623,76866.42927742841,263.84353455842046,2.82351521132624,9340.658700913935,96.647083250939,0.9808974531308122,0.8452380952380952,114.0492829136317
forecast,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-29T00:00:00+00:00,29047.088947716074,170.43206549155025,68.89887927588323,1200.8266922179141,267.25364986653784,-24.112034177442336,28465.698755541933,168.71780805695033,0.9532630550315603,0.7857142857142857,116.87754965316353
forecast,"ensemble[XGBoost](XGBoost,ElasticNet)",2025-01-05T00:00:00+00:00,50548.8490214892,224.83071191785433,86.46914411181727,755846.2771567686,282.38440564466265,-32.175513846734745,49513.585330187794,222.51648327750416,0.8861038193812275,0.6369047619047619,88.38479700248698
