number,value,params_bagging_temperature,params_border_count,params_colsample_bylevel,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_random_strength,state
0,0.3346553274184842,0.0017008005297537432,177,0.9037087605302294,10,SymmetricTree,388,3.225168179135381e-05,6,0.04296177230606083,0.0002287713030731767,COMPLETE
1,0.3331722606302796,0.9180955546780869,206,0.6144482645030733,8,Depthwise,348,4.621299960751798e-07,8,0.08600090149001535,2.743250322815295e-06,COMPLETE
2,0.32947700007240205,0.8073210158792875,131,0.5813136044350966,6,SymmetricTree,668,3.3377745387158174e-05,6,0.04200289822020045,6.195641172341003e-06,COMPLETE
3,0.34198644869846717,0.8358156089138024,232,0.8041317171627975,6,Depthwise,447,3.647174192157462e-08,5,0.07083798307332893,0.025620120855081346,COMPLETE
4,0.3306866102355006,0.8149407942772627,234,0.8684181145161309,4,SymmetricTree,896,0.38037093299681396,8,0.16542955605542864,1.0197620800619002e-06,COMPLETE
5,0.33507570468073106,0.03681080393996505,49,0.7320891254567583,10,SymmetricTree,979,0.0012159616192998618,9,0.012845392457869087,8.06545091587356e-06,COMPLETE
6,0.34574555293844306,0.8348645835366869,145,0.9970655200067395,5,Lossguide,705,3.2595402126049836e-08,1,0.08568635980898918,2.32441321135902e-07,COMPLETE
7,0.34535848986759454,0.21275293054265276,44,0.6499532548420996,12,SymmetricTree,332,0.0006581695890860627,6,0.09307510452048443,2.7902686214182282e-06,COMPLETE
8,0.3611097955302471,0.058986765732674584,129,0.792324492610887,10,Depthwise,695,1.5289780705017864e-05,1,0.24132709928764326,0.0005308558245497352,COMPLETE
9,0.34647074507537584,0.9356116335387179,107,0.6494832782383335,7,Depthwise,878,2.243431815978607e-08,5,0.07459468366950343,0.016910332594053112,COMPLETE
10,0.33240893746305833,0.5757338349733141,90,0.5009502989632147,6,Lossguide,545,0.07380013264293749,4,0.02181177910745223,1.4297836553305584e-08,COMPLETE
11,0.3336889510503383,0.5920708637087645,250,0.9035952339047131,4,SymmetricTree,816,7.868833298045751,8,0.262123222184746,2.315111228390482e-07,COMPLETE
12,0.3254356093916904,0.6964810686372176,174,0.5189395323673611,4,SymmetricTree,592,0.1724312168284936,10,0.03387934797983188,4.734165837859619e-05,COMPLETE
13,0.32224895597711306,0.6800351556631999,170,0.5219773080601783,5,SymmetricTree,586,0.016212937312356124,10,0.03311143037917894,6.115958596047658e-05,COMPLETE
14,0.32681552838810796,0.41503818089336936,175,0.5018054352357577,4,SymmetricTree,548,0.02127575875603873,10,0.02532219973291055,0.8685821421569452,COMPLETE
15,0.32165109215718024,0.6729816558740163,167,0.5676926161840494,5,SymmetricTree,541,6.540622642271183,10,0.024086025945052124,5.599781664271647e-05,COMPLETE
16,0.33343701058656655,0.404553912436888,195,0.5815036828243699,8,Lossguide,491,7.433149318287254,10,0.014872098132374171,0.0023067123673581828,COMPLETE
17,0.3263497584334958,0.6860580579414941,85,0.7098944431294196,5,SymmetricTree,766,0.007281073844627393,9,0.018786475721242934,4.2478063248753446e-05,COMPLETE
18,0.32547141712583244,0.43117394816677485,154,0.5532637999142948,7,SymmetricTree,606,1.0430022581162628,3,0.010691929915766611,0.003353126717985024,COMPLETE
19,0.329094857391467,0.2849639893686957,195,0.6626381880772239,5,Lossguide,455,0.009119346920146815,7,0.028592634022096948,3.190723796125246e-05,COMPLETE
