date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2025-07-05 00:00:00+00:00,,8791.381,8577.647919717587,9005.114469454953
2025-07-05 01:00:00+00:00,,8242.633,8028.899914108874,8456.366463846241
2025-07-05 02:00:00+00:00,,8255.18,8041.4459495419405,8468.912499279308
2025-07-05 03:00:00+00:00,,8411.095,8197.36147869945,8624.828028436816
2025-07-05 04:00:00+00:00,,9250.431,9036.697022793704,9464.16357253107
2025-07-05 05:00:00+00:00,,9543.606,9329.872689688873,9757.33923942624
2025-07-05 06:00:00+00:00,,10023.758,9810.024608968473,10237.49115870584
2025-07-05 07:00:00+00:00,,10111.922,9898.188955476704,10325.65550521407
2025-07-05 08:00:00+00:00,,10543.887,10330.153292473007,10757.619842210373
2025-07-05 09:00:00+00:00,,10900.323,10686.589786961424,11114.056336698792
2025-07-05 10:00:00+00:00,,10883.307,10669.573229091664,11097.03977882903
2025-07-05 11:00:00+00:00,,10180.021,9966.28803295568,10393.754582693045
2025-07-05 12:00:00+00:00,,9952.903,9739.169763460857,10166.636313198223
2025-07-05 13:00:00+00:00,,10348.155,10134.42159216288,10561.888141900248
2025-07-05 14:00:00+00:00,,10651.264,10437.5302190331,10864.996768770468
2025-07-05 15:00:00+00:00,,11313.452,11099.719201871312,11527.185751608678
2025-07-05 16:00:00+00:00,,11239.764,11026.030238123289,11453.496787860655
2025-07-05 17:00:00+00:00,,11271.71,11057.976396880302,11485.442946617668
2025-07-05 18:00:00+00:00,,10721.168,10507.434746795367,10934.901296532735
2025-07-05 19:00:00+00:00,,10419.936,10206.20249029133,10633.669040028697
2025-07-05 20:00:00+00:00,,10272.281,10058.548241558856,10486.014791296222
2025-07-05 21:00:00+00:00,,10108.926,9895.192241012599,10322.658790749965
2025-07-05 22:00:00+00:00,,8797.019,8583.284702459718,9010.751252197084
2025-07-05 23:00:00+00:00,,8513.176,8299.442073011485,8726.908622748851
2025-07-06 00:00:00+00:00,,8317.501,8103.767199690855,8531.233749428222
2025-07-06 01:00:00+00:00,,7719.486,7505.75246726831,7933.2190170056765
2025-07-06 02:00:00+00:00,,7621.2153,7407.482008948033,7834.948558685399
2025-07-06 03:00:00+00:00,,7798.685,7584.951560605625,8012.418110342991
2025-07-06 04:00:00+00:00,,8075.452,7861.719002553591,8289.185552290957
2025-07-06 05:00:00+00:00,,8790.177,8576.44341484822,9003.909964585586
2025-07-06 06:00:00+00:00,,8883.108,8669.375091159285,9096.841640896651
2025-07-06 07:00:00+00:00,,9544.866,9331.132885007946,9758.599434745312
2025-07-06 08:00:00+00:00,,9857.432,9643.698261681237,10071.164811418603
2025-07-06 09:00:00+00:00,,10526.319,10312.586251555995,10740.052801293361
2025-07-06 10:00:00+00:00,,10245.063,10031.330273015661,10458.79682275303
2025-07-06 11:00:00+00:00,,9883.519,9669.78560044141,10097.252150178776
2025-07-06 12:00:00+00:00,,9675.672,9461.938726932578,9889.405276669946
2025-07-06 13:00:00+00:00,,9596.905,9383.171973331353,9810.63852306872
2025-07-06 14:00:00+00:00,,9858.841,9645.107116404834,10072.5736661422
2025-07-06 15:00:00+00:00,,10557.031,10343.297488797514,10770.76403853488
2025-07-06 16:00:00+00:00,,11287.87,11074.136813533058,11501.603363270424
2025-07-06 17:00:00+00:00,,11130.104,10916.370514568134,11343.8370643055
2025-07-06 18:00:00+00:00,,10881.907,10668.17431909123,11095.640868828596
2025-07-06 19:00:00+00:00,,10403.463,10189.729596230081,10617.196145967448
2025-07-06 20:00:00+00:00,,10153.988,9940.255361759402,10367.721911496768
2025-07-06 21:00:00+00:00,,11212.974,10999.239977916539,11426.706527653905
