number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_choice,params_lags_target,params_precip_lags_choice,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,3216.9134848057515,0.6868363397121933,True,False,False,True,False,True,False,True,False,True,0.02550218139997498,large,1.0,small,idw,6,True,COMPLETE
1,4787.265342311582,0.672830016827495,False,False,False,False,True,True,True,False,True,True,0.49242294943850035,small,1.0,large,idw,6,False,COMPLETE
2,3280.710172091461,0.3340541860448521,True,False,False,False,True,True,True,False,True,False,0.6221514233739693,large,12.0,none,capacity,6,True,COMPLETE
3,4396.888773032374,0.5084278388044019,True,True,False,False,False,False,False,False,True,True,0.8690214716045778,large,1.0,large,None,0,False,COMPLETE
4,2703.3798596196248,0.9774774183609207,False,False,True,False,False,True,False,True,True,False,0.03047862521966605,none,,small,mean,0,False,COMPLETE
5,2310.2775089949905,0.7046480598874464,True,True,False,False,True,False,False,False,False,True,0.5302928692222634,none,,large,max,0,False,COMPLETE
6,2875.6410547679625,0.8426010424378962,False,True,True,True,True,True,False,True,False,True,0.7937626669188672,large,12.0,none,capacity,2,False,COMPLETE
7,3287.6560433425893,0.8529925803941901,False,True,False,True,True,False,True,True,False,False,0.026071865012741925,none,12.0,none,max,2,False,COMPLETE
8,5213.573142991623,0.3147484944732216,False,True,False,False,False,False,True,True,False,True,0.8178943930728949,none,1.0,large,distance_n_turbines,0,True,COMPLETE
9,3908.812282686777,0.43422834888172107,False,True,True,True,True,False,True,True,True,True,0.6264144215672254,small,12.0,none,capacity,0,False,COMPLETE
10,2296.568201078602,0.06920376451749194,True,True,True,False,True,False,False,False,False,False,0.292369157785507,none,,large,max,0,True,COMPLETE
11,2296.568201078602,0.03479920483389731,True,True,True,False,True,False,False,False,False,False,0.31899550714490693,none,,large,max,0,True,COMPLETE
12,2591.9536591845495,0.056056795016232154,True,True,True,False,True,False,False,False,False,False,0.281220469236237,none,,large,distance_capacity,0,True,COMPLETE
13,2993.144823306766,0.019694328574347632,True,True,True,False,True,False,False,False,False,False,0.255691399629232,none,6.0,large,max,0,True,COMPLETE
14,2296.568201078602,0.17366896472777377,True,True,True,False,True,False,False,False,False,False,0.2853600335484522,none,,large,max,0,True,COMPLETE
15,2294.9048794821974,0.17407501652480223,True,True,True,False,True,False,False,False,False,False,0.40628652034473406,none,,large,max,2,True,COMPLETE
16,3144.1621518375446,0.20659054265609106,True,True,True,False,True,False,False,False,False,False,0.410308786421994,small,6.0,small,distance_n_turbines,2,True,COMPLETE
17,2250.1304196659717,0.18059615386914013,True,True,True,False,True,False,False,False,False,False,0.13958197453205035,none,,large,mean,2,True,COMPLETE
18,2192.813392285598,0.20137843278754608,True,False,True,True,False,False,False,False,False,False,0.178984203016205,none,,large,mean,2,True,COMPLETE
19,2188.8518033967516,0.2894310310697671,True,False,True,True,False,False,False,False,False,False,0.1541145501689988,small,,small,mean,2,True,COMPLETE
20,2673.2748178214997,0.5058772086080559,True,False,True,True,False,False,False,False,False,False,0.9991279199475542,small,6.0,small,mean,2,True,COMPLETE
21,2188.8518033967516,0.2919291128164964,True,False,True,True,False,False,False,False,False,False,0.1521054177036839,small,,small,mean,2,True,COMPLETE
22,2188.8518033967516,0.31400208459519047,True,False,True,True,False,False,False,False,False,False,0.14954186363203065,small,,small,mean,2,True,COMPLETE
23,2188.8518033967516,0.3588286064592844,True,False,True,True,False,False,False,False,False,False,0.1679356520118519,small,,small,mean,2,True,COMPLETE
24,2188.8518033967516,0.40406279250623667,True,False,True,True,False,False,False,False,False,False,0.11965539038276574,small,,small,mean,2,True,COMPLETE
25,2188.8518033967516,0.27385836785507,True,False,True,True,False,False,False,False,False,False,0.19876131414505394,small,,small,mean,2,True,COMPLETE
26,1893.7185992701743,0.5874095478384274,True,False,True,True,False,True,True,False,True,False,0.09770820569883931,small,,small,None,2,True,COMPLETE
27,1893.7185992701743,0.5654183918795526,True,False,True,True,False,True,True,False,True,False,0.07866659782769797,small,,small,None,2,True,COMPLETE
28,2819.3018313464877,0.6449850674579061,True,False,True,True,False,True,True,False,True,False,0.08998413820846779,small,6.0,small,None,2,True,COMPLETE
29,4082.3873216429697,0.5636081755376683,True,False,True,True,False,True,True,True,True,False,0.06791984312703643,small,1.0,small,None,6,True,COMPLETE
