date,wind_onshore_rte_actual,wind_onshore_rte_fitted,wind_onshore_rte_lower,wind_onshore_rte_upper
2025-11-30 21:00:00+00:00,4262.8475,2319.4263,1979.1898449304986,2659.6627870545235
2025-11-30 22:00:00+00:00,4376.28,3161.321,2821.0846758605667,3501.557617984591
2025-11-30 23:00:00+00:00,4618.2675,2696.3293,2356.092943322255,3036.56588544628
2025-12-01 00:00:00+00:00,5189.6675000000005,3095.9897,2755.753392305657,3436.2263344296816
2025-12-01 01:00:00+00:00,5923.4400000000005,3248.7935,2908.556995852213,3589.0299379762373
2025-12-01 02:00:00+00:00,6786.75,4501.7124,4161.4760775522245,4841.94901967625
2025-12-01 03:00:00+00:00,7881.889999999999,4514.5093,4174.27263897901,4854.745581103034
2025-12-01 04:00:00+00:00,8538.5075,5075.4727,4735.23633053416,5415.709272658184
2025-12-01 05:00:00+00:00,9185.2475,6854.964,6514.727239770469,7195.200181894494
2025-12-01 06:00:00+00:00,9902.9475,7495.832,7155.595465192004,7836.068407316029
2025-12-01 07:00:00+00:00,10424.6425,8951.3955,8611.158729165363,9291.631671289388
2025-12-01 08:00:00+00:00,10759.939999999999,9503.551,9163.314514443724,9843.787456567748
2025-12-01 09:00:00+00:00,10556.9075,10006.905,9666.668883510327,10347.141825634351
2025-12-01 10:00:00+00:00,10043.575,9077.908,8737.671256663616,9418.14419878764
2025-12-01 11:00:00+00:00,9650.2625,8955.382,8615.145270348992,9295.618212473019
2025-12-01 12:00:00+00:00,9643.28,9762.607,9422.37138341108,10102.844325535105
2025-12-01 13:00:00+00:00,9740.9475,9326.08,8985.843801713962,9666.316743837986
2025-12-01 14:00:00+00:00,10009.285,8824.921,8484.684542268811,9165.157484392836
2025-12-01 15:00:00+00:00,10794.494999999999,8102.166,7761.92960554808,8442.402547672105
2025-12-01 16:00:00+00:00,11557.8925,9715.274,9375.038368174766,10055.51131029879
2025-12-01 17:00:00+00:00,12649.985,9905.54,9565.303824457955,10245.776766581981
2025-12-01 18:00:00+00:00,13690.665,9757.462,9417.225369548461,10097.698311672488
2025-12-01 19:00:00+00:00,14041.2325,11059.846,10719.608895451694,11400.081837575719
2025-12-01 20:00:00+00:00,13971.5275,13614.166,13273.929851442454,13954.40279356648
2025-12-01 21:00:00+00:00,13746.817500000001,13359.143,13018.906678191852,13699.379620315876
2025-12-01 22:00:00+00:00,13630.425,13135.425,12795.187945184221,13475.660887308246
2025-12-01 23:00:00+00:00,13548.36,12098.855,11758.619370168637,12439.092312292662
2025-12-02 00:00:00+00:00,13253.252499999999,11494.344,11154.107510134727,11834.580452258751
2025-12-02 01:00:00+00:00,12581.529999999999,14294.768,13954.531059380619,14635.004001504643
2025-12-02 02:00:00+00:00,11992.067500000001,13943.775,13603.539156592738,14284.012098716763
2025-12-02 03:00:00+00:00,11469.497500000001,12568.421,12228.184211026926,12908.65715315095
2025-12-02 04:00:00+00:00,10645.115,11082.313,10742.077369440878,11422.550311564903
2025-12-02 05:00:00+00:00,10370.5,13550.657,13210.421068557996,13890.894010682021
2025-12-02 06:00:00+00:00,10188.285,9837.84,9497.60357648423,10178.076518608255
2025-12-02 07:00:00+00:00,9243.8225,11301.191,10960.954609916633,11641.427552040659
2025-12-02 08:00:00+00:00,7845.9125,10183.604,9843.367495847238,10523.840437971263
2025-12-02 09:00:00+00:00,7250.7025,10494.043,10153.806059451086,10834.279001575112
2025-12-02 10:00:00+00:00,6642.8125,10436.158,10095.921886905635,10776.394829029661
2025-12-02 11:00:00+00:00,5773.8125,9298.531,8958.294536954707,9638.767479078731
2025-12-02 12:00:00+00:00,5258.84,7957.0146,7616.778257264905,8297.25119938893
2025-12-02 13:00:00+00:00,4762.7425,6340.712,6000.475546238003,6680.948488362028
2025-12-02 14:00:00+00:00,4183.09,5555.9287,5215.692016241537,5896.164958365562
2025-12-02 15:00:00+00:00,3846.285,5561.8604,5221.623681916571,5902.096624040595
2025-12-02 16:00:00+00:00,4021.7525,5773.626,5433.389567083097,6113.862509207122
2025-12-02 17:00:00+00:00,4201.8975,5889.771,5549.5347077424285,6230.007649866453
2025-12-02 18:00:00+00:00,4342.9575,5573.756,5233.519459551697,5913.992401675721
2025-12-02 19:00:00+00:00,4374.685,4920.8467,4580.6103571489475,5261.083299272972
2025-12-02 20:00:00+00:00,4403.7425,3985.1558,3644.9192104296344,4325.392152553659
2025-12-02 21:00:00+00:00,4112.9075,4379.9043,4039.6676554297583,4720.140597553783
2025-12-02 22:00:00+00:00,3773.265,4469.3,4129.063395606674,4809.5363377306985
2025-12-02 23:00:00+00:00,3345.1425,4036.6104,3696.3739505228127,4376.846892646838
2025-12-03 00:00:00+00:00,2782.48,4000.5913,3660.354938360488,4340.827880484513
2025-12-03 01:00:00+00:00,2381.0299999999997,3353.4822,3013.2457884450364,3693.7187305690613
2025-12-03 02:00:00+00:00,2177.3025,2440.9397,2100.703110524363,2781.176052648388
2025-12-03 03:00:00+00:00,2082.685,2069.2593,1729.0227071986237,2409.4956493226487
2025-12-03 04:00:00+00:00,2071.1225,1978.512,1638.2755709859352,2318.74851310996
2025-12-03 05:00:00+00:00,2054.46,1750.3801,1410.1437025136943,2090.6166446377188
2025-12-03 06:00:00+00:00,2136.3375,2140.6636,1800.427009853799,2480.899951977824
2025-12-03 07:00:00+00:00,2077.7574999999997,1959.1611,1618.924584541854,2299.3975266658786
2025-12-03 08:00:00+00:00,2049.895,2678.6877,2338.4511985298104,3018.9241406538354
2025-12-03 09:00:00+00:00,1935.3050000000003,2090.525,1750.2882998965497,2430.7612420205746
2025-12-03 10:00:00+00:00,1893.5275000000001,2365.4563,2025.2197204055938,2705.6926625296187
2025-12-03 11:00:00+00:00,1895.435,3150.4968,2810.2603968513904,3490.7333389754153
2025-12-03 12:00:00+00:00,1869.2200000000003,2737.4543,2397.2178659592123,3077.6908080832372
2025-12-03 13:00:00+00:00,1880.35,2536.4832,2196.2465678703734,2876.7195099943983
2025-12-03 14:00:00+00:00,1932.9475000000002,2800.041,2459.804491268307,3140.2774333923317
2025-12-03 15:00:00+00:00,1957.4125,2816.8599,2476.6234555622073,3157.0963976862317
2025-12-03 16:00:00+00:00,2227.8575,2916.6584,2576.4218383037446,3256.8947804277695
2025-12-03 17:00:00+00:00,2623.1125,3131.8127,2791.57629449377,3472.049236617795
2025-12-03 18:00:00+00:00,3224.2875,2629.1355,2288.89905570891,2969.3719978329345
2025-12-03 19:00:00+00:00,3710.8725,2475.0066,2134.770057224286,2815.2429993483106
2025-12-03 20:00:00+00:00,4104.9575,2669.1592,2328.9226776142855,3009.3956197383104
2025-12-03 21:00:00+00:00,4476.4400000000005,2589.302,2249.0655943740335,2929.5385364980584
