number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_shortwave_lags_option,params_spatial_agg_method,params_use_solar_geometry,params_vapor_pressure,state
0,4110.441139775324,0.5500456676083673,small,False,False,False,False,True,False,False,True,False,False,True,0.5960538082119754,1.0,small,none,n_panels,True,False,COMPLETE
1,1768.4006467073605,0.46596552607119984,large,False,True,False,True,True,True,False,False,True,False,True,0.5896695816106078,,none,none,idw,False,False,COMPLETE
2,1972.686607046224,0.35532686494382854,medium,False,False,True,True,True,True,True,False,False,False,True,0.03532008803752083,6.0,none,none,n_panels,False,True,COMPLETE
3,1239.1295123507248,0.19625450120451912,large,True,False,False,True,False,True,True,True,True,False,False,0.35869498393035754,6.0,small,large,distance_n_panels,True,False,COMPLETE
4,1921.1367733314075,0.3240768402249748,large,False,True,False,False,False,False,False,True,False,False,False,0.7972720016680586,1.0,none,small,idw,False,False,COMPLETE
5,1606.5214117832738,0.4243809935521206,large,False,False,False,True,False,True,False,False,False,True,True,0.5091127839444578,6.0,small,small,distance_capacity,False,True,COMPLETE
6,1214.0075932387201,0.38226377107973664,none,True,True,True,False,False,False,False,True,False,False,False,0.36138518392730157,12.0,small,large,n_panels,False,True,COMPLETE
7,1334.9755760901933,0.8724054786274981,medium,True,True,False,False,True,False,False,False,True,False,False,0.6924573829639492,6.0,large,none,capacity,True,True,COMPLETE
8,1912.8072729838138,0.4947117567465642,large,False,False,True,True,True,False,True,True,True,False,True,0.28158826143498417,6.0,small,medium,n_panels,False,False,COMPLETE
9,2157.854015619614,0.7620764526686179,none,False,True,False,False,True,False,True,False,False,True,True,0.4078432754958645,,large,none,n_panels,False,False,COMPLETE
10,1196.6650695276555,0.05007371049588677,none,True,True,True,False,False,False,False,True,False,True,False,0.13164527030031353,12.0,small,large,max,True,True,COMPLETE
11,1196.6650695276555,0.023861555275876186,none,True,True,True,False,False,False,False,True,False,True,False,0.13644191936479105,12.0,small,large,max,True,True,COMPLETE
12,1196.6650695276555,0.032459605709851645,none,True,True,True,False,False,False,False,True,False,True,False,0.04199977125887566,12.0,small,large,max,True,True,COMPLETE
13,1196.6650695276555,0.053918864343118,none,True,True,True,False,False,False,False,True,False,True,False,0.9956364894362306,12.0,small,large,max,True,True,COMPLETE
14,1196.6650695276555,0.17812633917962695,none,True,True,True,False,False,False,False,True,False,True,False,0.1888558676334825,12.0,small,large,max,True,True,COMPLETE
15,1236.5879606640426,0.20239440044885412,small,True,True,True,False,False,False,False,True,False,True,False,0.1875724683588054,12.0,large,medium,mean,True,True,COMPLETE
16,1205.5882027589737,0.6676412759851815,none,True,True,True,False,False,False,False,True,False,True,False,0.14328799755508279,12.0,small,large,None,True,True,COMPLETE
17,1196.6650695276555,0.1098006677828347,none,True,True,True,False,False,False,False,True,False,True,False,0.25261724676709907,12.0,small,large,max,True,True,COMPLETE
18,1300.5031359280854,0.9871443094446315,none,True,True,True,False,False,True,True,True,True,True,False,0.10818210546022435,12.0,none,large,max,True,True,COMPLETE
19,695.4598085982578,0.1362416667402182,medium,True,True,True,False,False,False,False,True,False,True,False,0.447503036423142,,large,medium,distance_n_panels,True,True,COMPLETE
