Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,True
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,small
cloud_lags_option,small
shortwave_lags_option,small
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,mean
lags_target,
l1_ratio,0.4235349679088757
alpha,0.6521128419261952
