Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,False
use_solar_geometry,False
compute_air_density,True
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,none
cloud_lags_option,small
shortwave_lags_option,small
drop_raw_solar_features,False
drop_raw_features,True
spatial_agg_method,mean
lags_target,1
n_estimators,997
learning_rate,0.2625246790516284
num_leaves,147
max_depth,10
min_child_samples,7
subsample,0.6170509966105555
colsample_bytree,0.7188946365333084
reg_alpha,1.2042148352537704e-05
reg_lambda,0.5131835661844951
min_split_gain,0.005042683308241035
