date,wind_onshore_ampr_actual,wind_onshore_ampr_fitted,wind_onshore_ampr_lower,wind_onshore_ampr_upper
2025-06-13 07:00:00+00:00,587.75,842.6375,64.47114367959375,1620.804004415235
2025-06-13 08:00:00+00:00,416.75,511.7397,-266.4267777927407,1289.9060829429006
2025-06-13 09:00:00+00:00,474.5,306.88177,-471.2846752902692,1085.0481854453722
2025-06-13 10:00:00+00:00,559.0,832.2005,54.03408589100354,1610.3669466266447
2025-06-13 11:00:00+00:00,696.75,630.04193,-148.1245336636298,1408.2083270720113
2025-06-13 12:00:00+00:00,735.25,833.69196,55.525577116312434,1611.8584378519538
2025-06-13 13:00:00+00:00,765.75,1253.2588,475.0922856811735,2031.4251464168144
2025-06-13 14:00:00+00:00,906.75,1058.7114,280.54494813314113,1836.8778088687827
2025-06-13 15:00:00+00:00,1285.0,1192.2709,414.10440935832503,1970.4372700939662
2025-06-13 16:00:00+00:00,1791.0,888.7653,110.59890469746733,1666.9317654331085
2025-06-13 17:00:00+00:00,2297.25,1587.1842,809.0177033203329,2365.350564055974
2025-06-13 18:00:00+00:00,2881.25,1691.7483,913.5818313520233,2469.914692087664
2025-06-13 19:00:00+00:00,4339.25,2639.3586,1861.192194677385,3417.525055413026
2025-06-13 20:00:00+00:00,4827.5,3926.4272,3148.260821027954,4704.593681763595
2025-06-13 21:00:00+00:00,4824.0,3408.0132,2629.8468274746906,4186.179688210332
2025-06-13 22:00:00+00:00,4391.75,3215.1985,2437.032108853604,3993.3649695892445
2025-06-13 23:00:00+00:00,4473.75,3108.426,2330.2596919861035,3886.592552721744
2025-06-14 00:00:00+00:00,4495.0,3236.649,2458.482543232782,4014.815403968423
2025-06-14 01:00:00+00:00,3961.75,2957.0947,2178.92839368946,3735.2612544251015
2025-06-14 02:00:00+00:00,3207.25,2923.1953,2145.0289977637512,3701.361858499392
2025-06-14 03:00:00+00:00,2767.5,2891.815,2113.64851823224,3669.981378967881
2025-06-14 04:00:00+00:00,2261.0,2984.0762,2205.909745348703,3762.2426060843436
2025-06-14 05:00:00+00:00,1717.25,1287.6914,509.5249129628519,2065.857773698493
2025-06-14 06:00:00+00:00,1192.75,1100.8525,322.68605509288545,1879.0189158285268
2025-06-14 07:00:00+00:00,862.0,855.9382,77.77172938923468,1634.104590124876
2025-06-14 08:00:00+00:00,539.25,926.8746,148.70813955192307,1705.0410002875642
2025-06-14 09:00:00+00:00,462.5,661.80695,-116.35948943197764,1439.9733713036635
2025-06-14 10:00:00+00:00,620.25,811.9534,33.786965727862025,1590.1198264635032
2025-06-14 11:00:00+00:00,795.25,562.55,-215.61634286934031,1340.716517866301
2025-06-14 12:00:00+00:00,1394.25,1931.2505,1153.0840780155934,2709.4169387512343
2025-06-14 13:00:00+00:00,1717.25,1037.0167,258.8502869961353,1815.183147731777
2025-06-14 14:00:00+00:00,1586.5,598.02264,-180.1437005029943,1376.1891602326468
2025-06-14 15:00:00+00:00,1608.5,1126.2626,348.09606200506414,1904.4289227407048
2025-06-14 16:00:00+00:00,1587.0,859.2265,81.06010974091714,1637.3929704765585
2025-06-14 17:00:00+00:00,1164.0,352.19135,-425.9750651069817,1130.3577956286597
2025-06-14 18:00:00+00:00,588.75,889.357,111.19054269768412,1667.5234034333255
2025-06-14 19:00:00+00:00,543.25,427.65497,-350.5113564469184,1205.8215042887227
2025-06-14 20:00:00+00:00,660.0,864.83185,86.66545719440228,1642.9983179300434
2025-06-14 21:00:00+00:00,817.2500000000002,863.5639,85.39752061346053,1641.730381349102
2025-06-14 22:00:00+00:00,878.75,1007.23956,229.0731464452124,1785.4060071808537
