Parameter,Value
compute_air_density,False
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,False
gust_factor,True
turbulence_window,2
lags_choice,small
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,distance_n_turbines
n_estimators,329
learning_rate,0.03066365675706734
num_leaves,70
max_depth,16
min_child_samples,84
subsample,0.6957354663946538
colsample_bytree,0.7494323670680317
reg_alpha,0.9622859596544102
reg_lambda,1.2722939798344067e-08
min_split_gain,0.11056128017223858
use_base_models_pred_intervals,False
cv_folds_base,40
