Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,True
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,True
gust_factor,False
turbulence_window,0
lags_choice,none
precip_lags_choice,none
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,capacity
lags_target,
n_estimators,491
learning_rate,0.07133219000226024
max_depth,5
min_child_weight,8
subsample,0.7798590474205747
colsample_bytree,0.8390633232642829
reg_alpha,1.6768844910810243e-08
reg_lambda,1.070518256748454e-07
