Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,True
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,large
cloud_lags_option,medium
shortwave_lags_option,medium
drop_raw_solar_features,False
drop_raw_features,True
spatial_agg_method,None
lags_target,
n_estimators,733
learning_rate,0.04122084625193179
num_leaves,139
max_depth,11
min_child_samples,21
subsample,0.8111950211479899
colsample_bytree,0.5705581866834094
reg_alpha,0.05815501668919785
reg_lambda,1.6160026832682677e-05
min_split_gain,0.12104899013604575
