number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,1429.5203844048528,none,0.8969268489326071,True,True,False,False,False,False,False,False,True,True,True,1.0,0.15331984518931288,4,95,0.3154254329153906,821,71,none,0.2620751895508597,2.822280107628582e-06,small,distance_n_panels,0.9801456849449969,False,False,COMPLETE
1,1186.5893946241508,none,0.9390815184587824,False,True,False,False,False,False,True,True,True,False,True,1.0,0.06065537312629663,6,29,0.4514915876028367,869,31,none,2.020812753656433e-06,3.686522325072354e-08,none,distance_capacity,0.7698238648950652,False,True,COMPLETE
2,1324.1259478890454,small,0.8635083057974813,False,True,True,True,False,False,False,False,False,False,False,6.0,0.016060361032022952,10,15,0.2945688141557881,969,15,small,0.00011354835599682907,4.4446475650727844e-05,large,n_panels,0.8496475435872597,True,True,COMPLETE
3,1295.0595299870088,small,0.9508624178769292,False,True,True,False,False,True,False,False,True,False,False,6.0,0.018270204521043835,5,69,0.4512781681729929,316,59,large,7.362453221292657e-06,0.7255124779519635,small,mean,0.501171172105981,True,True,COMPLETE
4,1126.969855726243,medium,0.5303222720172003,False,True,False,False,False,False,True,True,True,False,True,1.0,0.02617345491799084,10,21,0.48660709201244556,673,84,large,0.02015850597162992,0.00023765952307241138,none,None,0.9821595754400121,False,False,COMPLETE
5,1269.7772146700738,small,0.7179556253720872,False,True,False,False,True,False,True,False,False,True,False,1.0,0.046141486130146105,8,99,0.28574790138164696,856,22,small,1.3235854549521416e-08,0.2709229315996301,large,max,0.9630675602875565,True,True,COMPLETE
6,1146.8240273505016,large,0.8313574574842061,True,False,False,False,True,True,False,True,False,False,True,1.0,0.09009072342134593,11,27,0.022608461551344217,969,13,none,1.1450863344387601e-06,0.04897894605060525,none,None,0.695784120715254,True,True,COMPLETE
7,1373.5060793071937,none,0.5783213801390508,True,False,True,False,True,False,True,False,True,True,False,6.0,0.1420647638404031,16,72,0.002665313043102857,449,64,none,1.2194599397163856e-05,1.4507004753378316e-05,small,n_panels,0.886764745179913,True,True,COMPLETE
8,1261.084224540856,medium,0.6394278870707566,False,False,True,True,True,False,False,True,True,False,True,1.0,0.0767271165673622,3,94,0.3932875893701444,320,147,none,0.004880425089831867,0.006092607516810897,medium,idw,0.6026213063973036,False,False,COMPLETE
9,1319.6500648094664,small,0.5268365929569928,False,True,True,True,False,True,False,False,True,False,True,12.0,0.034463435058312286,5,60,0.33976300492084505,772,124,large,0.0015453011098304243,0.00033342634310583183,none,n_panels,0.5725804566629282,False,True,COMPLETE
10,1077.2817768521184,medium,0.7150299750147137,True,False,False,True,False,True,True,True,False,True,True,,0.010987661116502869,14,5,0.16818530398019324,588,97,large,0.7321677594004166,3.23162785752635e-08,medium,None,0.7539769279282926,False,False,COMPLETE
11,1072.1181002236783,medium,0.7198513290145251,True,False,False,True,False,True,True,True,False,True,True,,0.01006189902777558,14,5,0.16737939659603532,636,103,large,0.7527419049379684,1.5439979102214657e-08,medium,None,0.7501752752837206,False,False,COMPLETE
12,1082.106467766541,medium,0.7259921144484758,True,False,False,True,False,True,True,True,False,True,True,,0.010646493527610329,14,37,0.16435593513649935,527,99,large,0.8755025045305023,1.027388552753118e-08,medium,None,0.7324634060151552,False,False,COMPLETE
13,1189.9664998014948,medium,0.7802337061965289,True,False,False,True,False,True,True,True,False,True,True,,0.010210489446710052,13,5,0.170884910072931,589,107,large,0.08396937668424782,3.9038291091424776e-07,medium,capacity,0.7835199067486331,False,False,COMPLETE
14,1068.6215093699711,medium,0.65867269608077,True,False,False,True,False,True,True,True,False,True,True,,0.01761911875379753,16,6,0.18526789286707918,675,124,large,0.000383186133689118,3.0237195554543223e-07,medium,None,0.67197391532825,False,False,COMPLETE
15,1088.4743901973134,large,0.6419215466407823,True,False,False,True,False,True,True,True,False,True,True,,0.02175618599925867,16,40,0.10425396729824654,706,135,large,0.00022303276000642066,6.946458659675385e-07,medium,None,0.6564652364967414,False,False,COMPLETE
16,1129.819488229008,medium,0.6226689635935289,True,False,False,True,False,True,True,True,False,True,True,,0.29229929781512426,12,42,0.22538454039628492,485,123,large,2.3657023158198367e-08,2.3306080238397517e-07,medium,idw,0.6411931196438626,False,False,COMPLETE
17,1206.914694022922,medium,0.7964244551422395,True,False,False,True,False,True,True,True,False,True,True,12.0,0.015441303023520352,15,15,0.07495370103108681,736,121,small,0.0011325619047929728,5.016854893615927e-06,medium,distance_capacity,0.6832698466668783,False,False,COMPLETE
18,1214.4166251014356,medium,0.6820524184548675,True,False,False,True,True,True,True,True,False,True,False,,0.03471167734948307,8,50,0.22184752511001082,629,44,large,0.03204627219315142,5.419181166454631e-08,medium,capacity,0.831559359577118,False,False,COMPLETE
19,1134.6760934677757,large,0.5993484934815534,True,False,False,True,False,True,True,True,False,True,True,,0.026041421051442987,13,14,0.1160828814793179,536,148,large,2.520336664551685e-07,0.0014551708554033983,large,max,0.5930925118767768,False,False,COMPLETE
20,1168.4230756771792,medium,0.6770014694188212,True,False,False,True,False,True,True,True,False,True,True,,0.014413076878504577,16,28,0.25211249213289,389,85,small,5.0276065501318546e-05,1.1583949700285376e-06,medium,distance_n_panels,0.5244020767703901,False,False,COMPLETE
21,1077.7319991427557,medium,0.7450047480660769,True,False,False,True,False,True,True,True,False,True,True,,0.010161617358507615,14,5,0.17269329273105682,595,104,large,0.8388207665235099,1.0756448613493105e-08,medium,None,0.7350364557915541,False,False,COMPLETE
22,1053.7346060416764,medium,0.6925052049684676,True,False,False,True,False,True,True,True,False,True,True,,0.013463272623922141,14,5,0.15217464459712327,634,94,large,0.11795628610183946,1.537690448309696e-07,medium,None,0.8056146899625708,False,False,COMPLETE
23,1065.6601461459422,medium,0.6756708899929136,True,False,False,True,False,True,True,True,False,True,True,,0.013532160850436556,12,14,0.11560147544330723,653,113,large,0.011907302004548436,1.0774487067541673e-07,medium,None,0.8120659024779904,False,False,COMPLETE
24,1175.1143000118261,medium,0.6735014250848521,True,False,False,True,False,True,True,True,False,True,True,12.0,0.021920304113251438,12,19,0.059267579713930874,770,113,large,0.00583917897152795,1.4009068555285208e-07,medium,mean,0.9136184132590961,False,False,COMPLETE
25,1060.4980295384323,medium,0.5890249579384846,True,False,False,True,False,True,True,True,False,True,True,,0.03193792037403914,12,13,0.13011475917488427,709,133,large,0.0017182015697199968,6.323220804898991e-06,medium,None,0.8060299929140567,False,False,COMPLETE
26,1052.3577682973134,medium,0.5705581866834094,True,False,True,True,True,True,True,True,False,True,False,,0.04122084625193179,11,21,0.12104899013604575,733,139,large,0.05815501668919785,1.6160026832682677e-05,medium,None,0.8111950211479899,True,False,COMPLETE
27,1076.6360367763643,large,0.5680229135289142,True,False,True,True,True,True,True,True,False,True,False,,0.04376885175628475,8,33,0.05505722198593785,798,137,large,0.08963151335192479,2.1678360672049116e-05,large,None,0.8787636837639214,True,False,COMPLETE
28,1060.422941662995,none,0.5422803241879209,True,False,True,True,True,True,True,True,False,True,False,,0.03334364014193995,9,23,0.12208186362939227,902,137,small,0.0015637225731599828,5.192834826987767e-06,small,None,0.9238199805967654,True,False,COMPLETE
29,1237.0483732102512,none,0.5101054241435302,True,False,True,True,True,True,False,False,False,True,False,12.0,0.06355046711777099,9,22,0.21371638601145712,904,71,small,0.16754703285863312,1.969832515587386e-06,small,distance_n_panels,0.9169926119525799,True,False,COMPLETE
