number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,1099.250457999124,0.513502561878937,True,False,True,True,True,False,False,True,True,True,small,0.022291140981178365,6,1,507,none,0.0001136508712193137,6.189388956623084e-07,capacity,0.6548539263095898,2,True,True,COMPLETE
1,1200.9689994056291,0.958003880619891,False,False,False,False,True,True,True,False,False,False,none,0.11682335094601606,6,2,536,large,1.072573288756766e-06,0.03733549221829998,None,0.9665374351676798,6,True,True,COMPLETE
2,1293.2839365098403,0.5792206302822408,False,False,False,False,False,False,True,False,True,True,none,0.13823573211404636,3,5,443,none,5.1572914239530376e-08,0.13096879330967587,max,0.9189083852073952,6,False,False,COMPLETE
3,1112.0012404275014,0.9068478208984028,True,False,False,False,False,False,False,True,True,False,none,0.058509080436893096,7,3,478,large,0.0008705058707723101,0.0006159300184410753,max,0.9239184628152644,6,False,False,COMPLETE
4,1181.1187322606795,0.500823251162549,False,True,True,True,False,False,False,True,True,True,none,0.10610185553412789,8,4,884,none,3.7193683736015134e-05,1.391613136998263e-06,max,0.8151702194986344,2,True,True,COMPLETE
5,1055.9454651618232,0.5022725745953289,True,False,True,True,False,True,False,False,True,False,large,0.11511266107942861,8,3,718,small,2.124706972487634e-06,0.007583931596178309,idw,0.7192712579848359,2,False,True,COMPLETE
6,1105.005578341224,0.8179797492401866,True,False,False,True,True,False,True,True,True,False,none,0.15623710041586716,9,7,683,small,0.0011730801940944015,0.01901593952247122,max,0.9510705600756744,6,True,True,COMPLETE
7,1118.736009603852,0.5501696559744012,False,True,False,True,True,False,False,False,False,True,small,0.08442795144202156,6,1,566,small,9.330778992427124e-06,1.6361030204201887e-05,idw,0.7569044579955198,0,False,True,COMPLETE
8,1122.702421885834,0.6957115549040265,True,False,True,True,False,True,False,True,True,False,small,0.0785475018389591,5,9,415,small,0.3510045095764245,0.0005882536967577192,capacity,0.9558935137108462,6,True,False,COMPLETE
9,1095.3219190726466,0.8567225146593599,False,False,False,False,False,True,False,False,True,False,none,0.027890874529274294,6,1,761,none,8.713664380605564e-05,0.8561313440091572,max,0.5975284069923411,6,True,False,COMPLETE
