Parameter,Value
compute_air_density,False
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,False
gust_factor,True
turbulence_window,0
lags_choice,none
precip_lags_choice,small
drop_raw_main_features,True
drop_raw_wind_features,False
spatial_agg_method,idw
n_estimators,754
learning_rate,0.025864266351199122
max_depth,10
min_child_weight,6
subsample,0.9105294068726961
colsample_bytree,0.701594721979599
reg_alpha,1.2223382433116415e-08
reg_lambda,0.00020031076371925538
use_base_models_pred_intervals,False
cv_folds_base,35
