date,wind_onshore_tran_actual,wind_onshore_tran_fitted,wind_onshore_tran_lower,wind_onshore_tran_upper
2025-04-13 20:00:00+00:00,110.75,193.35187,125.22361249459948,261.48011529563496
2025-04-13 21:00:00+00:00,126.0,196.41841,128.29016261665913,264.5466654176946
2025-04-13 22:00:00+00:00,161.74999999999997,178.28615,110.1578931932192,246.41439599425468
2025-04-13 23:00:00+00:00,131.5,133.58026,65.45199822275617,201.70850102379168
2025-04-14 00:00:00+00:00,95.25,139.67422,71.54596337602948,207.80246617706496
2025-04-14 01:00:00+00:00,65.75,113.83118,45.702928668070626,181.95943146910614
2025-04-14 02:00:00+00:00,59.25,110.56381,42.435563442040234,178.69206624307574
2025-04-14 03:00:00+00:00,156.75,128.60303,60.4747890717548,196.7312918727903
2025-04-14 04:00:00+00:00,175.5,138.20294,70.07468678047428,206.33118958150982
2025-04-14 05:00:00+00:00,72.25,184.9613,116.8330536267436,253.08955642777912
2025-04-14 06:00:00+00:00,35.75,190.43448,122.306227453786,258.5627302548215
2025-04-14 07:00:00+00:00,18.0,172.63202,104.50377142846611,240.7602742295016
2025-04-14 08:00:00+00:00,8.0,128.00803,59.87978818525107,196.13629098628658
2025-04-14 09:00:00+00:00,9.499999999999943,118.07944,49.951183370732224,186.20768617176773
2025-04-14 10:00:00+00:00,13.0,118.177734,50.04948205298115,186.30598485401666
2025-04-14 11:00:00+00:00,29.0,121.65491,53.52665100808821,189.7831538091237
2025-04-14 12:00:00+00:00,43.75,116.659515,48.53128022482139,184.78778302585687
2025-04-14 13:00:00+00:00,67.0,169.58624,101.45798733517694,237.71449013621242
2025-04-14 14:00:00+00:00,84.5,220.56866,152.44042026347003,288.69692306450554
2025-04-14 15:00:00+00:00,114.5,283.18698,215.05873210638296,351.31523490741847
2025-04-14 16:00:00+00:00,187.25,360.91043,292.78218643848084,429.0386892395163
2025-04-14 17:00:00+00:00,222.25,384.04395,315.91569806120236,452.17220086223784
2025-04-14 18:00:00+00:00,314.0,472.5166,404.3883380128483,540.6448408138838
2025-04-14 19:00:00+00:00,601.75,618.91516,550.7869105954217,687.0434133964573
2025-04-14 20:00:00+00:00,859.75,741.42914,673.3008566888841,809.5573594899195
2025-04-14 21:00:00+00:00,935.75,782.70215,714.5738804925829,850.8303832936184
2025-04-14 22:00:00+00:00,982.5,728.24646,660.1182082516971,796.3747110527326
2025-04-14 23:00:00+00:00,882.75,659.3669,591.2386045419992,727.4951073430346
2025-04-15 00:00:00+00:00,718.75,614.48334,546.3550805107876,682.6115833118231
2025-04-15 01:00:00+00:00,689.5,571.3467,503.2184035779001,639.4749063789357
2025-04-15 02:00:00+00:00,655.75,454.59845,386.4701937728629,522.7266965738984
2025-04-15 03:00:00+00:00,502.25,410.35855,342.2303085971782,478.48681139821366
2025-04-15 04:00:00+00:00,409.25,360.40485,292.27658780014673,428.53309060118227
2025-04-15 05:00:00+00:00,354.0,296.82312,228.69485668016756,364.9513594812031
2025-04-15 06:00:00+00:00,233.5,231.3954,163.2671500603749,299.52365286141037
2025-04-15 07:00:00+00:00,102.25,166.9177,98.7894489232595,235.04595172429498
2025-04-15 08:00:00+00:00,77.25,108.37189,40.24362959055088,176.50013239158636
2025-04-15 09:00:00+00:00,91.0,140.03125,71.90299617479104,208.15949897582655
2025-04-15 10:00:00+00:00,188.99999999999997,184.50757,116.37931244094415,252.63581524197969
2025-04-15 11:00:00+00:00,425.75,211.72275,143.59449534296866,279.85099814400417
2025-04-15 12:00:00+00:00,522.0,221.93544,153.80718680635042,290.0636896073859
2025-04-15 13:00:00+00:00,548.75,190.6714,122.54315839247738,258.7996611935129
2025-04-15 14:00:00+00:00,511.5,205.03374,136.9054832076783,273.1619860087138
2025-04-15 15:00:00+00:00,340.75,198.53023,130.40198246592172,266.6584852669572
2025-04-15 16:00:00+00:00,172.5,162.1337,94.00544911652372,230.2619519175592
2025-04-15 17:00:00+00:00,110.25,142.40854,74.28028008551746,210.53678288655294
2025-04-15 18:00:00+00:00,110.25,136.31033,68.18207414501467,204.43857694605018
2025-04-15 19:00:00+00:00,117.5,155.27153,87.14327918528113,223.39978198631664
2025-04-15 20:00:00+00:00,137.0,157.03609,88.9078384846153,225.16434128565083
2025-04-15 21:00:00+00:00,170.74999999999997,145.54945,77.4212053183901,213.6777081194256
2025-04-15 22:00:00+00:00,69.0,147.53606,79.40780670559911,215.66430950663462
2025-04-15 23:00:00+00:00,53.0,152.61479,84.4865412247849,220.7430440258204
2025-04-16 00:00:00+00:00,55.5,175.77179,107.64354427350463,243.90004707454014
2025-04-16 01:00:00+00:00,99.0,142.50835,74.38009991970739,210.63660272074287
2025-04-16 02:00:00+00:00,128.0,158.3336,90.2053580425445,226.46186084358
2025-04-16 03:00:00+00:00,203.75000000000003,172.11508,103.98683329384448,240.24333609487996
2025-04-16 04:00:00+00:00,477.0,157.75146,89.62321780426936,225.87972060530487
2025-04-16 05:00:00+00:00,780.5,165.49261,97.36436003209519,233.62086283313067
2025-04-16 06:00:00+00:00,839.0,166.32349,98.19523166048293,234.45173446151847
2025-04-16 07:00:00+00:00,546.5,156.18918,88.06092561757686,224.31742841861234
2025-04-16 08:00:00+00:00,276.75,130.92014,62.791872242027694,199.0483750430632
2025-04-16 09:00:00+00:00,176.0,175.3287,107.20045115129227,243.4569539523278
2025-04-16 10:00:00+00:00,173.74999999999997,237.37709,169.24883806697156,305.50534086800707
2025-04-16 11:00:00+00:00,156.5,240.87791,172.74966554431273,309.0061683453482
2025-04-16 12:00:00+00:00,119.5,335.94513,267.8168852101835,404.07338801121904
2025-04-16 13:00:00+00:00,173.25000000000003,452.3924,384.2641374084666,520.5206402095021
2025-04-16 14:00:00+00:00,501.25,542.9941,474.865825407495,611.1223282085305
2025-04-16 15:00:00+00:00,1045.0,678.1097,609.9814090399466,746.2379118409821
2025-04-16 16:00:00+00:00,1260.5,770.993,702.8647212355925,839.1212240366281
2025-04-16 17:00:00+00:00,1060.25,763.8458,695.717588840733,831.9740916417686
2025-04-16 18:00:00+00:00,981.75,684.67566,616.5474152978248,752.8039180988603
2025-04-16 19:00:00+00:00,817.0,638.49554,570.3672936189514,706.6237964199869
2025-04-16 20:00:00+00:00,755.25,537.6866,469.55834190323986,605.8148447042754
2025-04-16 21:00:00+00:00,570.75,465.23923,397.110974268857,533.3674770698925
2025-04-16 22:00:00+00:00,467.0,384.43472,316.30646701380726,452.5629698148428
2025-04-16 23:00:00+00:00,294.75,333.97708,265.8488372671036,402.10534006813907
2025-04-17 00:00:00+00:00,222.0,316.46667,248.3384366525194,384.5949394535549
2025-04-17 01:00:00+00:00,208.5,311.2981,243.16983316809115,379.4263359691266
2025-04-17 02:00:00+00:00,157.0,287.41016,219.28191084977448,355.53841365080996
2025-04-17 03:00:00+00:00,156.5,249.67267,181.54442444497997,317.8009272460155
2025-04-17 04:00:00+00:00,109.0,233.26657,165.13832828212023,301.39483108315574
2025-04-17 05:00:00+00:00,57.0,181.36073,113.23248698236091,249.48898978339642
2025-04-17 06:00:00+00:00,44.75,139.0422,70.91397084005104,207.17047364108655
2025-04-17 07:00:00+00:00,27.25,119.8251,51.69686655734381,187.95336935837932
2025-04-17 08:00:00+00:00,17.5,101.154785,33.02654725416147,169.28305005519695
2025-04-17 09:00:00+00:00,24.0,117.1246,48.996360906908365,185.25286370794387
2025-04-17 10:00:00+00:00,20.0,112.7482,44.619937629337926,180.87644043037344
2025-04-17 11:00:00+00:00,58.5,120.39374,52.265500810203264,188.52200361123877
2025-04-17 12:00:00+00:00,101.75,123.668365,55.54010303183179,191.7966058328673
2025-04-17 13:00:00+00:00,142.50000000000003,155.36726,87.23901956653833,223.49552236757387
2025-04-17 14:00:00+00:00,276.5,174.35037,106.22211997565279,242.47862277668827
2025-04-17 15:00:00+00:00,429.0,208.07289,139.94464107092136,276.2011438719569
2025-04-17 16:00:00+00:00,445.5,253.07068,184.94242435588416,321.1989271569197
2025-04-17 17:00:00+00:00,592.5,298.98328,230.85501919907074,367.1115220001063
2025-04-17 18:00:00+00:00,697.0,356.09607,287.96781833134685,424.22432113238233
2025-04-17 19:00:00+00:00,580.0,471.27893,403.15068500290073,539.4071878039363
2025-04-17 20:00:00+00:00,625.25,539.7868,471.65853415925636,607.9150369602919
2025-04-17 21:00:00+00:00,446.75,554.1885,486.0602475906269,622.3167503916624
2025-04-17 22:00:00+00:00,325.5,580.7918,512.663547124378,648.9200499254135
2025-04-17 23:00:00+00:00,230.25,630.85077,562.7224910140566,698.978993815092
