number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.39127236794278786,0.8817840928111941,0.018708521562093502,5,10,0.1456903805319868,735,68,0.00038596707119699006,1.301292966165326e-05,0.662197371735938,COMPLETE
1,0.3954836476922856,0.8672705217891716,0.1318463521126135,3,8,0.062109011662365265,406,144,0.03763157911149324,0.00462519416248242,0.6689942245008383,COMPLETE
2,0.39233544075052706,0.8946042639107934,0.05271538923225269,14,46,0.4716465611456271,936,61,0.0022852939323330743,0.002540139853885337,0.6708954840955799,COMPLETE
3,0.396166631090589,0.9775603410573277,0.16494545548069747,12,25,0.3552711731148428,459,73,9.623742055519454e-06,0.16589154759516875,0.6863639009872918,COMPLETE
4,0.3917951227065849,0.756229679335796,0.038209423861154425,16,79,0.14451387180546804,569,123,1.502951400116068e-05,1.7808871042988222e-07,0.5113829098962497,COMPLETE
5,0.3905534400631207,0.6970887920946887,0.041543198047965565,4,71,0.47983889467345897,835,86,9.363784790024248e-08,0.00024913228085112344,0.8934267409316023,COMPLETE
6,0.3911155506400956,0.5628469468888327,0.029328354445726366,5,87,0.33784405547024665,359,142,0.012569755559782136,4.679085441945667e-07,0.9444634330333371,COMPLETE
7,0.39888194763417767,0.9346365666495272,0.14721435947183786,16,25,0.20212675733991808,344,11,0.00026680123165613595,0.0026530393416157403,0.8166988598081504,COMPLETE
8,0.39385323957979973,0.8971209324899181,0.032620231296693315,3,82,0.48800684390320065,817,85,2.4944360054876274e-06,0.2553913956764536,0.5978816485917666,COMPLETE
9,0.3999503695137143,0.7522940718306111,0.18291408254323127,16,99,0.06437059484883967,565,17,0.018380691282675544,2.7201851943123495e-07,0.8993590614425194,COMPLETE
10,0.38896287344293573,0.5652440593364643,0.011595341949707128,9,58,0.3417210042309686,976,107,3.4946690565732534e-08,2.9325826972168703e-05,0.8298428617934792,COMPLETE
11,0.3889006066189435,0.5475432757807803,0.011804096907263327,9,59,0.3716528709938847,997,104,1.056552972721849e-08,6.921190268731111e-05,0.8315397790832307,COMPLETE
12,0.38833642223146503,0.508194231668363,0.010237980450837472,8,57,0.3167696055381,977,110,1.4390384452090993e-08,1.188729994734875e-05,0.7949354154999092,COMPLETE
13,0.38818217596884497,0.5249458906661757,0.010269933888770866,8,53,0.2809301335654243,882,110,1.041850673352846e-08,4.369063448904126e-06,0.7713783427939722,COMPLETE
14,0.3889684755401838,0.6345816849355412,0.018965378779622663,7,42,0.26359130382175033,873,119,3.891322439248297e-07,1.2536223076780786e-08,0.7443494717126174,COMPLETE
15,0.3925287307314585,0.5003377509667947,0.07961467787792613,11,32,0.2666729111395772,725,45,5.449298573041303e-07,4.3404150305161316e-06,0.7779456501173285,COMPLETE
16,0.39031763632726957,0.638348400753417,0.018469164188952895,7,69,0.42081830610651244,749,104,0.9339056557174754,2.9457970898707593e-06,0.9972993946720479,COMPLETE
17,0.4040728213679099,0.5056633861967904,0.2889995941731821,7,48,0.27842985759028227,905,129,1.3652502642427717e-08,1.2524315332216109e-08,0.7451979977873693,COMPLETE
18,0.39011162399399135,0.6227764416717639,0.011626616979798943,11,60,0.19567995826406825,606,94,1.7897749981759094e-07,0.00033491234913882135,0.8968197485498872,COMPLETE
19,0.3908420171257314,0.697022606797455,0.024372399646285146,8,35,0.4012405009035858,794,50,2.1345993530006966e-06,2.3461615016919714e-06,0.5597619885969614,COMPLETE
20,0.38933824744233503,0.8054072451900827,0.010147389175900457,13,67,0.3044516757995029,656,131,2.107349230098621e-05,0.023192581219270304,0.768309971479422,COMPLETE
21,0.3894846658731473,0.5601199826226948,0.014068317807916172,9,55,0.39874175491860514,998,103,3.002362125364668e-08,9.667279139362438e-05,0.836410769432654,COMPLETE
22,0.3885234646198146,0.539275953950303,0.014984730623849467,10,63,0.2247416914458234,934,114,1.130165036726822e-08,3.924634098416871e-05,0.8043717094879514,COMPLETE
23,0.38954488545756505,0.6057567742778469,0.01631892490997128,10,65,0.20480543466220316,915,116,1.0800161345273684e-07,1.7558541578780432e-05,0.7158495294870771,COMPLETE
24,0.3902807341554935,0.5259494270727907,0.022197740431882107,6,75,0.0021781120223460237,862,150,1.062222607613247e-06,1.141778431606244e-06,0.7951960607992121,COMPLETE
25,0.3894582011330664,0.5900349609135512,0.014265426596105494,10,50,0.3053295185463966,926,92,5.731557441176859e-08,0.00036169494903757945,0.8700209922649457,COMPLETE
26,0.3932202502628711,0.6708749307207849,0.07644790586776158,8,40,0.22245168405379606,782,134,1.0478466415617024e-08,7.723709861340876e-08,0.7269951151469073,COMPLETE
27,0.3897406829523187,0.5292504836155973,0.014206184971899249,11,90,0.16182534575590962,953,113,2.4527906973141136e-07,7.267739618463306e-06,0.6151152224787623,COMPLETE
28,0.38964792724978903,0.5800348654826247,0.010002466603455655,8,53,0.2354517853683956,886,77,4.620512853169595e-06,4.348096730143962e-05,0.8657359978561529,COMPLETE
29,0.38949075118636256,0.6614667736196621,0.02398622079098597,6,63,0.15085639220956854,688,97,6.897151327715906e-05,8.6751633809385e-07,0.7105057357328404,COMPLETE
