number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_use_base_models_pred_intervals,state
0,384.5306351783259,0.7923010948059857,0.19741278430015372,8,9,789,0.088003173146058,1.1993660131293238e-05,0.662111159994507,False,COMPLETE
1,334.9973448371608,0.8757190262909906,0.1574895919306469,3,10,352,2.1495846518177956e-05,0.009319160664684942,0.782566526553826,False,COMPLETE
2,322.54169791091607,0.82464101010573,0.06459028824537123,9,9,662,0.0013432953062556792,3.433973936763892e-08,0.5756313903447554,True,COMPLETE
3,332.40943123084963,0.7343185112149337,0.08217627356267804,4,2,479,0.0004481573023039558,0.0007420032945771443,0.6949929177760474,False,COMPLETE
4,356.26501515809076,0.7438163874852126,0.08251333478614856,9,2,345,0.018988320468878692,6.683197679299488e-07,0.6063869824968204,False,COMPLETE
5,320.93103589428904,0.7687147883207137,0.035866856366123065,8,7,897,1.0452819362997916e-05,1.2005635813069854e-06,0.8985267269144821,True,COMPLETE
6,391.54293700292004,0.6010293814511027,0.058391733743863916,9,8,739,0.0006937059396366717,0.6167664890013612,0.9424375348518377,False,COMPLETE
7,358.139734099505,0.9160539027174412,0.16558202714376863,10,2,720,1.803227821571804e-08,0.00011470307089466769,0.5610086841019079,True,COMPLETE
8,332.55637366925066,0.9121800044766389,0.03756524633855359,9,1,397,0.7894274830214302,0.0013717740143168841,0.8913884778628576,False,COMPLETE
9,372.90373698220736,0.7426801246065137,0.10440000164787307,8,6,867,2.163399341370118e-06,0.00011454504205462964,0.6712712434684662,False,COMPLETE
10,312.9219987470793,0.5104424571170814,0.01087344855628288,6,5,981,1.890473097032659e-07,1.0562069741403468e-08,0.8489899360474308,True,COMPLETE
11,312.0364297692923,0.514871753587568,0.010192019891266894,6,5,994,1.2025984207660744e-07,1.119052521771935e-08,0.8298492251008679,True,COMPLETE
12,312.5392463848682,0.5070029357269984,0.010179472429345238,6,4,999,5.859506495495989e-08,1.3445960296898841e-08,0.8094736719556901,True,COMPLETE
13,312.6239271163215,0.5066961619031409,0.010739801366470104,6,4,995,1.3478607445315394e-08,2.0449465179842862e-07,0.7861084675209505,True,COMPLETE
14,312.66281106953244,0.62278025088417,0.01895798290822432,5,4,569,5.128244946723729e-07,7.235314990288028e-08,0.9992444955908908,True,COMPLETE
15,313.53716675807715,0.5962191383243678,0.019852873177127712,5,5,891,1.5269039106357812e-07,4.308657617909714e-06,0.8146560529636517,True,COMPLETE
16,312.5413945539662,0.678505647701632,0.018050319587180366,7,4,841,1.3123211233068125e-06,1.4430663821093409e-08,0.7293188901284976,True,COMPLETE
17,315.06927566374605,0.5568519515895003,0.01420141815852796,5,6,971,5.5960280216476054e-08,2.2586650768731578e-07,0.8496152957820953,True,COMPLETE
18,314.8153141828409,0.9780716663526463,0.027743513812002983,7,3,574,8.386669808656504e-06,1.0928560762977705e-05,0.5021744535945393,True,COMPLETE
19,360.97222875270563,0.6644249129461692,0.2826079673822556,4,7,930,7.205914949526161e-05,0.32318742236002357,0.7476419485248651,True,COMPLETE
20,319.1133125436707,0.5559454798775035,0.028020100392418906,6,3,812,8.530177315371957e-08,0.0391444065190128,0.9497768271650038,True,COMPLETE
21,313.1342630374134,0.6726724673916057,0.015432049819934863,7,4,841,1.2104655982857851e-06,1.610032594363856e-08,0.7207562804019856,True,COMPLETE
22,310.84309077738953,0.6725177932109284,0.010076349782423135,7,5,934,7.953453752073627e-07,1.2451085348007571e-07,0.7617194789693177,True,COMPLETE
23,313.4536015047295,0.5474257435231658,0.0100723472982084,6,5,942,1.0659208995338321e-08,1.051601398932131e-07,0.8155777304155893,True,COMPLETE
24,312.80196982251175,0.6327768705929663,0.013088804298805146,7,6,942,3.910901570834549e-07,1.1823943819779054e-06,0.7767127480549396,True,COMPLETE
