Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,False
gust_factor,False
turbulence_window,6
lags_choice,none
precip_lags_choice,large
drop_raw_main_features,True
drop_raw_wind_features,True
spatial_agg_method,None
n_estimators,435
learning_rate,0.013400828259563981
max_depth,6
min_child_weight,6
subsample,0.7686537683395234
colsample_bytree,0.8829966387615188
reg_alpha,1.1606948964113105e-07
reg_lambda,0.053841462295024664
use_base_models_pred_intervals,False
cv_folds_base,40
