number,value,params_alpha,params_l1_ratio,state
0,0.5948554949796006,0.956110022982223,0.6041927673227195,COMPLETE
1,0.40610575164777774,0.4940462589572741,0.02356827045855757,COMPLETE
2,0.43485465565961534,0.1178934516362728,0.8544966024370658,COMPLETE
3,0.5940265762774098,0.9379922098827146,0.6126837803751625,COMPLETE
4,0.5589250894420874,0.7300878230392657,0.6240039276353445,COMPLETE
5,0.5887570951079238,0.7291614954334235,0.7677866298098437,COMPLETE
6,0.46372043468250823,0.26610977040645045,0.8425413358308854,COMPLETE
7,0.5317014523823256,0.9689209788211535,0.38696938740477554,COMPLETE
8,0.6006911622202605,0.7393026136383939,0.8216956337181962,COMPLETE
9,0.5813008904579717,0.7776051668309616,0.6810245881079378,COMPLETE
10,0.4060509749617285,0.4044526573670211,0.04205953536811567,COMPLETE
11,0.40660930474258083,0.43066353354976905,0.04017168081362976,COMPLETE
12,0.42504810797525705,0.48482332281861706,0.13409455100949624,COMPLETE
13,0.4342330968588192,0.33910784159567303,0.2817595417787307,COMPLETE
14,0.44386510875055685,0.5766998500637468,0.22005350747753344,COMPLETE
15,0.40632251722011603,0.039844719925142436,0.011597924011196815,COMPLETE
16,0.48601238576330774,0.5844657421372332,0.4649320806951451,COMPLETE
17,0.4656499606414203,0.23868929497244268,0.970023282078991,COMPLETE
18,0.417374016685227,0.3600658248794947,0.1351461566254829,COMPLETE
19,0.4582738482089076,0.5899228631993454,0.3116258039878987,COMPLETE
