Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,False
compute_dew_point_spread,False
compute_temp_gradient,False
compute_wind_chill,True
compute_humidex,False
compute_wind_components,True
compute_wind_power_density,True
compute_pressure_trend,True
compute_wind_speed_gradient,False
compute_air_density,False
compute_rain_indicator,True
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,none
precip_lags_option,medium
cloud_lags_option,none
rolling_temp_option,none
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,False
spatial_agg_method,energy
n_estimators,751
learning_rate,0.09928428268056522
max_depth,5
min_child_weight,8
subsample,0.5168714475976266
colsample_bytree,0.82509770742206
reg_alpha,0.017260524000993746
reg_lambda,0.0003192999925162349
use_base_models_pred_intervals,False
cv_folds_base,40
