number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,809.8868053459706,none,0.6208150171511426,False,False,True,False,False,True,False,True,True,True,False,1.0,0.03359599563649494,8,25,0.30360292609537515,746,35,none,0.00010008039951738256,0.0092503134687456,none,mean,0.5373354406613,True,False,COMPLETE
1,794.8390700406336,none,0.7775173381228007,False,True,True,True,False,False,True,False,False,True,False,1.0,0.13871619242192917,6,17,0.1340333866016069,447,95,small,8.585628325611519e-05,8.764213210751012e-06,small,capacity,0.8126972587610563,True,False,COMPLETE
2,725.1947225359148,small,0.7134714380521108,False,False,True,False,True,False,False,True,False,True,False,,0.27637681642052914,12,37,0.026469068403537577,868,21,large,3.734109062457389e-06,0.48161047056505357,none,n_panels,0.9080668869982567,False,True,COMPLETE
3,842.736777590307,none,0.7992299437665428,True,False,False,False,False,True,True,False,False,False,False,1.0,0.028572650690082274,6,82,0.3767146673990577,362,71,none,4.5115945425314633e-07,0.0004416717586824844,medium,max,0.9980005359236452,True,True,COMPLETE
4,692.5522741740741,large,0.5909573682524143,True,False,True,False,False,True,False,True,True,True,False,,0.023694022258823402,11,12,0.3057313827637878,974,142,none,1.8643898523087873e-07,1.4112417198292004e-05,medium,capacity,0.8491504000868777,False,True,COMPLETE
5,712.5239086907959,large,0.7521885144868423,True,False,False,True,False,True,True,True,False,False,True,,0.1457803797120226,6,26,0.1340333198377105,543,11,small,0.00012884182128963142,1.661965157298706e-05,medium,distance_n_panels,0.7748390676819898,False,True,COMPLETE
6,1094.8112861748127,large,0.9875763085137559,False,False,True,True,True,False,True,False,False,False,False,6.0,0.01679791780915278,11,61,0.18666687076585614,371,83,none,0.01585980407679828,8.277206301897381e-07,medium,n_panels,0.956889491962597,False,False,COMPLETE
7,711.0327474500806,large,0.5003536111484572,False,True,False,False,False,False,True,False,True,False,True,,0.019642875706613425,12,70,0.2211584185239115,779,114,none,8.357498080889127e-05,4.1419619763496905e-07,medium,distance_n_panels,0.6786997720603247,False,False,COMPLETE
8,895.301951352864,large,0.9509342241320953,True,True,False,False,False,False,True,False,True,False,True,12.0,0.1902198070020785,3,94,0.05337395433787595,444,33,none,0.01647192827042417,0.0024079292032222737,none,mean,0.5490761671476553,False,True,COMPLETE
9,724.1603966385361,none,0.5914978746183921,True,True,False,True,True,True,False,True,True,True,False,12.0,0.15538448534485888,14,11,0.14342691825761233,957,116,none,0.26991552941171204,4.308517281983215e-08,small,distance_capacity,0.6709812740730985,True,False,COMPLETE
10,774.2404376620117,medium,0.5010500408106946,True,False,True,False,True,True,False,True,True,True,True,6.0,0.010262705395210615,16,45,0.38599933386934565,639,148,large,1.2365464489532125e-08,0.08125168365672054,large,None,0.8596168675935307,False,True,COMPLETE
11,709.1002573633644,large,0.5129731644390767,False,True,False,False,False,False,False,False,True,False,True,,0.061378874350786386,10,65,0.4986044096920241,997,143,none,1.1042590491735344e-08,2.5002793119743723e-08,medium,distance_n_panels,0.6793877659990655,False,False,COMPLETE
12,708.8989634381554,large,0.6053608786267305,True,True,True,False,False,False,False,False,True,True,True,,0.0672700336435957,9,57,0.46965766619451116,992,150,none,1.0652445332984482e-08,1.253648385923057e-08,medium,idw,0.6871998384409964,False,False,COMPLETE
13,674.5723808546841,small,0.6462742356466349,True,True,True,False,False,True,False,True,True,True,True,,0.058876920940819165,8,55,0.49701385180544166,882,129,large,2.6934951427656954e-07,4.135063893948557e-05,medium,idw,0.7328423767522704,False,True,COMPLETE
14,670.5197515106926,small,0.6670215281224764,True,False,True,False,False,True,False,True,True,True,False,,0.04075700621709709,8,41,0.30747205214810647,864,123,large,8.017553416270791e-07,0.00015639412207755747,large,capacity,0.8272528820219488,False,True,COMPLETE
15,668.4482161373554,small,0.6939437477569417,True,True,True,False,False,True,False,True,True,True,True,,0.044881875175954815,3,45,0.41571813118280354,841,119,large,2.9614170119875215e-06,0.00017853031458591297,large,idw,0.7622370876360207,False,True,COMPLETE
16,666.3417002037672,small,0.6849690197316798,True,True,True,False,False,True,False,True,True,True,False,,0.04080508857964763,4,42,0.3987654126839637,734,103,large,3.923894393858141e-06,0.00046597856185374395,large,idw,0.760117011993049,False,True,COMPLETE
17,1086.6449311798929,small,0.8748539984893386,True,True,True,False,False,True,False,True,True,True,True,6.0,0.08072147590206102,3,34,0.41514001447140625,664,102,large,9.74209910614197e-06,0.001749193636596046,large,idw,0.5998128462713406,False,True,COMPLETE
18,902.8571654186072,small,0.8316475735253837,True,True,True,True,True,True,False,True,True,True,True,12.0,0.08996343827002752,4,48,0.4137539541925545,732,60,large,0.00125230134110573,0.013664432792507864,large,idw,0.7542276369158967,True,True,COMPLETE
19,665.2090806460257,medium,0.704342961732397,True,True,True,False,False,True,False,True,True,True,False,,0.046045220354959025,4,27,0.34332542430100355,619,93,large,6.409284229328975e-06,2.038907124604865e-06,large,idw,0.6092162398299186,False,True,COMPLETE
20,707.4951221037513,medium,0.7251754563697113,True,True,True,False,False,True,False,True,True,True,False,,0.013450495481821995,5,27,0.33921116293598663,590,57,large,0.0021505013366056496,1.540796654481757e-06,large,distance_capacity,0.6185914532387399,False,True,COMPLETE
21,671.2973661743636,medium,0.6895692244515492,True,True,True,False,False,True,False,True,True,True,False,,0.0433277633444277,4,32,0.4359081676818471,800,99,large,6.134391918317724e-06,0.00015850717812615535,large,idw,0.5023554880977771,False,True,COMPLETE
22,702.5056219647835,medium,0.6871195572809291,True,True,True,False,False,True,False,True,True,True,False,,0.04225055990566932,5,49,0.34987098860843985,665,89,large,1.5413555013319462e-05,4.48125385023334e-06,large,idw,0.7240283546329808,False,True,COMPLETE
23,685.8892444425119,small,0.5588238124010529,True,True,True,False,False,True,False,True,True,True,False,,0.10101206989012144,3,22,0.2514732612458802,571,108,large,1.8370636536050559e-06,1.8238503690546438e-07,large,idw,0.6237655395104438,False,True,COMPLETE
24,738.4915711353643,small,0.7490064917172525,True,True,True,False,False,True,False,True,True,True,False,,0.030190129125567414,5,75,0.2690311942255925,730,76,small,2.3308221609886188e-05,6.473352171053756e-05,large,max,0.7833692221647549,False,True,COMPLETE
25,690.4829858791649,medium,0.8421078363925373,True,True,True,False,False,True,False,True,True,True,False,,0.045113327942762564,7,40,0.44554045105803564,519,132,large,0.000708621509637354,0.0006539820384987551,large,idw,0.7290811722122615,False,True,COMPLETE
26,945.2026546511679,small,0.6428071594541936,True,True,True,True,True,True,False,True,False,True,True,12.0,0.02324180913198969,3,32,0.37130100436002617,833,65,large,9.19261022454023e-08,1.7064701530205805e-06,small,None,0.9011712599136965,True,True,COMPLETE
27,909.7996219066212,medium,0.7208125996849893,True,True,True,False,False,True,False,True,True,True,False,6.0,0.05147046191942993,4,52,0.3388493402995233,637,86,large,6.266277505159504e-08,0.007367875418076028,large,idw,0.7961228371107545,False,True,COMPLETE
28,880.2491532153122,small,0.7981573913080978,True,True,True,False,False,True,False,True,True,True,True,1.0,0.03479887964639066,7,45,0.4044540663519789,913,109,small,1.5133760310031795e-06,1.2359097541904533e-07,large,idw,0.6426960316917474,False,True,COMPLETE
29,807.6291847853614,small,0.5616962822463579,False,True,True,False,False,True,False,True,True,True,False,1.0,0.0745645701778398,4,17,0.2909410653386676,706,49,large,3.846582144015953e-05,0.03213560970329682,none,mean,0.5762819622308171,True,True,COMPLETE
