number,value,params_bagging_temperature,params_border_count,params_colsample_bylevel,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_random_strength,state
0,0.3938412478356846,0.3957171793658575,151,0.7186788667371327,11,Depthwise,639,2.748465088029095e-07,4,0.03005945066531098,0.003250959353952793,COMPLETE
1,0.40005012687656116,0.6025878916435145,158,0.5922792843533268,8,Depthwise,516,0.3671490362455442,1,0.09465044556975898,0.7258908219123085,COMPLETE
2,0.3981459740569065,0.1413972103250356,93,0.581902148471541,10,SymmetricTree,617,8.764422005869727e-07,6,0.07097971654607735,0.008872997961688268,COMPLETE
3,0.4048622001118002,0.45835409463818577,217,0.9910389439809987,9,Lossguide,831,2.001050686467465e-08,4,0.13063549896206453,8.724563176864383e-07,COMPLETE
4,0.40144655910955174,0.9602774191933713,48,0.8209143458635411,8,SymmetricTree,945,0.002340522018233902,5,0.0983336992889303,1.3378594525638994e-08,COMPLETE
5,0.4023853126702528,0.8321418759088274,122,0.9767415708372444,9,Lossguide,885,3.9666005391850743e-07,6,0.12237514727599992,0.00986016619325347,COMPLETE
6,0.39874597869378847,0.2737573656312867,71,0.5726684523373904,5,Depthwise,379,1.7104064954381732,3,0.023180676155488654,4.39721211993364e-05,COMPLETE
7,0.3998874095933322,0.8826287636846999,77,0.5107491292535207,10,Lossguide,697,0.12978768837861474,3,0.10465051902818487,1.0054153512850036e-07,COMPLETE
8,0.3941638093496949,0.39164291400659135,145,0.9520213296274498,11,SymmetricTree,396,5.173067649415839,9,0.026576760687966293,0.0037992462232344705,COMPLETE
9,0.40293119082898643,0.6304985962248636,35,0.5733343542921536,7,SymmetricTree,631,3.109865357374943e-08,10,0.1653359620970862,0.0006434552725806092,COMPLETE
10,0.3941506846267843,0.005431883965883344,203,0.759954943731236,12,Depthwise,765,4.5610269312807276e-05,1,0.011625003743690588,1.8500229194326816e-05,COMPLETE
11,0.3951001953400659,0.07908058520775886,210,0.7394197128597464,12,Depthwise,769,4.279079370558269e-05,1,0.011270591930099844,7.759343118468055e-06,COMPLETE
12,0.39985899207789294,0.2773871694330131,183,0.7357195107518756,12,Depthwise,520,3.73143495682053e-05,2,0.011512657727776827,0.15746250449774626,COMPLETE
13,0.39382975417318916,0.02188118264332237,254,0.8144591879540011,12,Depthwise,745,0.0007804451569198843,8,0.035132035650575905,0.00010883895349721443,COMPLETE
14,0.3937442155855541,0.2538289986392461,247,0.8658882337871543,11,Depthwise,549,0.004145586279554485,8,0.03934599737298226,0.0007218015650456611,COMPLETE
15,0.3939999974807721,0.21673878162087404,247,0.8770877163141033,4,Depthwise,511,0.005791905890084508,8,0.04347734787818848,0.0002059261013375915,COMPLETE
16,0.3940627781391066,0.004138408270158277,254,0.8693597619388148,11,Depthwise,314,0.015885695373290213,8,0.05852078447414584,2.036040068174041e-06,COMPLETE
17,0.39378428700072354,0.15780295882210327,233,0.8156918207084013,6,Depthwise,986,0.0011380339979325386,7,0.038947579444020955,0.00045260227298426044,COMPLETE
18,0.41101562331804503,0.20256779504258865,227,0.9170237211575976,6,Depthwise,963,0.039230223193659625,7,0.23153897624344408,0.07282804315787854,COMPLETE
19,0.3967686405898998,0.3105274742347212,180,0.6818177820647142,6,Lossguide,554,0.00042356399904383806,10,0.017398754553319365,0.00048106543198824815,COMPLETE
