date,load_rte_actual,load_rte_fitted,load_rte_lower,load_rte_upper
2025-06-09 00:00:00+00:00,33855.75,33496.438,32737.298700576197,34255.576059132916
2025-06-09 01:00:00+00:00,32156.25,31553.428,30794.28950829805,32312.56686685477
2025-06-09 02:00:00+00:00,31179.25,30887.215,30128.075357087513,31646.352715644236
2025-06-09 03:00:00+00:00,31314.0,31654.188,30895.04807808407,32413.325436640793
2025-06-09 04:00:00+00:00,31884.5,32512.393,31753.254113111205,33271.53147166793
2025-06-09 05:00:00+00:00,33375.5,34327.26,33568.12129140829,35086.39864996501
2025-06-09 06:00:00+00:00,36043.5,36807.113,36047.973946531485,37566.251305088204
2025-06-09 07:00:00+00:00,38882.0,38954.688,38195.54894184442,39713.826300401146
2025-06-09 08:00:00+00:00,40487.5,40706.07,39946.93158100311,41465.20893955984
2025-06-09 09:00:00+00:00,42209.75,42185.867,41426.729318640115,42945.00667719684
2025-06-09 10:00:00+00:00,44347.0,43366.266,42607.12552407869,44125.40288263542
2025-06-09 11:00:00+00:00,42426.0,42609.754,41850.61713442726,43368.894492983985
2025-06-09 12:00:00+00:00,40941.0,41220.812,40461.675868874525,41979.95322743125
2025-06-09 13:00:00+00:00,39848.5,39865.535,39106.3977368633,40624.675095420025
2025-06-09 14:00:00+00:00,38292.5,38473.72,37714.57987073006,39232.857229286776
2025-06-09 15:00:00+00:00,39405.0,38402.227,37643.087743160184,39161.36510171691
2025-06-09 16:00:00+00:00,41342.5,40151.883,39392.74308908909,40911.02044764582
2025-06-09 17:00:00+00:00,42623.25,40535.39,39776.25307794091,41294.53043649764
2025-06-09 18:00:00+00:00,41445.25,40171.07,39411.9305238795,40930.207882436225
2025-06-09 19:00:00+00:00,40914.0,40031.78,39272.643197287,40790.920555843724
2025-06-09 20:00:00+00:00,42587.25,42010.86,41251.72016247145,42769.99752102817
2025-06-09 21:00:00+00:00,42188.75,42059.81,41300.67144661293,42818.94880516965
2025-06-09 22:00:00+00:00,39254.25,39593.49,38834.34875024374,40352.62610880047
2025-06-09 23:00:00+00:00,36771.75,37358.867,36599.72992974063,38118.007288297355
2025-06-10 00:00:00+00:00,35290.5,35711.15,34952.00972443333,36470.28708299005
2025-06-10 01:00:00+00:00,33632.25,34340.043,33580.90483653231,35099.18219508903
2025-06-10 02:00:00+00:00,32856.0,33166.793,32407.654087548355,33925.93144610508
2025-06-10 03:00:00+00:00,34385.5,34283.605,33524.46821115826,35042.745569714985
2025-06-10 04:00:00+00:00,37728.0,36976.05,36216.91182754908,37735.189186105796
2025-06-10 05:00:00+00:00,42048.25,40554.453,39795.313888990524,41313.59124754724
2025-06-10 06:00:00+00:00,45131.0,43360.34,42601.203289311525,44119.48064786825
2025-06-10 07:00:00+00:00,46855.0,45468.223,44709.08265066591,46227.360009222626
2025-06-10 08:00:00+00:00,47777.75,46368.14,45609.00015142951,47127.277509986234
2025-06-10 09:00:00+00:00,48931.25,47536.434,46777.29447459751,48295.57183315424
2025-06-10 10:00:00+00:00,50100.25,48416.06,47656.92150541235,49175.19886396907
2025-06-10 11:00:00+00:00,48660.25,47959.25,47200.11265299525,48718.39001155197
2025-06-10 12:00:00+00:00,47999.5,46902.742,46143.602252891316,47661.879611448036
2025-06-10 13:00:00+00:00,46794.5,46029.49,45270.35025788806,46788.627616444785
2025-06-10 14:00:00+00:00,45678.25,45274.35,44515.214130308,46033.49148886472
2025-06-10 15:00:00+00:00,45796.25,44849.188,44090.04977757411,45608.32713613083
2025-06-10 16:00:00+00:00,46910.25,45473.066,44713.929795346696,46232.20715390342
2025-06-10 17:00:00+00:00,47525.75,46267.125,45507.986062204815,47026.263420761534
2025-06-10 18:00:00+00:00,45263.75,44637.668,43878.52966540633,45396.807023963054
2025-06-10 19:00:00+00:00,43918.0,43389.49,42630.35158975994,44148.62894831666
2025-06-10 20:00:00+00:00,45128.5,44705.82,43946.68231900826,45464.959677564984
2025-06-10 21:00:00+00:00,44395.75,44609.44,43850.30135610819,45368.578714664916
2025-06-10 22:00:00+00:00,41263.0,41680.363,40921.224322860704,42439.50168141743
2025-06-10 23:00:00+00:00,38686.5,38681.72,37922.578449436536,39440.85580799326
2025-06-11 00:00:00+00:00,37256.25,37302.1,36542.963719127365,38061.241077684084
2025-06-11 01:00:00+00:00,35412.5,35553.555,34794.414664828626,36312.692023385345
2025-06-11 02:00:00+00:00,34703.5,34492.594,33733.45554558239,35251.73290413911
2025-06-11 03:00:00+00:00,35908.75,34461.703,33702.56298795805,35220.84034651477
2025-06-11 04:00:00+00:00,38639.25,35997.688,35238.55016203968,36756.82752059641
2025-06-11 05:00:00+00:00,42412.25,39515.89,38756.7508137753,40275.02817233202
2025-06-11 06:00:00+00:00,45530.75,42819.586,42060.44721346122,43578.72457201795
2025-06-11 07:00:00+00:00,47067.5,45570.656,44811.5173189157,46329.79467747242
2025-06-11 08:00:00+00:00,48386.75,46909.176,46150.03810142052,47668.31545997724
2025-06-11 09:00:00+00:00,49799.25,48055.688,47296.54897591597,48814.826334472695
2025-06-11 10:00:00+00:00,51219.0,49173.68,48414.54201805043,49932.819376607156
2025-06-11 11:00:00+00:00,50658.75,49688.324,48929.18444651312,50447.46180506985
2025-06-11 12:00:00+00:00,50118.75,49062.812,48303.67236837801,49821.94972693473
2025-06-11 13:00:00+00:00,49160.25,48127.973,47368.83492528673,48887.11228384345
2025-06-11 14:00:00+00:00,47970.75,47498.465,46739.326209600644,48257.60356815737
2025-06-11 15:00:00+00:00,47716.25,46722.168,45963.02755921575,47481.304917772475
2025-06-11 16:00:00+00:00,48841.0,47079.32,46320.18072554138,47838.45808409811
2025-06-11 17:00:00+00:00,48743.25,47611.23,46852.09343568539,48370.37079424212
2025-06-11 18:00:00+00:00,46134.0,45173.188,44414.05084923559,45932.32820779231
2025-06-11 19:00:00+00:00,44360.25,43052.04,42292.90234979904,43811.17970835577
2025-06-11 20:00:00+00:00,45548.5,43745.188,42986.047977211136,44504.325335767855
2025-06-11 21:00:00+00:00,44966.5,44326.215,43567.07494655057,45085.3523051073
2025-06-11 22:00:00+00:00,41638.75,42098.11,41338.970584291346,42857.24794284807
2025-06-11 23:00:00+00:00,38980.0,39218.703,38459.56428825809,39977.841646814806
2025-06-12 00:00:00+00:00,37287.0,37655.703,36896.56263580987,38414.839994366586
2025-06-12 01:00:00+00:00,35689.5,35556.13,34796.988337799565,36315.265696356284
2025-06-12 02:00:00+00:00,35023.5,34700.758,33941.61891690848,35459.8962754652
2025-06-12 03:00:00+00:00,36030.5,35637.504,34878.36681083549,36396.64416939221
2025-06-12 04:00:00+00:00,38923.75,38144.02,37384.879519022055,38903.156877578775
2025-06-12 05:00:00+00:00,42843.25,41594.31,40835.17107095384,42353.448429510565
2025-06-12 06:00:00+00:00,45707.25,44011.707,43252.569746666406,44770.84710522313
2025-06-12 07:00:00+00:00,47505.25,46410.664,45651.52588658051,47169.803245137235
2025-06-12 08:00:00+00:00,48477.25,48174.305,47415.1660370692,48933.443395625916
2025-06-12 09:00:00+00:00,49001.5,49338.13,48578.99096628555,50097.26832484227
2025-06-12 10:00:00+00:00,50382.25,50719.11,49959.97061267156,51478.24797122828
2025-06-12 11:00:00+00:00,49972.5,50989.71,50230.573725810624,51748.85108436734
2025-06-12 12:00:00+00:00,49444.5,50790.414,50031.27583390632,51549.55319246305
2025-06-12 13:00:00+00:00,49078.0,50059.62,49300.48069707454,50818.75805563126
2025-06-12 14:00:00+00:00,48693.5,48996.777,48237.63982938358,49755.91718794031
2025-06-12 15:00:00+00:00,47859.75,48104.445,47345.30752236585,48863.58488092258
2025-06-12 16:00:00+00:00,48980.75,48323.18,47564.039621464515,49082.31698002124
2025-06-12 17:00:00+00:00,49215.5,48151.305,47392.16512233376,48910.44248089049
2025-06-12 18:00:00+00:00,47093.5,46177.203,45418.06291008564,46936.340268642365
2025-06-12 19:00:00+00:00,45560.0,44767.67,44008.534078331046,45526.81143688777
2025-06-12 20:00:00+00:00,46963.0,46124.332,45365.19416609715,46883.471524653876
2025-06-12 21:00:00+00:00,45990.5,46535.113,45775.97278957999,47294.25014813671
2025-06-12 22:00:00+00:00,42372.25,43185.27,42426.13051834485,43944.40787690157
2025-06-12 23:00:00+00:00,39735.25,40273.527,39514.389123410445,41032.66648196717
2025-06-13 00:00:00+00:00,38438.5,38817.453,38058.31364687918,39576.5910054359
2025-06-13 01:00:00+00:00,36755.75,37030.625,36271.4872656899,37789.76462424662
2025-06-13 02:00:00+00:00,35917.5,35826.863,35067.72564786967,36586.00300642639
2025-06-13 03:00:00+00:00,36916.5,36086.527,35327.39034795463,36845.667706511354
2025-06-13 04:00:00+00:00,39528.0,38628.875,37869.73575722247,39388.0131157792
2025-06-13 05:00:00+00:00,43355.0,42028.49,41269.348731782986,42787.62609033971
2025-06-13 06:00:00+00:00,46710.25,45295.555,44536.41451906403,46054.691877620746
2025-06-13 07:00:00+00:00,48560.0,47527.66,46768.52214541567,48286.79950397239
2025-06-13 08:00:00+00:00,49836.0,48665.625,47906.48721431582,49424.76457287255
2025-06-13 09:00:00+00:00,51082.5,50086.613,49327.476393929326,50845.753752486045
2025-06-13 10:00:00+00:00,51923.25,51341.47,50582.32917652506,52100.60653508179
2025-06-13 11:00:00+00:00,51331.0,51567.5,50808.36073290186,52326.63809145859
2025-06-13 12:00:00+00:00,50608.75,51199.418,50440.279604524665,51958.556963081384
2025-06-13 13:00:00+00:00,49519.0,50550.61,49791.469401803166,51309.74676035989
2025-06-13 14:00:00+00:00,49080.25,49714.89,48955.75157653226,50474.02893508899
2025-06-13 15:00:00+00:00,48833.25,49104.09,48344.95238946654,49863.22974802326
