number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,254.96164878064909,0.8569127678813558,True,False,True,False,False,True,False,False,False,False,large,6.0,0.011025561680400706,16,55,0.03792804028384844,975,32,small,1.1280322117318401e-07,2.5279257746834836e-08,distance_n_turbines,0.5696850992524229,6,True,COMPLETE
1,282.1433792744728,0.8171324852593246,False,True,False,False,False,False,False,False,False,True,large,6.0,0.012603162032900656,6,10,0.401823704742115,958,46,none,1.2773320368948009e-05,1.6449416782592337e-06,mean,0.5739100731989191,6,True,COMPLETE
2,252.75300569838723,0.5735139663548017,False,True,True,True,False,True,False,False,False,False,none,12.0,0.026811848422654456,16,7,0.20225256396178348,658,137,small,0.005531228765332449,7.770554627922947e-08,idw,0.6745655242489341,6,True,COMPLETE
3,209.97143627443157,0.883540840800211,True,True,False,False,True,True,True,True,True,True,small,,0.040073750038201135,16,21,0.09918623915641095,962,150,small,0.0005342256500399528,1.1742684224905406e-06,None,0.8159781889607622,2,False,COMPLETE
4,241.0002353916302,0.6269291640763894,False,False,True,True,True,False,True,True,False,True,small,6.0,0.053112547887394224,9,40,0.11161990333302702,536,105,none,1.1008815366221304e-07,0.0001732379272758636,capacity,0.6614262142548317,6,True,COMPLETE
5,260.7148270291804,0.788833148017158,False,False,True,True,True,True,True,False,True,True,small,6.0,0.013236300478968246,10,24,0.07607862763956291,492,54,large,0.01028265036675168,2.356341373633691e-05,idw,0.9248640998792996,2,False,COMPLETE
6,270.26450408435613,0.7667962097779166,False,True,False,True,True,True,True,True,False,False,none,1.0,0.01314563062797082,15,57,0.05643205539462909,499,62,none,0.00013651078674387584,0.4394244384432059,mean,0.6693824650598156,0,False,COMPLETE
7,263.0250396347221,0.7379564741562911,False,False,False,True,False,True,True,True,True,False,large,6.0,0.1485110052276672,12,64,0.282371022423337,916,16,small,5.490513725029669e-07,0.05945650162413835,capacity,0.5544571424590536,0,False,COMPLETE
8,206.9061342915746,0.582480856486066,False,True,True,False,False,True,False,False,False,True,none,,0.1574605847490576,13,43,0.2862039314637769,352,138,small,1.1910220531703385e-06,0.0015448559280356081,None,0.8258958506367866,0,False,COMPLETE
9,245.9066528004771,0.5996035894965004,True,True,True,True,False,True,False,True,False,False,large,6.0,0.013057572079269131,10,71,0.26315625846601187,809,67,none,1.973851117684901e-08,1.6294374383867958e-06,distance_capacity,0.8244967857504374,0,True,COMPLETE
