Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,False
gust_factor,True
turbulence_window,0
lags_choice,none
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,None
lags_target,
n_estimators,583
learning_rate,0.0648737162671975
num_leaves,110
max_depth,5
min_child_samples,71
subsample,0.8635956912537404
colsample_bytree,0.7320603642212125
reg_alpha,0.8557164207121165
reg_lambda,2.793905409549792e-07
min_split_gain,0.3341598240691985
