date,wind_offshore_actual,wind_offshore_fitted,wind_offshore_lower,wind_offshore_upper
2024-12-20 00:00:00+00:00,,3445.6357,1950.983297595615,6085.34255923977
2024-12-20 01:00:00+00:00,,3532.5925,2000.2203857734582,6238.918732111102
2024-12-20 02:00:00+00:00,,3693.3745,2091.2580212995535,6522.875646883414
2024-12-20 03:00:00+00:00,,3859.7808,2185.4808174430445,6816.767446022446
2024-12-20 04:00:00+00:00,,3938.3843,2229.9866151780934,6955.586176773666
2024-12-20 05:00:00+00:00,,4160.542,2355.7771934016546,7347.941539403339
2024-12-20 06:00:00+00:00,,4168.384,2360.217047483855,7361.789957806732
2024-12-20 07:00:00+00:00,,4008.541,2269.7114176947534,7079.4924304607775
2024-12-20 08:00:00+00:00,,3766.2935,2132.5458291649034,6651.657095032922
2024-12-20 09:00:00+00:00,,3864.0337,2187.888754542527,6824.27808034179
2024-12-20 10:00:00+00:00,,4507.388,2552.167565786089,7960.505825712005
2024-12-20 11:00:00+00:00,,3116.6711,1764.7174440936,5504.357818344296
2024-12-20 12:00:00+00:00,,5054.366,2861.8770179541716,8926.5254285417
2024-12-20 13:00:00+00:00,,4499.042,2547.4421885919473,7945.766827698383
2024-12-20 14:00:00+00:00,,3991.6387,2260.1404630199104,7049.639515837179
2024-12-20 15:00:00+00:00,,3572.9458,2023.0691633441763,6310.186712082306
2024-12-20 16:00:00+00:00,,4847.3213,2744.644692876048,8560.86424733464
2024-12-20 17:00:00+00:00,,5456.737,3089.7075402979776,9637.1551789944
2024-12-20 18:00:00+00:00,,4916.358,2783.7345077402,8682.78990108983
2024-12-20 19:00:00+00:00,,4569.2495,2587.194394872965,8069.758556896076
2024-12-20 20:00:00+00:00,,3784.3308,2142.7596481247947,6683.515177716347
2024-12-20 21:00:00+00:00,,4129.001,2337.917875086104,7292.236259938267
2024-12-20 22:00:00+00:00,,4520.931,2559.8365073743903,7984.426141528632
2024-12-20 23:00:00+00:00,,4663.8604,2640.765667050675,8236.853550962029
2024-12-21 00:00:00+00:00,,5200.635,2944.6965340514253,9184.84907829392
2024-12-21 01:00:00+00:00,,4710.93,2667.417028287617,8319.98222920143
2024-12-21 02:00:00+00:00,,4707.4014,2665.418920292996,8313.74989926166
2024-12-21 03:00:00+00:00,,5192.3247,2939.991216950689,9170.172650031805
2024-12-21 04:00:00+00:00,,4510.888,2554.149261217297,7966.686962968169
2024-12-21 05:00:00+00:00,,4355.431,2466.12662264829,7692.134172424649
2024-12-21 06:00:00+00:00,,4682.9766,2651.5889407302693,8270.612593406768
2024-12-21 07:00:00+00:00,,4051.85,2294.233559584015,7155.979827285662
2024-12-21 08:00:00+00:00,,4307.5767,2439.030316573911,7607.617659774211
2024-12-21 09:00:00+00:00,,3894.2756,2205.0118252321263,6877.686918305885
2024-12-21 10:00:00+00:00,,4770.9233,2701.386533077159,8425.937043610207
2024-12-21 11:00:00+00:00,,3012.2988,1705.6203051510934,5320.027006707875
2024-12-21 12:00:00+00:00,,4674.3594,2646.709628926113,8255.393455540174
2024-12-21 13:00:00+00:00,,4740.3647,2684.0834001083563,8371.966570570976
2024-12-21 14:00:00+00:00,,4529.1387,2564.4834525445717,7998.920500987941
