method,model_label,horizon,mse,rmse,mae,mape,smape,bias,variance,std,r2,prediction_interval_coverage,prediction_interval_width
trained,XGBoost,2024-12-05T00:00:00+00:00,11781494.168179855,3432.418122574791,2936.3788379487546,133.98172797619907,99.64281406507506,75.89230056036051,11775734.526895508,3431.5790136459786,0.44940643493406807,0.17261904761904762,2252.8334325144424
trained,XGBoost,2024-12-12T00:00:00+00:00,46247996.8557292,6800.587978677226,5090.652510688418,57.504174225526164,128.54206721466062,-4871.301846640451,22518415.174646534,4745.357223080949,0.001007769592237806,0.08928571428571429,1363.2970029872008
trained,XGBoost,2024-12-19T00:00:00+00:00,5531716.703021312,2351.9601831283862,1910.6784929547994,30.38284052758162,45.11456362258205,904.4162074497766,4713748.026723474,2171.1167694814285,0.7828878808723975,0.5059523809523809,3212.6508877877823
trained,XGBoost,2024-12-26T00:00:00+00:00,5252261.346777634,2291.7812606742455,1706.9711498078852,56.62922860970728,79.61466009259188,93.86084075201084,5243451.489350959,2289.858399410531,0.8633979235289346,0.17857142857142858,1984.9339354695985
trained,XGBoost,2025-01-02T00:00:00+00:00,13037626.613317618,3610.7653777720893,2979.390306018648,32.84659462158684,62.11805686023892,-1126.7170388357977,11768135.327714708,3430.4715896964817,0.4584396418250499,0.125,2683.05110038367
trained,ElasticNet,2024-12-05T00:00:00+00:00,13720252.001078662,3704.0858522824037,2909.555002281502,70.30282372153734,96.97003375056148,-1038.8920716275036,12640955.264588175,3555.41210896686,0.3588009844048532,0.34523809523809523,3420.6729149241387
trained,ElasticNet,2024-12-12T00:00:00+00:00,26439008.646300998,5141.887653994494,3703.64466202276,103.41153269564902,109.93213903602013,-2859.1222117823763,18264428.824393645,4273.6903051570835,0.4288971195934861,0.27976190476190477,3375.0890462534617
trained,ElasticNet,2024-12-19T00:00:00+00:00,4942363.414153619,2223.14268866252,1750.7859730389634,17.539605130402116,37.090995587628065,-993.7060300614846,3954911.7399730626,1988.695989831795,0.8060191705479878,0.7202380952380952,4823.410942136719
trained,ElasticNet,2024-12-26T00:00:00+00:00,72723084.6809031,8527.783104705648,4549.103112260994,210.3384687027255,130.77948046741528,3344.7534790279224,61535708.84543371,7844.469953121989,-0.8913994789858031,0.25,5026.374398787829
trained,ElasticNet,2025-01-02T00:00:00+00:00,298776905.4419529,17285.164316313367,11254.82185702764,96.66553240861985,109.92521955591961,8637.640820113817,224168066.50465634,14972.243202161002,-11.410673562338914,0.32142857142857145,9539.859843325643
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-05T00:00:00+00:00,20206573.043918826,4495.172192910837,3226.868743067696,60.487383072047486,97.82057204101618,987.3854291211987,19231643.05827797,4385.389727068504,0.05567078918859736,0.6666666666666666,11270.239578765408
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-12T00:00:00+00:00,26476331.21520552,5145.515641333288,3597.993224916004,64.47245247508786,98.8353719125969,-2720.2102292378745,19076787.523955148,4367.698195154417,0.42809092345766664,0.6190476190476191,8673.779178406388
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-19T00:00:00+00:00,9417079.194686376,3068.7259888570006,2368.2045629592158,32.82632759936278,53.08961846721662,61.39902532668306,9413309.354375308,3068.1116919654846,0.6303928545664464,0.8630952380952381,13763.133708082743
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-26T00:00:00+00:00,5491320.826773818,2343.3567433862513,1783.200531187512,140.22392979650385,100.06246387369264,216.05939320155508,5444639.165383195,2333.375058875704,0.8571804070705035,0.6607142857142857,8576.242455935748
