Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,False
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,True
compute_humidex,True
compute_wind_components,True
compute_wind_power_density,True
compute_pressure_trend,True
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,False
temp_lags_option,none
precip_lags_option,small
cloud_lags_option,none
rolling_temp_option,long
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,False
spatial_agg_method,population
lags_target,12
l1_ratio,0.5472949299646741
alpha,0.14914260864640294
