number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,251.68438578489827,large,0.5913486238079206,False,False,True,False,True,False,False,True,False,False,False,0.22079138689031452,9,6,917,large,0.347635720294581,0.06429226944180765,medium,None,0.5520112693941082,False,True,True,COMPLETE
1,267.19193672226464,medium,0.5663059548274663,True,True,False,True,True,False,False,True,False,False,True,0.25883654998131106,9,8,954,large,1.047619092061528e-08,2.5100475064220025e-07,medium,idw,0.6550393170551598,True,True,False,COMPLETE
2,260.4334750607545,large,0.5031526653279117,True,False,False,True,True,True,True,True,True,True,True,0.28983617792869865,7,3,907,none,0.25177608002235885,0.6893279361488809,none,capacity,0.6162443401319622,True,True,False,COMPLETE
3,230.13460899685765,large,0.7969690222915777,False,False,False,True,True,True,True,True,False,True,True,0.01409739446814318,4,2,572,small,0.0015157157739400858,0.0001351474628436143,small,idw,0.6152305757909059,True,True,False,COMPLETE
4,232.83238779041224,large,0.7718212443159533,True,True,False,False,True,False,True,False,False,True,False,0.010107694581266634,5,3,683,none,0.048066277492770856,0.047674810882547984,medium,None,0.5976843385526853,False,True,False,COMPLETE
5,241.8639345789326,none,0.9466524786719404,True,False,True,False,True,True,False,True,False,False,False,0.11047134843120873,9,3,927,small,1.0230460171466948e-06,0.001404054550502347,small,idw,0.7178816414983755,True,False,True,COMPLETE
6,282.133970212006,large,0.9448582415864923,False,False,False,True,False,True,True,False,True,False,False,0.10346959446202018,3,2,979,large,8.841298557567917e-05,0.015239880149622168,large,capacity,0.7083342900138501,False,False,False,COMPLETE
7,242.77193692667763,large,0.5869836920952116,True,True,False,False,False,True,False,True,False,False,True,0.21004925496477334,3,3,609,small,0.771318825864531,6.17754674123831e-06,none,mean,0.8942356296350431,True,True,True,COMPLETE
8,230.2629345918648,large,0.8028470767852496,False,True,False,True,False,False,False,True,False,False,True,0.02069236630967703,5,2,334,small,6.168437496259026e-08,4.692509427416764e-07,small,capacity,0.9866129544091764,True,False,False,COMPLETE
9,231.91750421348198,large,0.7708126199733916,True,False,True,True,True,True,False,False,False,True,True,0.03798087204349102,8,7,993,small,1.4029662901813151e-07,0.11256540766001649,none,None,0.5890751465076994,False,True,True,COMPLETE
