Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,False
compute_air_density,True
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,True
compute_dni_ratio,True
compute_global_tilted_ratio,False
dew_point_temperature,False
vapor_pressure,True
precip_lags_option,small
cloud_lags_option,medium
shortwave_lags_option,medium
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,max
n_estimators,660
learning_rate,0.05416334941369521
max_depth,9
min_child_weight,10
subsample,0.8277795022655259
colsample_bytree,0.8899387454959421
reg_alpha,2.120619507125897e-06
reg_lambda,0.0003826011068196494
use_base_models_pred_intervals,False
cv_folds_base,35
