date,wind_onshore_ampr_actual,wind_onshore_ampr_fitted,wind_onshore_ampr_lower,wind_onshore_ampr_upper
2025-01-22 00:00:00+00:00,2351.75,2790.0366,2495.4234206528936,3084.649760051605
2025-01-22 01:00:00+00:00,2411.0,3614.6511,3320.037970824194,3909.2643102229054
2025-01-22 02:00:00+00:00,2582.5,3802.793,3508.179700090352,4097.406039489064
2025-01-22 03:00:00+00:00,2751.75,2959.5776,2664.9644033577047,3254.190742756416
2025-01-22 04:00:00+00:00,2882.5,2826.762,2532.1487684433296,3121.375107842041
2025-01-22 05:00:00+00:00,3156.75,3206.435,2911.821978159687,3501.0483175583986
2025-01-22 06:00:00+00:00,3438.75,2843.8574,2549.244289325791,3138.4706287245026
2025-01-22 07:00:00+00:00,3782.25,3406.608,3111.9948070264495,3701.221146425161
2025-01-22 08:00:00+00:00,3969.75,3308.7473,3014.1342192695993,3603.3605586683107
2025-01-22 09:00:00+00:00,3818.5,2744.5168,2449.903765773324,3039.1301051720347
2025-01-22 10:00:00+00:00,3474.5,2609.7695,2315.1564195820347,2904.382758980746
2025-01-22 11:00:00+00:00,3309.25,2908.011,2613.397763507003,3202.624102905714
2025-01-22 12:00:00+00:00,3313.5,2118.781,1824.167779116421,2413.394118515132
2025-01-22 13:00:00+00:00,3261.25,2586.385,2291.771777953129,2880.9981173518404
2025-01-22 14:00:00+00:00,3466.0,4326.185,4031.5717639506797,4620.798103349391
2025-01-22 15:00:00+00:00,3526.0,4285.3354,3990.7222590918855,4579.948598490597
2025-01-22 16:00:00+00:00,3758.75,4997.0703,4702.457420437731,5291.683759836442
2025-01-22 17:00:00+00:00,4048.0,5410.3433,5115.730368475997,5704.956707874709
2025-01-22 18:00:00+00:00,4104.0,4990.3794,4695.766417253848,5284.992756652559
2025-01-22 19:00:00+00:00,4069.5,4846.544,4551.930908295847,5141.1572476945585
2025-01-22 20:00:00+00:00,4070.5,4827.884,4533.270645769002,5122.496985167713
2025-01-22 21:00:00+00:00,4070.0,5658.6753,5364.061967095664,5953.288306494374
2025-01-22 22:00:00+00:00,4090.0,5644.608,5349.99478757717,5939.221126975881
2025-01-22 23:00:00+00:00,4064.25,4917.925,4623.311751289651,5212.538090688362
2025-01-23 00:00:00+00:00,4198.25,5537.817,5243.203846805615,5832.430186204327
2025-01-23 01:00:00+00:00,4367.5,4850.1304,4555.517361506687,5144.743700905397
2025-01-23 02:00:00+00:00,4385.0,4944.1616,4649.5486427402275,5238.774982138939
2025-01-23 03:00:00+00:00,4006.5,5251.838,4957.224631837853,5546.450971236565
2025-01-23 04:00:00+00:00,4404.75,5409.2095,5114.596395642247,5703.82273504096
2025-01-23 05:00:00+00:00,5334.5,5591.1587,5296.545647172801,5885.7719865715135
2025-01-23 06:00:00+00:00,5842.25,5778.974,5484.360848609316,6073.587188008028
2025-01-23 07:00:00+00:00,6181.5,5726.1963,5431.583358201384,6020.809697600096
2025-01-23 08:00:00+00:00,6288.0,6235.422,5940.808720579611,6530.035059978321
2025-01-23 09:00:00+00:00,6392.5,5944.936,5650.322914444481,6239.549253843193
2025-01-23 10:00:00+00:00,5847.25,5848.982,5554.368809710235,6143.595149108946
2025-01-23 11:00:00+00:00,5932.25,6431.78,6137.166893006878,6726.3932324055895
2025-01-23 12:00:00+00:00,5478.0,8099.157,7804.544207273756,8393.770546672466
2025-01-23 13:00:00+00:00,5297.75,8267.835,7973.221891529916,8562.448230928629
2025-01-23 14:00:00+00:00,5177.0,5791.228,5496.614798523335,6085.841137922047
2025-01-23 15:00:00+00:00,5175.75,5415.0513,5120.438398295819,5709.664737694531
2025-01-23 16:00:00+00:00,5661.25,5182.8994,4888.286408587803,5477.512747986514
2025-01-23 17:00:00+00:00,6295.0,6025.629,5731.015857829319,6320.242197228032
2025-01-23 18:00:00+00:00,7278.75,6945.0015,6650.38862921038,7239.614968609091
2025-01-23 19:00:00+00:00,7848.5,7654.5464,7359.933321293517,7949.159660692228
2025-01-23 20:00:00+00:00,8203.75,8014.2817,7719.668946692145,8308.895286090856
2025-01-23 21:00:00+00:00,7469.749999999999,8000.836,7706.222987073879,8295.44932647259
2025-01-23 22:00:00+00:00,7347.25,8224.339,7929.725229218723,8518.951568617435
2025-01-23 23:00:00+00:00,7393.0,8319.166,8024.552404428746,8613.778743827457
2025-01-24 00:00:00+00:00,7256.75,8369.501,8074.887838557686,8664.114177956397
2025-01-24 01:00:00+00:00,6817.5,7257.659,6963.046210269833,7552.272549668543
