number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,728.3961590388814,medium,0.8770412175427771,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,1.0,0.21963855388395948,10,35,0.47977383153956277,315,56,medium,0.0002670203087104391,2.428825822004972e-07,short,distance_population,0.8289994076184943,small,COMPLETE
1,982.2252700626315,small,0.8626651992413907,True,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False,,0.2624155886250432,7,51,0.36307881403047393,352,84,none,0.0004847197269231402,4.057071859267422e-06,none,population,0.5462506544573464,none,COMPLETE
2,764.0306067301648,medium,0.5408809296838744,True,False,False,True,True,False,False,True,False,True,False,False,True,True,True,False,False,1.0,0.14838805989495613,4,33,0.16998428050100706,425,122,small,0.0031614744203667705,2.4535384021037845e-06,short,None,0.8813951902557331,medium,COMPLETE
3,730.8589232701265,medium,0.6342811782620756,False,True,False,False,True,True,False,True,True,True,False,False,True,True,False,True,True,1.0,0.1745705045843896,12,19,0.46770812088562624,728,149,medium,7.183644672070107e-08,0.00011793653001380931,short,mean,0.835844270684499,small,COMPLETE
4,841.7603370998659,small,0.9658406299769297,False,False,False,False,True,True,True,True,True,False,True,False,True,False,True,False,True,,0.018415307590891227,9,41,0.004576538505008165,365,48,none,0.0015415287676820413,0.0013084808460910216,none,distance_population,0.9530405055704696,none,COMPLETE
5,693.7536073996807,medium,0.5930267655271187,False,False,True,True,False,True,False,True,True,False,True,False,False,True,True,False,True,12.0,0.01866487767700618,10,89,0.07568070986036718,867,88,small,2.42658713642701e-07,1.7773427225570234e-07,long,mean,0.9082399405928383,small,COMPLETE
6,978.5201899561031,small,0.7355262913577608,True,False,True,True,False,False,False,False,False,False,True,False,True,True,True,True,False,12.0,0.023218330067999247,5,36,0.10906678029647787,972,99,none,0.0003862685964858073,4.898986630156805e-05,short,population,0.6912423960550937,medium,COMPLETE
7,1002.1323049324632,none,0.7130385508261364,True,True,False,True,False,True,True,True,True,False,True,False,True,False,False,True,True,6.0,0.16237489540648456,3,85,0.46848977562366517,867,72,small,7.1918396511104805e-06,1.1286347129051046e-05,long,max,0.520562043074239,none,COMPLETE
8,730.0661241069774,medium,0.5672737499759306,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,True,False,6.0,0.020947538369849122,9,81,0.3229673326367666,367,142,small,0.0037918771366117704,0.045608346693053296,long,mean,0.7856998075467899,small,COMPLETE
9,857.5961989945657,none,0.5667611205468077,True,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,1.0,0.14784326303624457,13,100,0.4618744559013781,413,48,medium,2.2277857599679015e-08,1.4167360431006418e-08,none,idw,0.9339735302340428,none,COMPLETE
10,715.1649506907916,medium,0.6738450139645831,False,True,True,True,True,True,False,False,True,False,True,True,False,False,True,False,True,12.0,0.010242312698424112,16,70,0.027287329695343913,631,20,small,0.8074650071826026,1.808852924983062e-08,long,energy,0.6952156451430043,small,COMPLETE
11,769.9455730877447,medium,0.6500815460717866,False,True,True,True,True,True,False,False,True,False,True,True,False,False,True,False,True,12.0,0.011069550091819157,16,73,0.01740084391434874,604,14,small,0.3383991668635231,1.8807313052187495e-08,long,energy,0.6817040808953011,small,COMPLETE
12,826.9345776975082,medium,0.6454924485351047,False,True,True,True,True,True,False,False,True,False,True,True,False,False,True,False,True,12.0,0.05423868835241929,15,66,0.11333332913577106,655,11,small,2.084041885055054e-06,1.824034077543202e-07,long,distance_energy,0.6456473784738729,small,COMPLETE
13,1031.557585552766,medium,0.806041439737269,False,True,True,True,True,True,False,False,True,False,True,True,False,False,True,False,True,12.0,0.010370582014978102,13,98,0.1914462594190458,807,109,small,0.9415717799324375,2.5167180308889987e-07,long,energy,0.7481456943600334,small,COMPLETE
14,676.5287748567217,medium,0.5175424787631225,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,False,True,12.0,0.04978991131202737,11,61,0.06871196625811254,542,73,small,0.06891210627882954,0.7291104648447028,long,energy,0.9961743246212462,small,COMPLETE
15,624.7542191522763,none,0.5405225155643418,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,False,True,12.0,0.05304028369720381,11,56,0.09411725506039398,501,79,small,0.042808869411502797,0.49014379760681287,long,mean,0.9876427067493432,small,COMPLETE
